name,gb,Average_Accessibility
梅州市,156441400,0.05296693774374944
鄂州市,156420700,0.07053050489872391
吕梁市,156141100,0.024890512721666782
舟山市,156330900,0.11871736820131003
朝阳市,156211300,0.004946966414737572
广安市,156511600,0.018041643371274705
濮阳市,156410900,0.07536629957142746
宣城市,156341800,0.16884081035991522
六盘水市,156520200,0.02705681390968278
深圳市,156440300,1.6511791891534013
三明市,156350400,0.025573820089992087
景德镇市,156360200,0.0431507611824732
楚雄彝族自治州,156532300,0.021937504521122687
大连市,156210200,0.03897052921660959
攀枝花市,156510400,0.02897473558692006
贺州市,156451100,0.04924939248994298
西安市,156610100,0.19901349695143972
境界线,,0.0
淮北市,156340600,0.11855922943217248
邵阳市,156430500,0.01324691357145112
石家庄市,156130100,0.06790143587538226
汕尾市,156441500,0.08009965271811174
荆门市,156420800,0.022865945838502703
衢州市,156330800,0.06236566892023569
迪庆藏族自治州,156533400,0.04072073157155908
宜宾市,156511500,0.026909389459067654
葫芦岛市,156211400,0.009765097545941497
济南市,156370100,0.07462256311622348
贵阳市,156520100,0.09502869332359108
珠海市,156440400,0.4578786180840164
长春市,156220100,0.016701450475627398
延边朝鲜族自治州,156222400,0.014043149859687652
萍乡市,156360300,0.055126877147627075
庆阳市,156621000,0.014197310316063083
泉州市,156350500,0.1219011907125914
自贡市,156510300,0.02357329220909459
临沂市,156371300,0.06869937749146182
百色市,156451000,0.019848559659368485
鞍山市,156210300,0.012547472807996554
铜陵市,156340700,0.1103190242333404
唐山市,156130200,0.053024683334411064
岳阳市,156430600,0.019796192071571742
河源市,156441600,0.055247105282936936
孝感市,156420900,0.042543704759265416
金华市,156330700,0.11797593219082023
兴安盟,156152200,0.009914181272887129
盘锦市,156211100,0.023431318213695696
雅安市,156511800,0.07269733991378392
亳州市,156341600,0.03825118554332269
商洛市,156611000,0.015912579966115427
盐城市,156320900,0.052859966748791724
汕头市,156440500,0.17872879721901633
安顺市,156520400,0.02933573878739998
黔南布依族苗族自治州,156522700,0.018856948430587592
厦门市,156350200,0.4648662346837006
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.014976563650648912
红河哈尼族彝族自治州,156532500,0.023885476845378274
甘南藏族自治州,156623000,0.025948341879397548
太原市,156140100,0.16217756569815991
常德市,156430700,0.013883415386441987
牡丹江市,156231000,0.010009267712166297
淮南市,156340400,0.03794009804067032
德阳市,156510600,0.04282502597403319
威海市,156371000,0.06554262825612271
秦皇岛市,156130300,0.037835614339992656
绍兴市,156330600,0.13747597693786034
阳江市,156441700,0.05127705123999454
铁岭市,156211200,0.0071181146132736055
达州市,156511700,0.012002727391134203
池州市,156341700,0.08333615653858054
淮安市,156320800,0.05547538382108094
遵义市,156520300,0.030279706883622148
黔东南苗族侗族自治州,156522600,0.022953709054420752
莆田市,156350300,0.06977697637002336
南昌市,156360100,0.11176808511120695
佛山市,156440600,0.44875451686295503
大同市,156140200,0.031081053920133432
昆明市,156530100,0.08047854959977713
张家界市,156430800,0.02174688881943568
泸州市,156510500,0.025029517177298528
沈阳市,156210100,0.04565696885581206
邯郸市,156130400,0.045953567352017916
马鞍山市,156340500,0.10365490221963461
日照市,156371100,0.07797735958191213
三亚市,156460200,0.23006837086011006
十堰市,156420300,0.05045524993099006
呼和浩特市,156150100,0.05817734381951448
德宏傣族景颇族自治州,156533100,0.02573891511471968
梧州市,156450400,0.04308268898411801
枣庄市,156370400,0.06510993141888896
安阳市,156410500,0.057111053567205666
怀化市,156431200,0.017404226938344893
阳泉市,156140300,0.04144633996769308
保亭黎族苗族自治县,156469029,0.07646789163502339
中农发山丹马场,156629700,0.014304013884797389
鹰潭市,156360600,0.04117046002820665
陵水黎族自治县,156469028,0.1837123532962432
博尔塔拉蒙古自治州,156652700,0.018879962202019908
乐东黎族自治县,156469027,0.0335326626873168
辽源市,156220400,0.004726900315762068
齐齐哈尔市,156230200,0.0038128596803888347
龙岩市,156350800,0.04654856551907633
天门市,156429006,0.023977235602430074
潜江市,156429005,0.019462176930834674
邢台市,156130500,0.05071424025558906
仙桃市,156429004,0.027673144504106028
绥化市,156231200,0.0031283384367197355
丹东市,156210600,0.006042319117958657
滨州市,156371600,0.05730550728592218
镇江市,156321100,0.1104140453591971
昌江黎族自治县,156469026,0.055464199188453335
周口市,156411600,0.04051157391857638
