name,gb,Average_Accessibility
梅州市,156441400,0.21369719124941272
鄂州市,156420700,0.492952270117389
吕梁市,156141100,0.2044181345916144
舟山市,156330900,0.6072481657151817
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.20783472546426754
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,10.40116164243751
三明市,156350400,0.0
景德镇市,156360200,0.8991437160195342
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.44288454127769283
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,1.5708965941846977
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.20532310543060825
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.7343837184046932
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.10051988575003139
葫芦岛市,156211400,0.0
济南市,156370100,1.2100201532444248
贵阳市,156520100,0.0
珠海市,156440400,4.084943103975037
长春市,156220100,0.11972120114276778
延边朝鲜族自治州,156222400,0.20712683066584356
萍乡市,156360300,0.24166035979481226
庆阳市,156621000,0.0
泉州市,156350500,0.4920151800418255
自贡市,156510300,0.793449599146695
临沂市,156371300,1.0543305904751092
百色市,156451000,0.0
鞍山市,156210300,0.09160383329344403
铜陵市,156340700,0.0
唐山市,156130200,0.2548147291420297
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,2.3962959486433126
兴安盟,156152200,1.3244234985318275
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.1128518095004371
商洛市,156611000,0.0
盐城市,156320900,0.23514525807524342
汕头市,156440500,0.2638982084901832
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,4.074492308702876
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,1.3478625926128234
常德市,156430700,0.12857971972274732
牡丹江市,156231000,0.0
淮南市,156340400,0.26686026848084465
德阳市,156510600,0.10765426739870661
威海市,156371000,0.28972951536264707
秦皇岛市,156130300,0.06670004331790423
绍兴市,156330600,0.37253032397865116
阳江市,156441700,0.33721681983997026
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.28997575162410055
遵义市,156520300,0.05518252903044054
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.8270327228514657
佛山市,156440600,0.842512705743042
大同市,156140200,0.18821356548808862
昆明市,156530100,0.4117785127796576
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.4312569693684255
邯郸市,156130400,0.19612431641432207
马鞍山市,156340500,0.7996975639124352
日照市,156371100,0.11404582665757176
三亚市,156460200,6.89398611204524
十堰市,156420300,0.0
