name,gb,Average_Accessibility
梅州市,156441400,0.03586868025181424
鄂州市,156420700,0.048362926959016325
吕梁市,156141100,0.012772575726383963
舟山市,156330900,0.08230050493415683
朝阳市,156211300,0.0018165907400941573
广安市,156511600,0.008626303684196679
濮阳市,156410900,0.041954308091280215
宣城市,156341800,0.031171782255426883
六盘水市,156520200,0.016369202600967907
深圳市,156440300,1.3597093489089886
三明市,156350400,0.015581816145517294
景德镇市,156360200,0.02220872667975299
楚雄彝族自治州,156532300,0.01847976599906536
大连市,156210200,0.024065804155532278
攀枝花市,156510400,0.012918875531281163
贺州市,156451100,0.03418164412709646
西安市,156610100,0.13481024846344447
境界线,,0.0
淮北市,156340600,0.03638545672098795
邵阳市,156430500,0.007976315245581905
石家庄市,156130100,0.03307690065743753
汕尾市,156441500,0.05419436386526503
荆门市,156420800,0.014710100167389852
衢州市,156330800,0.03865031324866445
迪庆藏族自治州,156533400,0.01985797870061498
宜宾市,156511500,0.013987399200059876
葫芦岛市,156211400,0.0037997390828520467
济南市,156370100,0.043844145767115775
贵阳市,156520100,0.06111296351156784
珠海市,156440400,0.3848137081744105
长春市,156220100,0.008189136412342788
延边朝鲜族自治州,156222400,0.005887215967336413
萍乡市,156360300,0.028063478159300638
庆阳市,156621000,0.00704994821003669
泉州市,156350500,0.07459987918550096
自贡市,156510300,0.013371022041701269
临沂市,156371300,0.03821289269555835
百色市,156451000,0.016270993991920567
鞍山市,156210300,0.007028066327100948
铜陵市,156340700,0.0415198412808505
唐山市,156130200,0.02610625222930837
岳阳市,156430600,0.01257441460499841
河源市,156441600,0.045751629529692465
孝感市,156420900,0.01988689290541593
金华市,156330700,0.07372251142376365
兴安盟,156152200,0.0018350985461884836
盘锦市,156211100,0.013178935378947586
雅安市,156511800,0.04062157934838599
亳州市,156341600,0.020311891721539486
商洛市,156611000,0.007795261091436112
盐城市,156320900,0.02818506529261835
汕头市,156440500,0.09732964726958986
安顺市,156520400,0.01548692963088768
黔南布依族苗族自治州,156522700,0.010989939422489018
厦门市,156350200,0.3030985182471377
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.008758139064169338
红河哈尼族彝族自治州,156532500,0.015009975134392143
