name,gb,Average_Accessibility
梅州市,156441400,0.12097385147520598
鄂州市,156420700,0.2178056084414792
吕梁市,156141100,0.08154241820742768
舟山市,156330900,0.3813979068809835
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.10151473220585672
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.8240867907254659
三明市,156350400,0.0
景德镇市,156360200,0.39269191941761045
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.2706192442799205
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.4232374208633506
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.09171648618586621
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.5419261086024338
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.06119069202691754
葫芦岛市,156211400,0.0
济南市,156370100,0.6311292033374974
贵阳市,156520100,0.0
珠海市,156440400,0.7694435011684817
长春市,156220100,0.06018262781359677
延边朝鲜族自治州,156222400,0.1383770229181618
萍乡市,156360300,0.12661125134128212
庆阳市,156621000,0.0
泉州市,156350500,0.1353065245836489
自贡市,156510300,0.7092000555028294
临沂市,156371300,0.5918736954668029
百色市,156451000,0.0
鞍山市,156210300,0.06841464581308596
铜陵市,156340700,0.0
唐山市,156130200,0.15117927199368547
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.7288400161923557
兴安盟,156152200,0.5525548460138417
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.04763174467144467
商洛市,156611000,0.0
盐城市,156320900,0.19594121520063362
汕头市,156440500,0.09607262370287217
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.6912397922241715
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.42941359606733465
常德市,156430700,0.09874113759241421
牡丹江市,156231000,0.0
淮南市,156340400,0.15249148941872423
德阳市,156510600,0.08302338415443469
威海市,156371000,0.2135640755276232
秦皇岛市,156130300,0.040917870149934144
绍兴市,156330600,0.20322325593936544
阳江市,156441700,0.1358365367559708
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.18478990642333765
