name,gb,Average_Accessibility
梅州市,156441400,0.00010861955017518349
鄂州市,156420700,0.0003988100955386203
吕梁市,156141100,8.057705514546233e-05
舟山市,156330900,0.0008673661335183373
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0001806901762909219
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.03297373933612176
三明市,156350400,0.0
景德镇市,156360200,0.0004580544512247881
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.00037876803224214843
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.0024687157167367483
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00020088914564365474
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.00048190363223541083
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,5.188558131130515e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.001282143633754011
贵阳市,156520100,0.0
珠海市,156440400,0.004836446956564461
长春市,156220100,5.7320782485892155e-05
延边朝鲜族自治州,156222400,0.0001010939261956242
萍乡市,156360300,0.00018064397347869286
庆阳市,156621000,0.0
泉州市,156350500,0.0004893601048293957
自贡市,156510300,0.0006953767934126567
临沂市,156371300,0.0007828023715094962
百色市,156451000,0.0
鞍山市,156210300,6.62516288396192e-05
铜陵市,156340700,0.0
唐山市,156130200,0.00020130174017275775
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0021580880163582544
兴安盟,156152200,0.00018898864847840892
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,5.5945482756458765e-05
商洛市,156611000,0.0
盐城市,156320900,0.0001727355284233945
汕头市,156440500,0.000739519920611187
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.008863959689710483
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0019055983310394752
常德市,156430700,6.878123169233698e-05
牡丹江市,156231000,0.0
淮南市,156340400,0.00017679656404931513
德阳市,156510600,0.0001062248390647949
威海市,156371000,0.0002487134269614576
秦皇岛市,156130300,4.495279004591604e-05
绍兴市,156330600,0.0004348611934418641
阳江市,156441700,0.00017672837928089388
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00019349496645143453
遵义市,156520300,2.0178963925229182e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0007340969074520809
佛山市,156440600,0.0012792576155758611
大同市,156140200,0.00011139887481528338
昆明市,156530100,0.0002645568731770164
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.0004714835502223494
邯郸市,156130400,0.0001652400644998702
马鞍山市,156340500,0.0005449053646852345
日照市,156371100,8.539368627786359e-05
三亚市,156460200,0.0034928088935910887
十堰市,156420300,0.0
呼和浩特市,156150100,0.0005006205518280186
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.0002706828625887066
安阳市,156410500,0.0004966178195955434
怀化市,156431200,0.0
阳泉市,156140300,0.00017664075348850457
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.00042209819011890427
陵水黎族自治县,156469028,0.0011912862803644243
博尔塔拉蒙古自治州,156652700,0.00018442273594141914
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00013317733194652908
齐齐哈尔市,156230200,2.4541332150958536e-05
龙岩市,156350800,6.763539237141269e-05
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0002937404840904928
仙桃市,156429004,0.00022855002733203472
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.00038049096535216776
镇江市,156321100,0.0012791391842103973
昌江黎族自治县,156469026,0.0
周口市,156411600,8.331875855080927e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00021346782247274343
澄迈县,156469023,0.0
长沙市,156430100,0.0004453586435448713
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.0005687471726443279
乐山市,156511100,0.00024238835864251175
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.00013553710133625045
东营市,156370500,0.0
鹤壁市,156410600,0.0013434490417143557
娄底市,156431300,6.659346640272427e-05
包头市,156150200,4.900683117633373e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.00011659490693988704
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.00012565841044444266
上海市,156310000,0.008860032563658199
鸡西市,156230300,0.00015409957853986122
宁德市,156350900,9.342795279844896e-05
保定市,156130600,0.00010258127204140282
菏泽市,156371700,0.00021836290023092067
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.0002605506069361987
