name,gb,Gini_Coefficient
梅州市,156441400,0.9906522792175032
鄂州市,156420700,0.9991568367109043
吕梁市,156141100,0.9948076961337246
舟山市,156330900,0.9879889606403794
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.9930957298823178
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.8704332044327421
三明市,156350400,0.9651029343398586
景德镇市,156360200,0.9834806430231777
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.967438214613627
攀枝花市,156510400,0.996882961969831
贺州市,156451100,0.0
西安市,156610100,0.897039564457616
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.9925423324537114
汕尾市,156441500,0.0
荆门市,156420800,0.9992572744265175
衢州市,156330800,0.9947428890622788
迪庆藏族自治州,156533400,0.9809344940216165
宜宾市,156511500,0.9962069926638554
葫芦岛市,156211400,0.0
济南市,156370100,0.9781562049061049
贵阳市,156520100,0.9653195705307455
珠海市,156440400,0.9362415321164627
长春市,156220100,0.9973952805257662
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9948961407436289
庆阳市,156621000,0.994478037784139
泉州市,156350500,0.9938556384996782
自贡市,156510300,0.9483967099861076
临沂市,156371300,0.9837755653019742
百色市,156451000,0.0
鞍山市,156210300,0.997181404053096
铜陵市,156340700,0.9994349787877164
唐山市,156130200,0.9950463038491973
岳阳市,156430600,0.9992246734763143
河源市,156441600,0.0
孝感市,156420900,0.9994641472624809
金华市,156330700,0.9706584627698905
兴安盟,156152200,0.9869471821967163
盘锦市,156211100,0.9959945861032041
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.9961469240336647
汕头市,156440500,0.9924399436371591
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.8902817388243933
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9428755087765188
常德市,156430700,0.9924058501609223
牡丹江市,156231000,0.9931582561032722
淮南市,156340400,0.9877598741963031
德阳市,156510600,0.9971422346550918
威海市,156371000,0.980300276533436
秦皇岛市,156130300,0.9992587812611345
绍兴市,156330600,0.991324736196916
阳江市,156441700,0.9992267462620991
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.9990808043463519
遵义市,156520300,0.99226392418171
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.974167659240187
佛山市,156440600,0.9728458560071166
大同市,156140200,0.9895368451588822
昆明市,156530100,0.966051692855936
张家界市,156430800,0.0
泸州市,156510500,0.9905133354598106
沈阳市,156210100,0.9793262894734834
邯郸市,156130400,0.9930401897334786
马鞍山市,156340500,0.9890401780464826
日照市,156371100,0.995930905558054
三亚市,156460200,0.9818237958932227
十堰市,156420300,0.0
呼和浩特市,156150100,0.9638778559515353
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9911662848597865
枣庄市,156370400,0.9961434605844434
安阳市,156410500,0.9940866807462462
怀化市,156431200,0.9949942936706422
阳泉市,156140300,0.9957869264684273
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9982161596272704
陵水黎族自治县,156469028,0.9616155887206654
博尔塔拉蒙古自治州,156652700,0.9604951047287688
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.9963688295375789
齐齐哈尔市,156230200,0.997165153830677
龙岩市,156350800,0.9804346465005043
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.9982581245701133
仙桃市,156429004,0.9706088131019965
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.9930647102957533
镇江市,156321100,0.9722827738614785
昌江黎族自治县,156469026,0.0
周口市,156411600,0.9978133297038102
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.987085295531526
澄迈县,156469023,0.9969852182309621
长沙市,156430100,0.9353958601561756
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.9514235283596951
乐山市,156511100,0.990133988679476
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9965600291463548
东营市,156370500,0.9980572856389011
鹤壁市,156410600,0.9573337319824675
娄底市,156431300,0.9948691519535682
包头市,156150200,0.9965476475983549
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9897145383831543
赣州市,156360700,0.9973324569181855
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9883894263930134
上海市,156310000,0.8490051615137459
鸡西市,156230300,0.9889835536546142
宁德市,156350900,0.9996582109356035
保定市,156130600,0.9979678682844215
菏泽市,156371700,0.9925121424232463
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.9902063502951648
驻马店市,156411700,0.9886410852599787
哈密市,156650500,0.9761976794482851
株洲市,156430200,0.9939615001675757
锦州市,156210700,0.0
肇庆市,156441200,0.993650957217086
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.9938603984861245
平凉市,156620800,0.9790307506217093
眉山市,156511400,0.9927329772236438
青岛市,156370200,0.9502042153835782
新乡市,156410700,0.9870868911342882
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.9992462585064826
