name,gb,Average_Accessibility
梅州市,156441400,5.001926291842254
鄂州市,156420700,3.577993021930869
吕梁市,156141100,2.7484387451862786
舟山市,156330900,16.086177713691804
朝阳市,156211300,0.46088240051047963
广安市,156511600,1.471315015956096
濮阳市,156410900,3.8425072824404056
宣城市,156341800,4.030911839417128
六盘水市,156520200,1.362114680622435
深圳市,156440300,28.683707189412026
三明市,156350400,7.397353956769916
景德镇市,156360200,2.6203343727090713
楚雄彝族自治州,156532300,2.469656749338435
大连市,156210200,5.657597133777504
攀枝花市,156510400,1.5529066561721985
贺州市,156451100,2.566458843610928
西安市,156610100,12.32449843464095
境界线,,0.0
淮北市,156340600,1.46492601222669
邵阳市,156430500,1.8363447781845854
石家庄市,156130100,4.791230316049401
汕尾市,156441500,3.135600928870601
荆门市,156420800,1.800506568628417
衢州市,156330800,10.998984668147012
迪庆藏族自治州,156533400,4.759627200433607
宜宾市,156511500,2.062020411918726
葫芦岛市,156211400,1.6264552485654686
济南市,156370100,6.049900320212623
贵阳市,156520100,4.254605545530871
珠海市,156440400,20.566939490613034
长春市,156220100,1.8651545838256935
延边朝鲜族自治州,156222400,3.435771819864779
萍乡市,156360300,1.6738511223216932
庆阳市,156621000,2.8010902771649406
泉州市,156350500,9.023435703031208
自贡市,156510300,1.4354320564079266
临沂市,156371300,4.471436202268108
百色市,156451000,2.4996979131649484
鞍山市,156210300,0.7341813975266034
铜陵市,156340700,2.911502891549854
唐山市,156130200,5.491210182656468
岳阳市,156430600,2.7938216953639743
河源市,156441600,6.3801291423988005
孝感市,156420900,2.0342981193056544
金华市,156330700,5.908126774399825
兴安盟,156152200,0.1958116917973137
盘锦市,156211100,1.8267325389038136
雅安市,156511800,3.8933965404102056
亳州市,156341600,1.135525367848611
商洛市,156611000,2.332712522341796
盐城市,156320900,5.396236061298023
汕头市,156440500,2.058822384501359
安顺市,156520400,2.827540875661512
黔南布依族苗族自治州,156522700,3.3068346730425904
厦门市,156350200,13.484640998022803
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.2844545708612355
红河哈尼族彝族自治州,156532500,2.289871997014092
甘南藏族自治州,156623000,0.21677714114024704
太原市,156140100,10.503851701816608
常德市,156430700,2.0026366797078925
牡丹江市,156231000,0.7002516772069808
淮南市,156340400,1.4612001261495855
德阳市,156510600,2.6301047421140593
威海市,156371000,3.400411839041492
秦皇岛市,156130300,6.60953573960218
绍兴市,156330600,4.71677789522349
阳江市,156441700,4.522560598788684
铁岭市,156211200,0.761200619822969
达州市,156511700,0.9530595708109798
池州市,156341700,2.566421148363451
淮安市,156320800,4.740918773178585
遵义市,156520300,2.612021673639362
黔东南苗族侗族自治州,156522600,2.5349353238603616
莆田市,156350300,4.139520063850967
南昌市,156360100,8.297107415117603
佛山市,156440600,14.213413444735492
大同市,156140200,2.504689068379417
昆明市,156530100,8.063137920220953
张家界市,156430800,4.873933214736289
泸州市,156510500,1.7012601704084187
沈阳市,156210100,1.8280036254378291
邯郸市,156130400,2.599600589430095
马鞍山市,156340500,2.184007236737063
日照市,156371100,6.683564221278214
三亚市,156460200,25.272366023462382
十堰市,156420300,4.2509081117495455
呼和浩特市,156150100,2.864619304837996
德宏傣族景颇族自治州,156533100,2.3932110375383684
梧州市,156450400,4.497843842665133
枣庄市,156370400,3.8927119065716274
安阳市,156410500,2.015151672257547
怀化市,156431200,1.8305048412898204
阳泉市,156140300,3.721918324291662
保亭黎族苗族自治县,156469029,31.116016589854144
中农发山丹马场,156629700,0.0
鹰潭市,156360600,2.6262252971818376
陵水黎族自治县,156469028,19.04032094014875
博尔塔拉蒙古自治州,156652700,1.796642034875567
乐东黎族自治县,156469027,3.9446837461009556
辽源市,156220400,0.6435439877878992
齐齐哈尔市,156230200,0.2414196919763812
龙岩市,156350800,5.77049827541602
天门市,156429006,0.958541430560698
潜江市,156429005,1.3988920513732264
邢台市,156130500,3.4183205792498392
仙桃市,156429004,2.2552280548600256
绥化市,156231200,0.2530484377958218
丹东市,156210600,0.6624345746344212
滨州市,156371600,2.979707521986954
镇江市,156321100,7.093224833101947
昌江黎族自治县,156469026,4.043905970190201
周口市,156411600,1.0070816569453225
白沙黎族自治县,156469025,25.65226203436311
临高县,156469024,1.1762367980155626
吐鲁番市,156650400,2.873119143174869
澄迈县,156469023,11.894533065452118
长沙市,156430100,14.607691168505315
屯昌县,156469022,18.038308307117607
定安县,156469021,4.294363053302161
海口市,156460100,16.66084245543193
乐山市,156511100,2.498414659930172
凉山彝族自治州,156513400,0.7504166160697903
桂林市,156450300,3.9275847133241877
东营市,156370500,11.171648714202405
鹤壁市,156410600,2.15032666336281
娄底市,156431300,3.0630792994672174
包头市,156150200,1.111770868035104
锡林郭勒盟,156152500,0.18970474314650576
琼中黎族苗族自治县,156469030,5.161004405709742
长治市,156140400,3.4447180870749983
赣州市,156360700,6.15313243186423
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,2.6893572313170155
巴音郭楞蒙古自治州,156652800,1.4659164655913413
上海市,156310000,28.59729556863741
鸡西市,156230300,0.30224823057039707
宁德市,156350900,4.763306909039973
保定市,156130600,4.653752032127815
菏泽市,156371700,1.2364234892912387
崇左市,156451400,1.8249515132839604
黑河市,156231100,1.0806435322360297
扬州市,156321000,5.651989889818429
驻马店市,156411700,1.491338900913596
哈密市,156650500,2.2650253352365435
株洲市,156430200,4.382167890579838
锦州市,156210700,0.8199671208656439
肇庆市,156441200,6.962640697993379
恩施土家族苗族自治州,156422800,2.7852056711120663
宜昌市,156420500,5.700089130953505
怒江傈僳族自治州,156533300,0.6416621236586588
柳州市,156450200,9.078295484793047
平凉市,156620800,1.429578848679
眉山市,156511400,3.0367918593760703
青岛市,156370200,10.082724237128815
新乡市,156410700,2.7900661799479596
乌海市,156150300,1.215987109515255
黔西南布依族苗族自治州,156522300,3.1186548490327284
晋城市,156140500,3.193433888654057
广州市,156440100,20.915334047349862
吉林市,156220200,0.7533802353637582
九江市,156360400,3.024190553321537
漳州市,156350600,7.047908290087663
来宾市,156451300,2.7043999181322085
张家口市,156130700,8.409178905683062
德州市,156371400,2.979439545476062
胡杨河市,156659010,0.0
固原市,156640400,3.6755836521842555
抚顺市,156210400,0.8524543947438584
安庆市,156340800,3.1788811448377863
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,10.096692609506006
湘潭市,156430300,6.072119761489968
昆玉市,156659009,0.0
惠州市,156441300,14.465592468306806
可克达拉市,156659008,1.3382971501645156
襄阳市,156420600,4.289110464031746
南宁市,156450100,3.6254902438371435
南充市,156511300,1.4597956037902833
酒泉市,156620900,3.213670455560396
淄博市,156370300,5.645399411359621
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,3.754040520018582
石河子市,156659001,0.8517225492019165
赤峰市,156150400,0.3756116336869456
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,5.896507648589059
五家渠市,156659004,1.6616087647757543
韶关市,156440200,5.686263832800125
朔州市,156140600,2.7650177025494456
四平市,156220300,0.27434143593026766
新余市,156360500,2.831938961713884
南平市,156350700,8.044197067205932
哈尔滨市,156230100,1.3014655115683345
成都市,156510100,10.02224161882556
河池市,156451200,1.6610133740706752
中卫市,156640500,3.9116088456347122
本溪市,156210500,1.362836861932263
承德市,156130800,5.066691355840452
聊城市,156371500,2.7840044719529478
衡阳市,156430400,2.0857687596056693
湘西土家族苗族自治州,156433100,2.3355420534466353
杭州市,156330100,20.54840847229283
玉树藏族自治州,156632700,0.35825541192637467
武威市,156620600,0.889551452252448
临夏回族自治州,156622900,0.7786034517261006
黄山市,156341000,8.830586000257345
徐州市,156320300,2.912240912220028
济宁市,156370800,3.072663670321315
揭阳市,156445200,1.7524147260745668
那曲市,156540600,0.27217732425769725
郑州市,156410100,10.02522404698732
通辽市,156150500,0.16058943134820702
贵港市,156450800,1.4133655964007688
安康市,156610900,2.1175565853683893
昌吉回族自治州,156652300,1.6134628282018928
晋中市,156140700,3.4917065246147296
大庆市,156230600,0.7393872842757108
普洱市,156530800,1.68345986136581
白城市,156220800,0.6304739055501936
石嘴山市,156640200,3.023100457420388
荆州市,156421000,1.487844438516974
沧州市,156130900,3.4916102937891065
三门峡市,156411200,7.3378486057885315
海西蒙古族藏族自治州,156632800,5.779996831026857
云浮市,156445300,6.548968252506082
张掖市,156620700,1.7309052613659144
滁州市,156341100,3.504216911377984
泰安市,156370900,4.0259482373947035
无锡市,156320200,9.615977681638586
大兴安岭地区,156232700,7.536572653819589
鄂尔多斯市,156150600,7.3383074247248095
阿拉善盟,156152900,3.9493605910991225
山南市,156540500,0.0
开封市,156410200,2.9500054847585306
重庆市,156500000,5.546939327005297
钦州市,156450700,1.3030825145742604
榆林市,156610800,1.572522167842155
伊春市,156230700,0.2943565887039082
运城市,156140800,4.162564425636046
丽江市,156530700,3.956026810398437
黄冈市,156421100,2.7302844380786047
