name,gb,Average_Accessibility
梅州市,156441400,0.007978453710463044
鄂州市,156420700,0.009703800530137424
吕梁市,156141100,0.00390513894532839
舟山市,156330900,0.054403125996492344
朝阳市,156211300,0.00030947181435085283
广安市,156511600,0.002985966759540676
濮阳市,156410900,0.012255376150862996
宣城市,156341800,0.0045321638416810145
六盘水市,156520200,0.002477768921382378
深圳市,156440300,1.0447849367977529
三明市,156350400,0.00833315744559165
景德镇市,156360200,0.004870093837802937
楚雄彝族自治州,156532300,0.0024661665622138654
大连市,156210200,0.012124618080435481
攀枝花市,156510400,0.0025533777709654654
贺州市,156451100,0.003680801560567926
西安市,156610100,0.09417522210609476
境界线,,0.0
淮北市,156340600,0.0037519859104621703
邵阳市,156430500,0.0031922948950145495
石家庄市,156130100,0.015892554477117377
汕尾市,156441500,0.01036743568319346
荆门市,156420800,0.0016774527091141251
衢州市,156330800,0.01719184073244255
迪庆藏族自治州,156533400,0.004548499433542326
宜宾市,156511500,0.0033377712933893044
葫芦岛市,156211400,0.0016748478010124657
济南市,156370100,0.020292898853614117
贵阳市,156520100,0.015237312883524217
珠海市,156440400,0.1515917151865333
长春市,156220100,0.0026410425498095643
延边朝鲜族自治州,156222400,0.0038013718015888383
萍乡市,156360300,0.004045650222807025
庆阳市,156621000,0.0026950011891710363
泉州市,156350500,0.04176848522207355
自贡市,156510300,0.0029810961408345484
临沂市,156371300,0.0104564078196654
百色市,156451000,0.002108333103530957
鞍山市,156210300,0.001157988463495655
铜陵市,156340700,0.0053522776972296775
唐山市,156130200,0.01159154246505452
岳阳市,156430600,0.004541804965641763
河源市,156441600,0.008779417950997846
孝感市,156420900,0.0037549562907950407
金华市,156330700,0.02205795214996049
兴安盟,156152200,8.833415296349492e-05
盘锦市,156211100,0.0031650313096282644
雅安市,156511800,0.010875360289616371
亳州市,156341600,0.002298923322373579
商洛市,156611000,0.0030085577394953957
盐城市,156320900,0.00888902053810254
汕头市,156440500,0.02422326314479541
安顺市,156520400,0.0038178736037380815
黔南布依族苗族自治州,156522700,0.0028924903233587475
厦门市,156350200,0.19617137762303186
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.00017398783450728593
红河哈尼族彝族自治州,156532500,0.002717149155458059
甘南藏族自治州,156623000,0.00039662243000657946
太原市,156140100,0.06217300132341208
常德市,156430700,0.002689303083904586
牡丹江市,156231000,0.0008344317194840142
淮南市,156340400,0.002986576336860135
德阳市,156510600,0.006503510174474923
威海市,156371000,0.006437438524306738
秦皇岛市,156130300,0.011577790909177689
绍兴市,156330600,0.015193717473526876
阳江市,156441700,0.008776379143187359
铁岭市,156211200,0.0006781403321069624
达州市,156511700,0.00165010300135251
池州市,156341700,0.002532947219263739
淮安市,156320800,0.0087490421722867
遵义市,156520300,0.003635528287533411
黔东南苗族侗族自治州,156522600,0.002683460743529134
莆田市,156350300,0.0192021822264191
南昌市,156360100,0.03163267497482934
佛山市,156440600,0.1371916080412793
大同市,156140200,0.004196705586651408
昆明市,156530100,0.023261893136160713
张家界市,156430800,0.005819694283082313
泸州市,156510500,0.0035295837072519495
沈阳市,156210100,0.005269367361808827
邯郸市,156130400,0.008057747405622876
马鞍山市,156340500,0.004436261967477819
日照市,156371100,0.01378465707147118
三亚市,156460200,0.07585529891812072
十堰市,156420300,0.005751788389233002
呼和浩特市,156150100,0.005144845434942929
德宏傣族景颇族自治州,156533100,0.0025045522453966095
梧州市,156450400,0.007313301781663811
枣庄市,156370400,0.011447777655338035
安阳市,156410500,0.006055859710729076
怀化市,156431200,0.0027583245314446348
阳泉市,156140300,0.007765641501877688
保亭黎族苗族自治县,156469029,0.02747765805856016
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.004217376556134456
陵水黎族自治县,156469028,0.04022366776425614
博尔塔拉蒙古自治州,156652700,0.0008523097812348462
乐东黎族自治县,156469027,0.004305673386451849
辽源市,156220400,0.0004737501989578287
齐齐哈尔市,156230200,0.00016610908076359354
龙岩市,156350800,0.007561344642252151
天门市,156429006,0.0015285225378600213
潜江市,156429005,0.0023198201848489523
邢台市,156130500,0.007732989731760031
仙桃市,156429004,0.004358740097743389
绥化市,156231200,0.00016022694846599627
丹东市,156210600,0.0005948863270011604
滨州市,156371600,0.0055210527626734845
镇江市,156321100,0.021468975005901794
昌江黎族自治县,156469026,0.004305830682361114
周口市,156411600,0.002768806146301386
白沙黎族自治县,156469025,0.018786336825444148
临高县,156469024,0.0016371861290965617
吐鲁番市,156650400,0.0021859270046191586
澄迈县,156469023,0.013412920232534755
长沙市,156430100,0.055392743019255765
屯昌县,156469022,0.01917357671828497
定安县,156469021,0.004347050886020252
海口市,156460100,0.08363682170246922
乐山市,156511100,0.004186846470799771
凉山彝族自治州,156513400,0.0014821401433678732
桂林市,156450300,0.0055644187124010225
东营市,156370500,0.017874703838227864
鹤壁市,156410600,0.0059875815907484715
娄底市,156431300,0.006198965654308447
包头市,156150200,0.001700738760141226
锡林郭勒盟,156152500,0.00011569110123997982
琼中黎族苗族自治县,156469030,0.0031152333755160005
长治市,156140400,0.005441225166947043
赣州市,156360700,0.0097653044952502
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0024567752559611087
巴音郭楞蒙古自治州,156652800,0.0009474023310174108
上海市,156310000,0.37127349750449395
鸡西市,156230300,0.0001888576259487199
宁德市,156350900,0.00882150002043883
保定市,156130600,0.011248873062001407
菏泽市,156371700,0.00312685370934559
崇左市,156451400,0.0015379031445419942
黑河市,156231100,0.0006726944999855782
扬州市,156321000,0.015155052592736164
驻马店市,156411700,0.002678095970744259
哈密市,156650500,0.0015040647492084156
株洲市,156430200,0.007959521287468935
锦州市,156210700,0.0009708324756497652
肇庆市,156441200,0.013217175921932505
恩施土家族苗族自治州,156422800,0.002627312958498423
宜昌市,156420500,0.006405748860188373
怒江傈僳族自治州,156533300,0.0007382737665340818
柳州市,156450200,0.016134979962541433
平凉市,156620800,0.001495437566778681
眉山市,156511400,0.005585648710765536
青岛市,156370200,0.03316655586510202
新乡市,156410700,0.008215265600975585
乌海市,156150300,0.002212958710488879
黔西南布依族苗族自治州,156522300,0.003656902415229675
晋城市,156140500,0.0050383185816864975
广州市,156440100,0.25310207650077315
吉林市,156220200,0.0007091832097510737
九江市,156360400,0.004729101840160618
漳州市,156350600,0.017843316267536612
来宾市,156451300,0.002924970127597705
张家口市,156130700,0.007837955003777278
德州市,156371400,0.005813380134929358
胡杨河市,156659010,0.0
固原市,156640400,0.0032705668433539404
抚顺市,156210400,0.001209812652321382
安庆市,156340800,0.004793640315707478
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.010107378456984083
湘潭市,156430300,0.01234387307688929
昆玉市,156659009,0.0
惠州市,156441300,0.04811677223836891
可克达拉市,156659008,0.0005379931665924887
襄阳市,156420600,0.006231773294501787
南宁市,156450100,0.00810355966460094
南充市,156511300,0.0025247318799411704
酒泉市,156620900,0.0016784356508923958
淄博市,156370300,0.017336493624664273
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.012679924523575801
石河子市,156659001,0.0030709124860484353
赤峰市,156150400,0.0002060243647428918
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0014137268330143616
五家渠市,156659004,0.001753931787605462
韶关市,156440200,0.007505406238698261
朔州市,156140600,0.0028819999090300883
四平市,156220300,0.0002237370750921187
新余市,156360500,0.0045306903853775185
南平市,156350700,0.009038542518727398
哈尔滨市,156230100,0.0017902120080522358
成都市,156510100,0.06834336811466439
河池市,156451200,0.0013683008122301712
中卫市,156640500,0.0037176577500202504
本溪市,156210500,0.001710323870408671
承德市,156130800,0.003314007956559401
聊城市,156371500,0.006718531607020701
衡阳市,156430400,0.003646661516293729
湘西土家族苗族自治州,156433100,0.002897957360153475
杭州市,156330100,0.09404867246783341
玉树藏族自治州,156632700,0.0005507430639760248
武威市,156620600,0.0008013442123585298
临夏回族自治州,156622900,0.0015784533193780894
黄山市,156341000,0.010805324045625411
徐州市,156320300,0.008301376372577638
济宁市,156370800,0.00866976798404596
揭阳市,156445200,0.009892382936429252
那曲市,156540600,0.000545172893171069
郑州市,156410100,0.06081515741612996
通辽市,156150500,8.57267433539369e-05
贵港市,156450800,0.0029000966551745657
安康市,156610900,0.003437095196810449
昌吉回族自治州,156652300,0.0009451082474909419
晋中市,156140700,0.005822256964402029
大庆市,156230600,0.0007142981833230625
普洱市,156530800,0.00130411105593952
白城市,156220800,0.00032785450398680653
石嘴山市,156640200,0.003623150725048447
荆州市,156421000,0.002243775329051615
沧州市,156130900,0.006884056930768873
三门峡市,156411200,0.011693743075487326
海西蒙古族藏族自治州,156632800,0.0028951421554529694
云浮市,156445300,0.012701952100988243
张掖市,156620700,0.0014220189648692298
滁州市,156341100,0.0038739461626759735
泰安市,156370900,0.010605746472240477
无锡市,156320200,0.06397861157856202
大兴安岭地区,156232700,0.003953891955547451
鄂尔多斯市,156150600,0.0036110797013106486
阿拉善盟,156152900,0.0012803509858058124
山南市,156540500,0.0
开封市,156410200,0.008230161811265251
重庆市,156500000,0.012106255007047513
钦州市,156450700,0.0019967751240167093
榆林市,156610800,0.001158168810377815
伊春市,156230700,0.0002815024033419488
运城市,156140800,0.00714388148817392
丽江市,156530700,0.004858344438811506
黄冈市,156421100,0.003871943275794235
吴忠市,156640300,0.004840358027543019
南阳市,156411300,0.0022232869547184207
乌鲁木齐市,156650100,0.007164497117682274
和田地区,156653200,0.00024670687234745243
