name,gb,Gini_Coefficient
梅州市,156441400,0.9979012929567699
鄂州市,156420700,0.9945133462543693
吕梁市,156141100,0.9859497105895138
舟山市,156330900,0.966849224171742
朝阳市,156211300,0.9973816503182116
广安市,156511600,0.9977368144962806
濮阳市,156410900,0.9914496362440788
宣城市,156341800,0.9970154694266548
六盘水市,156520200,0.0
深圳市,156440300,0.6614530869754435
三明市,156350400,0.9690674513594199
景德镇市,156360200,0.9976032936183578
楚雄彝族自治州,156532300,0.993668153138602
大连市,156210200,0.8702127107406727
攀枝花市,156510400,0.9954928596612127
贺州市,156451100,0.0
西安市,156610100,0.8042392854927837
境界线,,0.0
淮北市,156340600,0.9994652320231364
邵阳市,156430500,0.9989969957384662
石家庄市,156130100,0.945127705359186
汕尾市,156441500,0.0
荆门市,156420800,0.9997945008206061
衢州市,156330800,0.964486911095252
迪庆藏族自治州,156533400,0.997037287587676
宜宾市,156511500,0.9993932498965601
葫芦岛市,156211400,0.0
济南市,156370100,0.9527960410292168
贵阳市,156520100,0.9080221719244445
珠海市,156440400,0.8731180294715994
长春市,156220100,0.9960150929654052
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9950977413012461
庆阳市,156621000,0.9931129836827793
泉州市,156350500,0.9716867828063532
自贡市,156510300,0.9755687407716771
临沂市,156371300,0.9643440544074434
百色市,156451000,0.9969573591776806
鞍山市,156210300,0.9998269565829209
铜陵市,156340700,0.9984538773733751
唐山市,156130200,0.9262085866606822
岳阳市,156430600,0.9975338112985369
河源市,156441600,0.9994405044056731
孝感市,156420900,0.9966865781300389
金华市,156330700,0.968165529437229
兴安盟,156152200,0.9943885076817311
盘锦市,156211100,0.9991771756194905
雅安市,156511800,0.9764208226984461
亳州市,156341600,0.9986822344528792
商洛市,156611000,0.9966280491315643
盐城市,156320900,0.9635602032656668
汕头市,156440500,0.9875429675014836
安顺市,156520400,0.9935594364514542
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.6935902665302108
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.9957555728810857
甘南藏族自治州,156623000,0.999933708855153
太原市,156140100,0.796432976058733
常德市,156430700,0.997173922205432
牡丹江市,156231000,0.9911794150681306
淮南市,156340400,0.998004191126939
德阳市,156510600,0.9514499166868114
威海市,156371000,0.9681252317104225
秦皇岛市,156130300,0.9685294126162461
绍兴市,156330600,0.9603370483209938
阳江市,156441700,0.9824843358976058
铁岭市,156211200,0.9986118006367554
达州市,156511700,0.0
池州市,156341700,0.99741822509236
淮安市,156320800,0.982639462508737
遵义市,156520300,0.9893795897881882
黔东南苗族侗族自治州,156522600,0.9948611735058521
莆田市,156350300,0.9835104903135597
南昌市,156360100,0.9299049414652657
佛山市,156440600,0.9433845790332853
大同市,156140200,0.9985562856538781
昆明市,156530100,0.860860412412844
张家界市,156430800,0.0
泸州市,156510500,0.993003114426901
沈阳市,156210100,0.9569890219895136
邯郸市,156130400,0.9809485354348385
马鞍山市,156340500,0.9922993842768683
日照市,156371100,0.9297441537382366
三亚市,156460200,0.9366222158347377
十堰市,156420300,0.9966414544378513
呼和浩特市,156150100,0.9350126999111048
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9853408623541146
枣庄市,156370400,0.9868876110402894
安阳市,156410500,0.9946712524103939
怀化市,156431200,0.9921906064426059
阳泉市,156140300,0.9923147884337257
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9988256745278963
陵水黎族自治县,156469028,0.9900933415314036
博尔塔拉蒙古自治州,156652700,0.9989870388087765
乐东黎族自治县,156469027,0.9957899593663176
辽源市,156220400,0.9974035085119247
齐齐哈尔市,156230200,0.9993243549853954
龙岩市,156350800,0.9694463449214937
天门市,156429006,0.9924811374638471
潜江市,156429005,0.0
邢台市,156130500,0.990969508735298
仙桃市,156429004,0.9844551383481664
绥化市,156231200,0.0
丹东市,156210600,0.9989195502977736
滨州市,156371600,0.9942297640612618
镇江市,156321100,0.9415214042585235
昌江黎族自治县,156469026,0.9984320829334378
周口市,156411600,0.9972611552839715
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9954952734346703
澄迈县,156469023,0.9876129640095299
长沙市,156430100,0.8802850176229755
屯昌县,156469022,0.0
定安县,156469021,0.9965795675251767
海口市,156460100,0.7389570429820498
乐山市,156511100,0.9852688044933998
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9856647916673315
东营市,156370500,0.9910091976992231
鹤壁市,156410600,0.992637050317513
娄底市,156431300,0.9978204364463769
包头市,156150200,0.9995734818640961
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9972857244590186
赣州市,156360700,0.9899777251490975
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9920419728854375
上海市,156310000,0.5969563363300496
鸡西市,156230300,0.9950562236077022
宁德市,156350900,0.9936186943766253
保定市,156130600,0.9725654711354914
菏泽市,156371700,0.9981993984711938
崇左市,156451400,0.999851556337358
黑河市,156231100,0.0
扬州市,156321000,0.9472532582528459
驻马店市,156411700,0.9946981580402597
哈密市,156650500,0.9734938805486709
株洲市,156430200,0.996487503110582
锦州市,156210700,0.9961906418201391
肇庆市,156441200,0.9886809468443454
恩施土家族苗族自治州,156422800,0.9976322199606471
宜昌市,156420500,0.9910961338284017
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.9533063708101591
平凉市,156620800,0.9857699567266652
