name,gb,Average_Accessibility
梅州市,156441400,0.004599560122783163
鄂州市,156420700,0.008643363864942528
吕梁市,156141100,0.0014204811972327552
舟山市,156330900,0.0460209122294823
朝阳市,156211300,0.00021354231751740633
广安市,156511600,0.0025937461577490817
濮阳市,156410900,0.011407282214983605
宣城市,156341800,0.0027609922710778814
六盘水市,156520200,0.0014904310091720637
深圳市,156440300,0.9036742825381491
三明市,156350400,0.0028067991212848893
景德镇市,156360200,0.002811033775307818
楚雄彝族自治州,156532300,0.0007480512590687314
大连市,156210200,0.0107539810478613
攀枝花市,156510400,0.0009152004829952828
贺州市,156451100,0.0015537548985128618
西安市,156610100,0.05155986644993744
境界线,,0.0
淮北市,156340600,0.003546149539251397
邵阳市,156430500,0.0020172413838267836
石家庄市,156130100,0.012682557368753664
汕尾市,156441500,0.006377080443558419
荆门市,156420800,0.0012912432445625365
衢州市,156330800,0.0099205784588074
迪庆藏族自治州,156533400,0.0003029726828706403
宜宾市,156511500,0.0025364625939369306
葫芦岛市,156211400,0.0011433901933091397
济南市,156370100,0.018141054427326917
贵阳市,156520100,0.01157002724259426
珠海市,156440400,0.12134553937365233
长春市,156220100,0.002024774771660146
延边朝鲜族自治州,156222400,0.0007308067790544839
萍乡市,156360300,0.0030131203787667413
庆阳市,156621000,0.0007111652216451738
泉州市,156350500,0.025677291079354608
自贡市,156510300,0.00279052484151266
临沂市,156371300,0.009690893193184844
百色市,156451000,0.0008986224118555745
鞍山市,156210300,0.0008523696155107997
铜陵市,156340700,0.004399256844633802
唐山市,156130200,0.009976437724659679
岳阳市,156430600,0.003519168137246173
河源市,156441600,0.00431330801280851
孝感市,156420900,0.0033636608148014985
金华市,156330700,0.013175215940510767
兴安盟,156152200,1.781110338760584e-05
盘锦市,156211100,0.0021138642441668586
雅安市,156511800,0.0017498438414471137
亳州市,156341600,0.002269270672061579
商洛市,156611000,0.0008281988170000458
盐城市,156320900,0.008300725685782126
汕头市,156440500,0.02010652889892926
安顺市,156520400,0.0027422022952926723
黔南布依族苗族自治州,156522700,0.0015760366360897946
厦门市,156350200,0.15591323301016566
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,4.974435842008515e-05
红河哈尼族彝族自治州,156532500,0.00116242749987993
甘南藏族自治州,156623000,1.7319981655289802e-05
太原市,156140100,0.025337489968023017
常德市,156430700,0.0021266663312663296
牡丹江市,156231000,0.00014870104848276684
淮南市,156340400,0.0028019141153540635
德阳市,156510600,0.005680984887532203
威海市,156371000,0.005701749646488147
秦皇岛市,156130300,0.008353370925938583
绍兴市,156330600,0.010454694325298443
阳江市,156441700,0.005476851529871104
铁岭市,156211200,0.00041803474853050707
达州市,156511700,0.0010871360585795787
池州市,156341700,0.001538820157086945
淮安市,156320800,0.007787022917228285
遵义市,156520300,0.0020747761210146085
黔东南苗族侗族自治州,156522600,0.001159264340909231
莆田市,156350300,0.012552661179807807
南昌市,156360100,0.025521339571718506
佛山市,156440600,0.12477231908727575
大同市,156140200,0.0017302022228976226
昆明市,156530100,0.011957445465621276
张家界市,156430800,0.0026400971175381217
泸州市,156510500,0.0020779026046205224
沈阳市,156210100,0.0039759983595070315
邯郸市,156130400,0.006742905502336256
马鞍山市,156340500,0.004201577722187065
日照市,156371100,0.012349978386711799
三亚市,156460200,0.048382166713512836
十堰市,156420300,0.0019855624898228847
呼和浩特市,156150100,0.0018283831265611527
德宏傣族景颇族自治州,156533100,0.001077040878781575
