name,gb,Average_Accessibility
梅州市,156441400,0.03335019883495742
鄂州市,156420700,0.04719917686073692
吕梁市,156141100,0.011209358553811034
舟山市,156330900,0.08011369782734692
朝阳市,156211300,0.001691925359274271
广安市,156511600,0.008536532201990299
濮阳市,156410900,0.04113602849096304
宣城市,156341800,0.029866237017133552
六盘水市,156520200,0.015286244814025476
深圳市,156440300,1.28793091367713
三明市,156350400,0.01385419848087426
景德镇市,156360200,0.02025895242130055
楚雄彝族自治州,156532300,0.01592592876656085
大连市,156210200,0.023480147824362748
攀枝花市,156510400,0.01167490954407043
贺州市,156451100,0.031780257535620214
西安市,156610100,0.13195899150678356
境界线,,0.0
淮北市,156340600,0.03552687877195404
邵阳市,156430500,0.007826608371493023
石家庄市,156130100,0.03191702963467674
汕尾市,156441500,0.050782208906444824
荆门市,156420800,0.014268869035376096
衢州市,156330800,0.03716548075727671
迪庆藏族自治州,156533400,0.01595869608611682
宜宾市,156511500,0.0137841028070507
葫芦岛市,156211400,0.0036130982443048
济南市,156370100,0.04247797127249664
贵阳市,156520100,0.057660514655557174
珠海市,156440400,0.3493293268286455
长春市,156220100,0.007759522417372241
延边朝鲜族自治州,156222400,0.005238428855011552
萍乡市,156360300,0.02729959329225271
庆阳市,156621000,0.00629213591562479
泉州市,156350500,0.06872267278916475
自贡市,156510300,0.013317303284259964
临沂市,156371300,0.037289426185638144
百色市,156451000,0.014603884989523728
鞍山市,156210300,0.006676243779414757
铜陵市,156340700,0.040717429891415614
唐山市,156130200,0.025156138555765657
岳阳市,156430600,0.01227977654693781
河源市,156441600,0.041367447524997214
孝感市,156420900,0.01948558474378871
金华市,156330700,0.06903352002527828
兴安盟,156152200,0.0013476034311147836
盘锦市,156211100,0.012203160440492173
雅安市,156511800,0.03918411500509177
亳州市,156341600,0.020164426371733386
商洛市,156611000,0.007162378861401399
盐城市,156320900,0.027882124138504275
汕头市,156440500,0.09340960071919888
安顺市,156520400,0.014594522333838173
黔南布依族苗族自治州,156522700,0.010050904099998178
厦门市,156350200,0.2842483700022978
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.005660378800982998
红河哈尼族彝族自治州,156532500,0.013074058901576584
甘南藏族自治州,156623000,0.010276392728340727
太原市,156140100,0.09985806997631354
常德市,156430700,0.007235879301074405
牡丹江市,156231000,0.003925584601873897
淮南市,156340400,0.020789473166792503
德阳市,156510600,0.02341786301572025
威海市,156371000,0.023732214451875042
秦皇岛市,156130300,0.018592002537090094
绍兴市,156330600,0.0637375575184367
阳江市,156441700,0.03473552799060194
铁岭市,156211200,0.0021587320468991035
达州市,156511700,0.007046069018297359
池州市,156341700,0.02636532328377386
淮安市,156320800,0.034010092649211024
遵义市,156520300,0.019780149024511952
黔东南苗族侗族自治州,156522600,0.014574332702040721
莆田市,156350300,0.04436561667327836
南昌市,156360100,0.06269001127039112
佛山市,156440600,0.3547438464821504
大同市,156140200,0.012608056097826142
昆明市,156530100,0.05663809252528852
张家界市,156430800,0.008842960282819914
泸州市,156510500,0.01210729343974404
沈阳市,156210100,0.026513187554961813
邯郸市,156130400,0.020509529088963332
马鞍山市,156340500,0.025592730943059208
日照市,156371100,0.035252611276326055
三亚市,156460200,0.15019732449961976
十堰市,156420300,0.03509400591454422
呼和浩特市,156150100,0.016624813761596174
德宏傣族景颇族自治州,156533100,0.013949131348296409
梧州市,156450400,0.025702005901177914
枣庄市,156370400,0.03556777908992337
安阳市,156410500,0.025177656829801484
怀化市,156431200,0.00791499912192859
阳泉市,156140300,0.02065777177570247
保亭黎族苗族自治县,156469029,0.05815076301434289
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.022626251203294354
陵水黎族自治县,156469028,0.10936520009395986
博尔塔拉蒙古自治州,156652700,0.004724387343372277
乐东黎族自治县,156469027,0.021821523967542146
辽源市,156220400,0.0022149525823483007
齐齐哈尔市,156230200,0.0007658230573356599
龙岩市,156350800,0.02640145406985467
天门市,156429006,0.015095226143433529
潜江市,156429005,0.020845165742102795
邢台市,156130500,0.0222200925476265
仙桃市,156429004,0.018726775379645535
绥化市,156231200,0.0008255013208437415
丹东市,156210600,0.0034301299757798897
滨州市,156371600,0.022904667110865373
镇江市,156321100,0.06643062948167493
昌江黎族自治县,156469026,0.03443070642006964
周口市,156411600,0.02009566139628869
白沙黎族自治县,156469025,0.05254539628197379
临高县,156469024,0.01842172461819936
吐鲁番市,156650400,0.013493370040557397
澄迈县,156469023,0.04754407656457178
长沙市,156430100,0.08431923660487407
屯昌县,156469022,0.040758594713712994
定安县,156469021,0.025119969148117715
海口市,156460100,0.19656069444129132
乐山市,156511100,0.01376348304341851
凉山彝族自治州,156513400,0.010274214790855189
桂林市,156450300,0.025318949340920594
东营市,156370500,0.05392627089236264
鹤壁市,156410600,0.02282716990607413
娄底市,156431300,0.011210742711841207
包头市,156150200,0.01897817914666682
锡林郭勒盟,156152500,0.002074114425068911
琼中黎族苗族自治县,156469030,0.029658874335316564
长治市,156140400,0.01924103168649681
赣州市,156360700,0.023726024421113493
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.004168811470813984
巴音郭楞蒙古自治州,156652800,0.007498354003445568
上海市,156310000,0.4242861378085202
鸡西市,156230300,0.0006892261200919402
宁德市,156350900,0.016046156212188196
保定市,156130600,0.01900526638977985
菏泽市,156371700,0.021400448530239955
崇左市,156451400,0.016155105008384612
黑河市,156231100,0.00021598132982235293
扬州市,156321000,0.052475041905119375
驻马店市,156411700,0.013657288926055723
哈密市,156650500,0.011513960758388795
株洲市,156430200,0.01746557264522119
锦州市,156210700,0.0037677573292854982
肇庆市,156441200,0.0468457386004124
恩施土家族苗族自治州,156422800,0.009492107719900998
宜昌市,156420500,0.03045041185565731
怒江傈僳族自治州,156533300,0.014130399668358381
柳州市,156450200,0.051305166515542254
平凉市,156620800,0.005365995861559172
眉山市,156511400,0.020528970042071035
青岛市,156370200,0.06120021231568026
新乡市,156410700,0.031848015466065444
乌海市,156150300,0.007926375498413568
黔西南布依族苗族自治州,156522300,0.01134348993924395
晋城市,156140500,0.03275815795845677
广州市,156440100,0.3157203696583145
