name,gb,pname,officalProvinceNum2025,provinceNum2025,cityNum2025,dividRatio,officalCityNumDivid
梅州市,156441400,广东省,38770,32965,901,0.027332018807826,1060
鄂州市,156420700,湖北省,8311,11670,209,0.017909168808912,149
吕梁市,156141100,山西省,5731,5767,416,0.072134558696029,413
舟山市,156330900,浙江省,21942,19399,266,0.013712047012733,301
朝阳市,156211300,辽宁省,3194,3917,146,0.037273423538422,119
广安市,156511600,四川省,12365,11998,223,0.018586431071845,230
濮阳市,156410900,河南省,12525,15874,705,0.044412246440721,556
宣城市,156341800,安徽省,9743,20493,2750,0.134192163177670,1307
六盘水市,156520200,贵州省,5066,5379,326,0.060606060606061,307
深圳市,156440300,广东省,38770,32965,5661,0.171727589868042,6658
三明市,156350400,福建省,8162,7767,379,0.048796189004764,398
景德镇市,156360200,江西省,6116,8183,269,0.032873029451301,201
楚雄彝族自治州,156532300,云南省,5815,6937,366,0.052760559319591,307
大连市,156210200,辽宁省,3194,3917,1016,0.259382180239980,828
攀枝花市,156510400,四川省,12365,11998,160,0.013335555925988,165
贺州市,156451100,广西壮族自治区,8814,10222,482,0.047153198982587,416
西安市,156610100,陕西省,6270,5960,2472,0.414765100671141,2601
淮北市,156340600,安徽省,9743,20493,705,0.034401990923730,335
邵阳市,156430500,湖南省,5854,7605,375,0.049309664694280,289
石家庄市,156130100,河北省,11267,11652,1763,0.151304497082046,1705
汕尾市,156441500,广东省,38770,32965,464,0.014075534657971,546
荆门市,156420800,湖北省,8311,11670,483,0.041388174807198,344
衢州市,156330800,浙江省,21942,19399,669,0.034486313727512,757
迪庆藏族自治州,156533400,云南省,5815,6937,113,0.016289462303589,95
宜宾市,156511500,四川省,12365,11998,567,0.047257876312719,584
葫芦岛市,156211400,辽宁省,3194,3917,174,0.044421751340311,142
济南市,156370100,山东省,18515,20260,1572,0.077591312931885,1437
贵阳市,156520100,贵州省,5066,5379,1164,0.216397099832683,1096
珠海市,156440400,广东省,38770,32965,1085,0.032913696344608,1276
长春市,156220100,吉林省,1416,1927,859,0.445770627919045,631
延边朝鲜族自治州,156222400,吉林省,1416,1927,183,0.094966268811624,134
萍乡市,156360300,江西省,6116,8183,308,0.037639007698888,230
庆阳市,156621000,甘肃省,1894,2440,223,0.091393442622951,173
泉州市,156350500,福建省,8162,7767,1604,0.206514741856573,1686
自贡市,156510300,四川省,12365,11998,227,0.018919819969995,234
临沂市,156371300,山东省,18515,20260,2382,0.117571569595262,2177
百色市,156451000,广西壮族自治区,8814,10222,576,0.056349051066328,497
鞍山市,156210300,辽宁省,3194,3917,197,0.050293592034720,161
铜陵市,156340700,安徽省,9743,20493,609,0.029717464500073,290
唐山市,156130200,河北省,11267,11652,1451,0.124527978029523,1403
岳阳市,156430600,湖南省,5854,7605,472,0.062064431295201,363
河源市,156441600,广东省,38770,32965,777,0.023570453511300,914
孝感市,156420900,湖北省,8311,11670,738,0.063239074550129,526
金华市,156330700,浙江省,21942,19399,1596,0.082272282076396,1805
兴安盟,156152200,内蒙古自治区,4816,5318,209,0.039300488905604,189
盘锦市,156211100,辽宁省,3194,3917,143,0.036507531273934,117
雅安市,156511800,四川省,12365,11998,298,0.024837472912152,307
亳州市,156341600,安徽省,9743,20493,725,0.035377933928659,345
商洛市,156611000,陕西省,6270,5960,187,0.031375838926174,197
盐城市,156320900,江苏省,25553,21829,1611,0.073800907050254,1886
汕头市,156440500,广东省,38770,32965,631,0.019141513726680,742
安顺市,156520400,贵州省,5066,5379,387,0.071946458449526,364
黔南布依族苗族自治州,156522700,贵州省,5066,5379,528,0.098159509202454,497
厦门市,156350200,福建省,8162,7767,1228,0.158104802368997,1290
阿克苏地区,156652900,新疆维吾尔自治区,4735,5519,427,0.077369088603008,366
红河哈尼族彝族自治州,156532500,云南省,5815,6937,621,0.089519965402912,521
甘南藏族自治州,156623000,甘肃省,1894,2440,76,0.031147540983607,59
太原市,156140100,山西省,5731,5767,1071,0.185711808565979,1064
常德市,156430700,湖南省,5854,7605,431,0.056673241288626,332
牡丹江市,156231000,黑龙江省,1662,1844,132,0.071583514099783,119
淮南市,156340400,安徽省,9743,20493,424,0.020689991704484,202
德阳市,156510600,四川省,12365,11998,467,0.038923153858976,481
威海市,156371000,山东省,18515,20260,732,0.036130306021718,669
秦皇岛市,156130300,河北省,11267,11652,524,0.044970820460007,507
绍兴市,156330600,浙江省,21942,19399,1658,0.085468323109439,1875
阳江市,156441700,广东省,38770,32965,465,0.014105869861975,547
铁岭市,156211200,辽宁省,3194,3917,147,0.037528720959918,120
达州市,156511700,四川省,12365,11998,275,0.022920486747791,283
池州市,156341700,安徽省,9743,20493,851,0.041526374859708,405
淮安市,156320800,江苏省,25553,21829,1044,0.047826286133126,1222
遵义市,156520300,贵州省,5066,5379,1059,0.196876742889013,997
黔东南苗族侗族自治州,156522600,贵州省,5066,5379,572,0.106339468302658,539
莆田市,156350300,福建省,8162,7767,339,0.043646195442256,356
南昌市,156360100,江西省,6116,8183,1348,0.164731760967860,1007
佛山市,156440600,广东省,38770,32965,3243,0.098377066585773,3814
大同市,156140200,山西省,5731,5767,409,0.070920756025663,406
昆明市,156530100,云南省,5815,6937,1733,0.249819806832925,1453
张家界市,156430800,湖南省,5854,7605,198,0.026035502958580,152
泸州市,156510500,四川省,12365,11998,398,0.033172195365894,410
沈阳市,156210100,辽宁省,3194,3917,1104,0.281848353331631,900
邯郸市,156130400,河北省,11267,11652,1063,0.091228973566770,1028
马鞍山市,156340500,安徽省,9743,20493,842,0.041087200507490,400
日照市,156371100,山东省,18515,20260,838,0.041362290227048,766
三亚市,156460200,海南省,4372,3928,531,0.135183299389002,591
台湾省,156710000,台湾省,,39,39,1.000000000000000,
十堰市,156420300,湖北省,8311,11670,829,0.071036846615253,590
呼和浩特市,156150100,内蒙古自治区,4816,5318,765,0.143851071831516,693
德宏傣族景颇族自治州,156533100,云南省,5815,6937,208,0.029984143001297,174
梧州市,156450400,广西壮族自治区,8814,10222,517,0.050577186460575,446
枣庄市,156370400,山东省,18515,20260,640,0.031589338598223,585
安阳市,156410500,河南省,12525,15874,826,0.052034773844022,652
怀化市,156431200,湖南省,5854,7605,383,0.050361604207758,295
阳泉市,156140300,山西省,5731,5767,192,0.033292873244321,191
保亭黎族苗族自治县,156469029,海南省,4372,3928,91,0.023167006109980,101
鹰潭市,156360600,江西省,6116,8183,212,0.025907368935598,158
陵水黎族自治县,156469028,海南省,4372,3928,208,0.052953156822811,232
博尔塔拉蒙古自治州,156652700,新疆维吾尔自治区,4735,5519,116,0.021018300416742,100
乐东黎族自治县,156469027,海南省,4372,3928,99,0.025203665987780,110
辽源市,156220400,吉林省,1416,1927,48,0.024909185262065,35
齐齐哈尔市,156230200,黑龙江省,1662,1844,160,0.086767895878525,144
龙岩市,156350800,福建省,8162,7767,644,0.082914896356380,677
天门市,156429006,湖北省,8311,11670,128,0.010968294772922,91
潜江市,156429005,湖北省,8311,11670,85,0.007283633247644,61
邢台市,156130500,河北省,11267,11652,1183,0.101527634740817,1144
仙桃市,156429004,湖北省,8311,11670,131,0.011225364181662,93
绥化市,156231200,黑龙江省,1662,1844,136,0.073752711496746,123
丹东市,156210600,辽宁省,3194,3917,108,0.027572121521573,88
滨州市,156371600,山东省,18515,20260,933,0.046051332675222,853
镇江市,156321100,江苏省,25553,21829,909,0.041641852581428,1064
昌江黎族自治县,156469026,海南省,4372,3928,81,0.020621181262729,90
周口市,156411600,河南省,12525,15874,1042,0.065641930200328,822
白沙黎族自治县,156469025,海南省,4372,3928,56,0.014256619144603,62
临高县,156469024,海南省,4372,3928,67,0.017057026476578,75
吐鲁番市,156650400,新疆维吾尔自治区,4735,5519,236,0.042761369813372,202
澄迈县,156469023,海南省,4372,3928,203,0.051680244399185,226
长沙市,156430100,湖南省,5854,7605,2365,0.310979618671926,1820
屯昌县,156469022,海南省,4372,3928,85,0.021639511201629,95
定安县,156469021,海南省,4372,3928,77,0.019602851323829,86
海口市,156460100,海南省,4372,3928,1246,0.317209775967413,1387
乐山市,156511100,四川省,12365,11998,422,0.035172528754792,435
凉山彝族自治州,156513400,四川省,12365,11998,393,0.032755459243207,405
桂林市,156450300,广西壮族自治区,8814,10222,1220,0.119350420661319,1052
东营市,156370500,山东省,18515,20260,1060,0.052319842053307,969
鹤壁市,156410600,河南省,12525,15874,290,0.018268867330226,229
娄底市,156431300,湖南省,5854,7605,363,0.047731755424063,279
包头市,156150200,内蒙古自治区,4816,5318,650,0.122226400902595,589
锡林郭勒盟,156152500,内蒙古自治区,4816,5318,355,0.066754418954494,321
琼中黎族苗族自治县,156469030,海南省,4372,3928,72,0.018329938900204,80
长治市,156140400,山西省,5731,5767,560,0.097104213629270,557
赣州市,156360700,江西省,6116,8183,1882,0.229989001588659,1407
通化市,156220500,吉林省,1416,1927,162,0.084068500259471,119
巴音郭楞蒙古自治州,156652800,新疆维吾尔自治区,4735,5519,365,0.066135169414749,313
上海市,156310000,上海市,12979,8116,8116,1.000000000000000,12979
鸡西市,156230300,黑龙江省,1662,1844,65,0.035249457700651,59
宁德市,156350900,福建省,8162,7767,431,0.055491180636024,453
保定市,156130600,河北省,11267,11652,1468,0.125986955029180,1419
菏泽市,156371700,山东省,18515,20260,1234,0.060908193484699,1128
崇左市,156451400,广西壮族自治区,8814,10222,509,0.049794560751321,439
黑河市,156231100,黑龙江省,1662,1844,101,0.054772234273319,91
