name,gb,Average_Accessibility
梅州市,156441400,0.00017157070958063146
鄂州市,156420700,0.0005063290837444837
吕梁市,156141100,0.00017905102954341988
舟山市,156330900,0.0007087173063141669
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003291639236339697
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.07184816990510619
三明市,156350400,0.0020960175666234157
景德镇市,156360200,0.0004805382027871216
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0014127764127764128
攀枝花市,156510400,0.0008818342151675485
贺州市,156451100,0.0
西安市,156610100,0.010676156583629894
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0009620588058445072
汕尾市,156441500,0.0
荆门市,156420800,7.522756337922214e-05
衢州市,156330800,0.0007393168712110011
迪庆藏族自治州,156533400,0.0005341880978682103
宜宾市,156511500,7.099751085519029e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.003256846780162842
贵阳市,156520100,0.0010885341074020319
珠海市,156440400,0.01215611004478567
长春市,156220100,0.0001330671989354624
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.0002729257641921397
庆阳市,156621000,9.315323707498835e-05
泉州市,156350500,0.0009060022650056625
自贡市,156510300,0.001315573018115909
临沂市,156371300,0.0015424617689832974
百色市,156451000,0.0
鞍山市,156210300,0.00010253255408592229
铜陵市,156340700,0.00028417160579446163
唐山市,156130200,0.0006922011998154131
岳阳市,156430600,0.00013238895876083935
河源市,156441600,0.0
孝感市,156420900,0.0001803263907672888
金华市,156330700,0.0028915105250983115
兴安盟,156152200,0.00024608317611352635
盘锦市,156211100,0.00027100271002710027
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.0008609774626487718
汕头市,156440500,0.001279863481228669
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.023909147528211157
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.005234356412086605
常德市,156430700,0.00010500341261090986
牡丹江市,156231000,0.0001272750337782048
淮南市,156340400,0.0004127115146512588
德阳市,156510600,0.0002853067047075606
威海市,156371000,0.0005786199913207002
秦皇岛市,156130300,0.00011823126034523528
绍兴市,156330600,0.0006469979296066253
阳江市,156441700,0.00016059097478721696
铁岭市,156211200,0.0
