name,gb,Gini_Coefficient
梅州市,156441400,0.8092154074789987
鄂州市,156420700,0.9139607559066355
吕梁市,156141100,0.8707391569330851
舟山市,156330900,0.7970338578221479
朝阳市,156211300,0.9791561865495333
广安市,156511600,0.9089775390258011
濮阳市,156410900,0.8251845275470452
宣城市,156341800,0.8448235593013654
六盘水市,156520200,0.8880534619049584
深圳市,156440300,0.3358272319307113
三明市,156350400,0.7671364706377654
景德镇市,156360200,0.8344219094937595
楚雄彝族自治州,156532300,0.924344416466954
大连市,156210200,0.7496805820271955
攀枝花市,156510400,0.902686450124055
贺州市,156451100,0.8516338334621724
西安市,156610100,0.520664231488691
境界线,,0.0
淮北市,156340600,0.8885895794032407
邵阳市,156430500,0.86615033796682
石家庄市,156130100,0.7539926858618411
汕尾市,156441500,0.8144295476467671
荆门市,156420800,0.9223849544705082
衢州市,156330800,0.8283637466891627
迪庆藏族自治州,156533400,0.8218044271835107
宜宾市,156511500,0.8605907090805113
葫芦岛市,156211400,0.9393775664304367
济南市,156370100,0.7724865997507213
贵阳市,156520100,0.7555692371643492
珠海市,156440400,0.46819493170147275
长春市,156220100,0.882570027969655
延边朝鲜族自治州,156222400,0.8330884457899552
萍乡市,156360300,0.8889163904500633
庆阳市,156621000,0.8909514897056688
泉州市,156350500,0.7047761415396314
自贡市,156510300,0.8666734218135224
临沂市,156371300,0.8482995457504252
百色市,156451000,0.8412848189921723
鞍山市,156210300,0.9642279957802777
铜陵市,156340700,0.8112852571128097
唐山市,156130200,0.8479887235083793
岳阳市,156430600,0.848052068939845
河源市,156441600,0.7242957605769998
孝感市,156420900,0.9365520334550348
金华市,156330700,0.7251089302273241
兴安盟,156152200,0.9959341304900017
盘锦市,156211100,0.9128898970353932
雅安市,156511800,0.795654923635305
亳州市,156341600,0.9112859743635878
商洛市,156611000,0.9002604697253481
盐城市,156320900,0.8167245555485878
汕头市,156440500,0.8402266680161652
安顺市,156520400,0.909000186267228
黔南布依族苗族自治州,156522700,0.8616540124858859
厦门市,156350200,0.5166991228484437
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9756900818044508
红河哈尼族彝族自治州,156532500,0.861844213166808
甘南藏族自治州,156623000,0.9308211638973289
太原市,156140100,0.6027149034380828
常德市,156430700,0.893644951402609
牡丹江市,156231000,0.9546530327103796
淮南市,156340400,0.9407281705819482
德阳市,156510600,0.8934690805763588
威海市,156371000,0.8404064250428851
秦皇岛市,156130300,0.8955708869053246
绍兴市,156330600,0.8382834961620431
阳江市,156441700,0.7875282518567063
铁岭市,156211200,0.9800597768482728
达州市,156511700,0.8825542443259923
池州市,156341700,0.943449502772604
淮安市,156320800,0.8405455324627693
遵义市,156520300,0.8292901395085885
黔东南苗族侗族自治州,156522600,0.8560887426505542
莆田市,156350300,0.8359004583160695
南昌市,156360100,0.629300732080789
佛山市,156440600,0.5683472223110289
大同市,156140200,0.9042477880629534
昆明市,156530100,0.6317801614882187
张家界市,156430800,0.8304343416969363
泸州市,156510500,0.9027195111771151
沈阳市,156210100,0.8517506080971224
邯郸市,156130400,0.9309161283985544
马鞍山市,156340500,0.9125311256520212
日照市,156371100,0.7769739786604728
三亚市,156460200,0.45618402076719544
十堰市,156420300,0.7563659552467868
呼和浩特市,156150100,0.8412400477231983
德宏傣族景颇族自治州,156533100,0.8304346724025814
梧州市,156450400,0.7160535157802423
枣庄市,156370400,0.9016666268807959
安阳市,156410500,0.9011544543311799
怀化市,156431200,0.8813342696984945
阳泉市,156140300,0.8043989503076552
保亭黎族苗族自治县,156469029,0.5430283987017708
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9349277693698435
陵水黎族自治县,156469028,0.5133736232736779
博尔塔拉蒙古自治州,156652700,0.947588143437945
乐东黎族自治县,156469027,0.8855312225082568
辽源市,156220400,0.9531361832377693
齐齐哈尔市,156230200,0.9742636611842295
龙岩市,156350800,0.8272711898769981
天门市,156429006,0.9727050747425408
潜江市,156429005,0.9816225539063103
邢台市,156130500,0.8851930296246824
仙桃市,156429004,0.8938312489179848
绥化市,156231200,0.9809861161176888
丹东市,156210600,0.9602494637168449
滨州市,156371600,0.9460850027472641
镇江市,156321100,0.8229366609019767
昌江黎族自治县,156469026,0.759873764046381
周口市,156411600,0.9625172537851506
白沙黎族自治县,156469025,0.616854748391364
临高县,156469024,0.9725171558091955
吐鲁番市,156650400,0.9358590123956394
澄迈县,156469023,0.8153892902427898
长沙市,156430100,0.5364115384886212
屯昌县,156469022,0.8254644918033651
定安县,156469021,0.7316530601776823
海口市,156460100,0.37289037352564225
乐山市,156511100,0.8573915827020017
凉山彝族自治州,156513400,0.9466830228424398
桂林市,156450300,0.8033941956955875
东营市,156370500,0.8039662934468673
鹤壁市,156410600,0.9131567196936765
娄底市,156431300,0.8592826225328276
包头市,156150200,0.9341845793661697
锡林郭勒盟,156152500,0.9887610465203337
琼中黎族苗族自治县,156469030,0.9075294742548697
长治市,156140400,0.8843828617095694
赣州市,156360700,0.7557488757019597
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8912225545497807
巴音郭楞蒙古自治州,156652800,0.8805368278892696
上海市,156310000,0.45503656465616726
鸡西市,156230300,0.9770753326574932
宁德市,156350900,0.818956146761372
保定市,156130600,0.8923591724083035
菏泽市,156371700,0.9413025638822473
崇左市,156451400,0.8864356023429151
黑河市,156231100,0.9611849969017936
扬州市,156321000,0.7957968911778431
驻马店市,156411700,0.945183744907477
哈密市,156650500,0.9061585096102217
株洲市,156430200,0.7965512697755015
锦州市,156210700,0.9398038905086753
肇庆市,156441200,0.7872946835094623
恩施土家族苗族自治州,156422800,0.8696245043212878
宜昌市,156420500,0.7439165569276842
怒江傈僳族自治州,156533300,0.8448231249711456
柳州市,156450200,0.6797183250089027
平凉市,156620800,0.8952620644451693
眉山市,156511400,0.8635737913360407
青岛市,156370200,0.6659412285119731
新乡市,156410700,0.8646950915411908
乌海市,156150300,0.9462004391715837
黔西南布依族苗族自治州,156522300,0.8652279461008167
晋城市,156140500,0.8218249726401518
广州市,156440100,0.42680078943007194
吉林市,156220200,0.9563654992776626
九江市,156360400,0.8814896284840719
漳州市,156350600,0.7453563536089313
来宾市,156451300,0.8803087311774794
张家口市,156130700,0.8607655420894694
德州市,156371400,0.912717368851825
胡杨河市,156659010,0.0
固原市,156640400,0.911985736773325
抚顺市,156210400,0.974168054060539
安庆市,156340800,0.8476387308369557
白杨市,156659012,0.0
新星市,156659011,0.9718653196335684
克拉玛依市,156650200,0.7768785368800024
湘潭市,156430300,0.8094484832029848
昆玉市,156659009,0.0
惠州市,156441300,0.6049315643082469
可克达拉市,156659008,0.9805728873105949
襄阳市,156420600,0.8252325167803043
南宁市,156450100,0.7234067490927722
南充市,156511300,0.8304584433643444
酒泉市,156620900,0.8171522587450457
淄博市,156370300,0.8279426109669138
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.9910311647328776
焦作市,156410800,0.8602366127875356
石河子市,156659001,0.9716984970098227
赤峰市,156150400,0.9886166312339743
双河市,156659007,0.0
铁门关市,156659006,0.9960499529489958
北屯市,156659005,0.9553612929940489
五家渠市,156659004,0.8781804265813031
韶关市,156440200,0.8532323269350135
朔州市,156140600,0.9391485501589346
四平市,156220300,0.9682974956098572
新余市,156360500,0.8306896147706692
南平市,156350700,0.7823615025509651
哈尔滨市,156230100,0.9081088791037999
成都市,156510100,0.5616307655065305
河池市,156451200,0.849562455662962
中卫市,156640500,0.8533231116020854
本溪市,156210500,0.9064197544542795
承德市,156130800,0.9418941352993037
聊城市,156371500,0.9157757655475509
衡阳市,156430400,0.8954985717042662
湘西土家族苗族自治州,156433100,0.8662138111836661
杭州市,156330100,0.5294739935684023
玉树藏族自治州,156632700,0.999562566673559
武威市,156620600,0.896261378503614
临夏回族自治州,156622900,0.9333107192158049
黄山市,156341000,0.7444883990634134
徐州市,156320300,0.8654646500447636
济宁市,156370800,0.8982083271370552
揭阳市,156445200,0.8390097587000048
那曲市,156540600,0.9783745467935263
郑州市,156410100,0.594655528433344
通辽市,156150500,0.9826457254662997
贵港市,156450800,0.9004683329982122
安康市,156610900,0.9366773433290213
昌吉回族自治州,156652300,0.9456447008877874
晋中市,156140700,0.8406158834693134
大庆市,156230600,0.9741542585052849
普洱市,156530800,0.8660088636433394
白城市,156220800,0.9862491828861115
石嘴山市,156640200,0.8736602197489927
荆州市,156421000,0.9154868418842478
沧州市,156130900,0.9248000228046344
三门峡市,156411200,0.7299737363320749
海西蒙古族藏族自治州,156632800,0.9179568950397059
云浮市,156445300,0.8041599749273072
张掖市,156620700,0.8526466236665279
滁州市,156341100,0.8795713828455132
泰安市,156370900,0.8354809747366916
无锡市,156320200,0.70449161217413
大兴安岭地区,156232700,0.8570651679734215
鄂尔多斯市,156150600,0.8209199874178115
阿拉善盟,156152900,0.824612068851773
山南市,156540500,0.0
开封市,156410200,0.8896888958318372
重庆市,156500000,0.7428439961099409
钦州市,156450700,0.9126449306463014
榆林市,156610800,0.9117389810870804
伊春市,156230700,0.9650649315041147
运城市,156140800,0.8817232147946398
丽江市,156530700,0.855959995702265
黄冈市,156421100,0.8970055068310405
吴忠市,156640300,0.8675843182722379
南阳市,156411300,0.9205974298365024
乌鲁木齐市,156650100,0.8802300174191924
和田地区,156653200,0.96911660363673
海南藏族自治州,156632500,0.9481502400970266
海东市,156630200,0.940393194572103
武汉市,156420100,0.47694923290622127
儋州市,156460400,0.7977175697244638
甘孜藏族自治州,156513300,0.890123806657885
内江市,156511000,0.8966171201317358
烟台市,156370600,0.7882257728869166
南京市,156320100,0.5018181530700991
白银市,156620400,0.9223507472498564
郴州市,156431000,0.8620353247302027
呼伦贝尔市,156150700,0.9753850547381647
防城港市,156450600,0.8619922846853361
北京市,156110000,0.4823421989588391
洛阳市,156410300,0.7892983503925659
汉中市,156610700,0.8855133807707102
吉安市,156360800,0.9287239776882903
丽水市,156331100,0.8115775495060719
忻州市,156140900,0.88845668878504
中山市,156442000,0.5866120964279954
鹤岗市,156230400,0.9656750032688248
白山市,156220600,0.9617946256883492
咸宁市,156421200,0.9017869134616548
宿迁市,156321300,0.8544084813266074
济源市,156419001,0.9150900900287429
营口市,156210800,0.9652790764446426
商丘市,156411400,0.9528951881671502
果洛藏族自治州,156632600,0.9177563307628601
三沙市,156460300,0.43132616571730975
黄石市,156420200,0.8876252955723495
阿坝藏族羌族自治州,156513200,0.9137996555196639
潍坊市,156370700,0.8483329135310245
天水市,156620500,0.9193258294767439
永州市,156431100,0.8824664489438295
巴彦淖尔市,156150800,0.9692163371103422
北海市,156450500,0.8261034045151182
平顶山市,156410400,0.9116958113664659
宜春市,156360900,0.9253460657674042
台州市,156331000,0.7759413567729991
东方市,156469007,0.7779472913541858
延安市,156610600,0.9451560852632983
万宁市,156469006,0.8294839475117071
文昌市,156469005,0.7530392984382777
双鸭山市,156230500,0.9674367473165111
临沧市,156530900,0.8705945634284586
松原市,156220700,0.975010841291567
随州市,156421300,0.8350693060123257
资阳市,156512000,0.8287433850106662
银川市,156640100,0.7439517970248976
泰州市,156321200,0.8354889183968568
神农架林区,156429021,0.5972001446254945
阜新市,156210900,0.963885601185725
琼海市,156469002,0.582387768508486
五指山市,156469001,0.646116813443667
信阳市,156411500,0.903906844593104
湖州市,156330500,0.8198027409685074
黄南藏族自治州,156632300,0.9668300960662662
抚州市,156361000,0.888808328035892
清远市,156441800,0.7492966115337282
天津市,156120000,0.5071817496321082
嘉峪关市,156620200,0.909832808645701
乌兰察布市,156150900,0.9787602812030117
阿里地区,156542500,0.9785405889748333
连云港市,156320700,0.88572236016392
克孜勒苏柯尔克孜自治州,156653000,0.919992585829038
日喀则市,156540200,0.9679214234693473
渭南市,156610500,0.8894544897099912
铜仁市,156520600,0.9090392037523629
玉溪市,156530400,0.8280686781033584
江门市,156440700,0.742939507895036
益阳市,156430900,0.8818296180482134
广元市,156510800,0.7587258332090141
芜湖市,156340200,0.7819139689833777
塔城地区,156654200,0.9842522652942861
嘉兴市,156330400,0.7636639829730362
西宁市,156630100,0.9400351126591895
上饶市,156361100,0.9100308228253855
东莞市,156441900,0.5734410095587481
南通市,156320600,0.8107735750044593
辽阳市,156211000,0.8787352952097045
巴中市,156511900,0.9029684085719587
六安市,156341500,0.9063506610512548
金昌市,156620300,0.9098812095318303
廊坊市,156131000,0.8087929014327181
拉萨市,156540100,0.9091167680135269
喀什地区,156653100,0.9582269770087837
阿勒泰地区,156654300,0.8736991685124242
毕节市,156520500,0.8603730257138564
福州市,156350100,0.6064758957487115
咸阳市,156610400,0.8591198151893128
文山壮族苗族自治州,156532600,0.9389018087103582
湛江市,156440800,0.8768410230728064
曲靖市,156530300,0.8926356786565153
蚌埠市,156340300,0.9272635702998567
绵阳市,156510700,0.7928075631325214
温州市,156330300,0.6917835085102317
苏州市,156320500,0.6799402243450191
阜阳市,156341200,0.9175751279911546
林芝市,156540400,0.8396630552091013
衡水市,156131100,0.9254182580863157
许昌市,156411000,0.9100700775724152
佳木斯市,156230800,0.9631723947217156
宝鸡市,156610300,0.8122842555810801
昭通市,156530600,0.9263561443866386
大理白族自治州,156532900,0.8915880408307619
定西市,156621100,0.9200319749092511
茂名市,156440900,0.727083512938663
伊犁哈萨克自治州,156654000,0.8708992392734396
宁波市,156330200,0.6823114077410116
兰州市,156620100,0.6366187015378255
临汾市,156141000,0.853567073686428
常州市,156320400,0.7211100851469665
宿州市,156341300,0.9241354151310941
潮州市,156445100,0.7531015623188599
昌都市,156540300,0.9470019370876577
玉林市,156450900,0.8727332970906598
海北藏族自治州,156632200,0.8897853626597259
漯河市,156411100,0.9021075284221826
七台河市,156230900,0.980112466070417
西双版纳傣族自治州,156532800,0.8363054478060707
陇南市,156621200,0.9450074361211666
保山市,156530500,0.7488431668408945
遂宁市,156510900,0.8830188380718796
合肥市,156340100,0.5941752228749924
铜川市,156610200,0.8939463809223439
