name,gb,Average_Accessibility
梅州市,156441400,74.09167324116318
鄂州市,156420700,71.44878836132102
吕梁市,156141100,41.7277314814329
舟山市,156330900,152.34929547040818
朝阳市,156211300,24.0120062903307
广安市,156511600,24.476236393172574
濮阳市,156410900,53.56857897459548
宣城市,156341800,552.2721269413253
六盘水市,156520200,28.12760704378157
深圳市,156440300,109.45574606244755
三明市,156350400,56.152247370671006
景德镇市,156360200,51.52506544078374
楚雄彝族自治州,156532300,57.984497344864394
大连市,156210200,71.38065343697122
攀枝花市,156510400,50.62408428899801
贺州市,156451100,68.93788250491329
西安市,156610100,71.0778437638693
境界线,,0.0
淮北市,156340600,117.33969878145774
邵阳市,156430500,17.380030611133048
石家庄市,156130100,52.541789250681596
汕尾市,156441500,44.97332429475423
荆门市,156420800,97.67984717516059
衢州市,156330800,133.917650793849
迪庆藏族自治州,156533400,97.73897213943198
宜宾市,156511500,40.80224407236705
葫芦岛市,156211400,33.70206190419743
济南市,156370100,59.95265009193178
贵阳市,156520100,55.78301681090196
珠海市,156440400,145.488099220305
长春市,156220100,39.52614086058567
延边朝鲜族自治州,156222400,56.90134269476192
萍乡市,156360300,57.44284247678161
庆阳市,156621000,34.96320134473621
泉州市,156350500,63.93789785523981
自贡市,156510300,37.388418950806845
临沂市,156371300,70.86538581382156
百色市,156451000,49.72956273035034
鞍山市,156210300,33.99191185171115
铜陵市,156340700,196.26791085011655
唐山市,156130200,78.45528064723366
岳阳市,156430600,35.168319360657335
河源市,156441600,80.03030547080068
孝感市,156420900,75.73027096411126
金华市,156330700,89.08991595376403
兴安盟,156152200,69.24263284382846
盘锦市,156211100,52.644047283812185
雅安市,156511800,78.3587810985732
亳州市,156341600,40.614255141318964
商洛市,156611000,32.73801340619118
盐城市,156320900,113.21788636995765
汕头市,156440500,32.64042101509128
安顺市,156520400,42.13261635194148
黔南布依族苗族自治州,156522700,43.484089506064414
厦门市,156350200,75.31440397699743
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,41.33093508753339
红河哈尼族彝族自治州,156532500,43.14357410772167
甘南藏族自治州,156623000,27.531640216556585
太原市,156140100,70.58471608127252
常德市,156430700,37.20773358702123
牡丹江市,156231000,33.633534155565386
淮南市,156340400,49.722727620408946
德阳市,156510600,62.34166808937585
威海市,156371000,140.91704163743938
秦皇岛市,156130300,66.99020444222717
绍兴市,156330600,145.62870744041598
阳江市,156441700,60.41053112454472
铁岭市,156211200,36.75009164998878
达州市,156511700,17.843698468726135
池州市,156341700,269.8551226238991
淮安市,156320800,90.17823932414652
遵义市,156520300,48.15616123867579
黔东南苗族侗族自治州,156522600,44.04927892619261
莆田市,156350300,36.113111583601764
南昌市,156360100,56.492911517507586
佛山市,156440600,123.97694868554461
大同市,156140200,55.41138842250489
昆明市,156530100,65.4233784227177
张家界市,156430800,48.09603018550495
泸州市,156510500,30.818813831610456
沈阳市,156210100,58.893950461717374
邯郸市,156130400,32.263263326804115
马鞍山市,156340500,161.4262632972575
日照市,156371100,107.35004664937149
三亚市,156460200,167.51012322131
十堰市,156420300,99.84985657978685
呼和浩特市,156150100,83.69416045714588
德宏傣族景颇族自治州,156533100,50.23150207333387
梧州市,156450400,49.679846290252975
枣庄市,156370400,54.307074197285615
安阳市,156410500,44.34292299142512
怀化市,156431200,29.471366393054296
阳泉市,156140300,64.35696686633572
保亭黎族苗族自治县,156469029,228.81569068718534
中农发山丹马场,156629700,186.74137199473202
鹰潭市,156360600,55.75727166462107
陵水黎族自治县,156469028,190.26536572785335
博尔塔拉蒙古自治州,156652700,100.56422710526492
乐东黎族自治县,156469027,73.90314110783682
辽源市,156220400,28.68240206616075
齐齐哈尔市,156230200,21.018876780614946
龙岩市,156350800,88.16622484829534
天门市,156429006,49.146514474038845
潜江市,156429005,46.130527398593166
邢台市,156130500,53.596195060223096
仙桃市,156429004,47.96725030939983
绥化市,156231200,19.78051055429221
丹东市,156210600,31.670152259567836
滨州市,156371600,91.32774055683517
镇江市,156321100,140.76244467208514
昌江黎族自治县,156469026,120.92812486021326
周口市,156411600,32.731714452626285
白沙黎族自治县,156469025,118.77744128209133
临高县,156469024,48.188265138527655
吐鲁番市,156650400,102.8576124801601
澄迈县,156469023,129.35699245982258
长沙市,156430100,75.18278451839737
屯昌县,156469022,104.71073520268217
定安县,156469021,88.40311765795123
海口市,156460100,133.86437321904657
乐山市,156511100,61.757579532625
凉山彝族自治州,156513400,19.27238176012355
桂林市,156450300,88.43228174542064
东营市,156370500,199.8351420696469
鹤壁市,156410600,53.883792426834304
娄底市,156431300,30.290338747064816
包头市,156150200,109.2438693316118
锡林郭勒盟,156152500,152.67034319212397
琼中黎族苗族自治县,156469030,139.33201397697493
长治市,156140400,70.08235298559018
赣州市,156360700,59.8872809576736
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,48.909038685583134
巴音郭楞蒙古自治州,156652800,79.84266968762206
上海市,156310000,177.48690398147727
鸡西市,156230300,28.936493369549904
宁德市,156350900,52.057822363605666
保定市,156130600,45.85278092518559
菏泽市,156371700,41.84321037741278
崇左市,156451400,77.34294159630836
黑河市,156231100,45.217563918847134
扬州市,156321000,116.90965786304362
驻马店市,156411700,38.24345973971859
哈密市,156650500,175.55705553060798
株洲市,156430200,41.87801786239197
锦州市,156210700,37.52591438804806
肇庆市,156441200,72.18176561760286
恩施土家族苗族自治州,156422800,56.86225548539558
宜昌市,156420500,187.97196537228078
怒江傈僳族自治州,156533300,35.399209077731655
柳州市,156450200,97.83234394260408
平凉市,156620800,26.272590529786864
眉山市,156511400,66.92110933659693
青岛市,156370200,95.86912490345355
新乡市,156410700,47.514051544141196
乌海市,156150300,67.01203609056799
黔西南布依族苗族自治州,156522300,33.22557785912738
晋城市,156140500,153.97719788933696
广州市,156440100,84.12312008682571
吉林市,156220200,34.05363347334297
九江市,156360400,71.33447105425657
漳州市,156350600,79.02668392030222
来宾市,156451300,77.61265405773867
张家口市,156130700,57.03744665702506
德州市,156371400,54.372773471630786
胡杨河市,156659010,91.91176399701148
固原市,156640400,83.1667129315084
抚顺市,156210400,42.310918546720956
安庆市,156340800,70.6319361493221
白杨市,156659012,0.0
新星市,156659011,299.5642670392199
克拉玛依市,156650200,124.74435867128386
湘潭市,156430300,44.87120713356965
昆玉市,156659009,30.243967625317858
惠州市,156441300,112.90882086558425
可克达拉市,156659008,156.67842024130218
襄阳市,156420600,69.69390014834809
南宁市,156450100,61.59618347450207
南充市,156511300,39.199781812657086
酒泉市,156620900,81.21487620463297
淄博市,156370300,95.84514505138176
图木舒克市,156659003,15.034115653152332
阿拉尔市,156659002,80.32644680654315
焦作市,156410800,57.495624131608906
石河子市,156659001,60.85686440874582
赤峰市,156150400,55.42832313278234
双河市,156659007,58.149676634649275
铁门关市,156659006,115.66488068508113
北屯市,156659005,0.0
五家渠市,156659004,204.3795619629731
韶关市,156440200,105.64785386295027
朔州市,156140600,45.552397931629656
四平市,156220300,33.84643773619169
新余市,156360500,41.5667304604244
南平市,156350700,85.10274858585525
哈尔滨市,156230100,34.54826447672614
成都市,156510100,83.57287941782171
河池市,156451200,53.691298498206116
中卫市,156640500,60.3557901414252
本溪市,156210500,58.97254434926049
承德市,156130800,53.57621189389558
聊城市,156371500,51.77176027858822
衡阳市,156430400,26.010177434751693
湘西土家族苗族自治州,156433100,33.91990793735782
杭州市,156330100,156.2698639032607
玉树藏族自治州,156632700,0.49766838326828916
武威市,156620600,39.94209697614944
临夏回族自治州,156622900,18.779768692021968
黄山市,156341000,339.2885727364294
徐州市,156320300,61.19998814685686
济宁市,156370800,67.43464139692388
揭阳市,156445200,33.539500023627284
那曲市,156540600,6.3817023819370995
郑州市,156410100,67.0943999090182
通辽市,156150500,45.12932484538304
贵港市,156450800,39.59279902083877
安康市,156610900,41.122157471289135
昌吉回族自治州,156652300,125.46383030663492
晋中市,156140700,62.85753456124742
大庆市,156230600,40.88666763951814
普洱市,156530800,46.53829615424706
白城市,156220800,29.05471606307908
石嘴山市,156640200,167.09909560291956
荆州市,156421000,58.45754406128954
沧州市,156130900,41.694340436897136
三门峡市,156411200,62.475580281820314
海西蒙古族藏族自治州,156632800,55.04215055742168
云浮市,156445300,80.94078882941089
张掖市,156620700,71.51275010541065
滁州市,156341100,175.40579570272254
泰安市,156370900,67.89694362206494
无锡市,156320200,125.77620408309168
大兴安岭地区,156232700,145.29763805042666
鄂尔多斯市,156150600,220.58880476716232
阿拉善盟,156152900,495.44268502672304
山南市,156540500,30.545785111641923
开封市,156410200,41.67751394074978
重庆市,156500000,64.71024570733674
钦州市,156450700,43.39504625979326
榆林市,156610800,42.26723444233039
伊春市,156230700,21.879843260973598
运城市,156140800,41.04316820773897
丽江市,156530700,95.02845216013321
黄冈市,156421100,56.13195545190634
吴忠市,156640300,66.90582856540453
南阳市,156411300,31.252501256316414
乌鲁木齐市,156650100,129.95100813940465
和田地区,156653200,23.493714742028402
海南藏族自治州,156632500,25.089803108456014
海东市,156630200,21.31855260184637
武汉市,156420100,102.59505133958051
儋州市,156460400,83.2447077736551
甘孜藏族自治州,156513300,79.14094745983729
内江市,156511000,32.01620452378231
烟台市,156370600,91.70883666607324
南京市,156320100,124.89147289012655
白银市,156620400,35.86502259583458
郴州市,156431000,36.535126978346796
呼伦贝尔市,156150700,41.64532540094545
防城港市,156450600,96.88572956541623
北京市,156110000,133.532346082875
洛阳市,156410300,61.8290818434482
汉中市,156610700,58.12536815267484
吉安市,156360800,57.41000065713413
丽水市,156331100,79.38096203652898
忻州市,156140900,60.323376651957965
中山市,156442000,110.56506054969051
鹤岗市,156230400,18.766624966166958
白山市,156220600,52.155771778713124
咸宁市,156421200,67.97423415005852
宿迁市,156321300,65.3372829220722
济源市,156419001,80.7844853817721
营口市,156210800,55.80578595325571
商丘市,156411400,39.646279069397494
果洛藏族自治州,156632600,11.184886180056901
三沙市,156460300,1117.3184243077671
黄石市,156420200,60.88920200828664
阿坝藏族羌族自治州,156513200,150.9839842911758
潍坊市,156370700,74.40859435520548
天水市,156620500,17.474333289276842
永州市,156431100,26.442371923553434
巴彦淖尔市,156150800,92.39880708093976
北海市,156450500,69.59351873796913
平顶山市,156410400,35.558298769972026
宜春市,156360900,47.24597612179887
台州市,156331000,73.69878672283667
东方市,156469007,78.99291241810619
延安市,156610600,49.760209802999164
万宁市,156469006,122.85837057090131
文昌市,156469005,149.586539246157
双鸭山市,156230500,40.13556920057252
临沧市,156530900,30.627330535156602
松原市,156220700,33.343686546201205
随州市,156421300,89.21556890822167
资阳市,156512000,44.14889220550252
银川市,156640100,96.29378452840315
泰州市,156321200,125.64168746895064
神农架林区,156429021,486.9039612173189
阜新市,156210900,34.52825329599429
琼海市,156469002,177.00499007970092
五指山市,156469001,216.51107733133705
信阳市,156411500,49.955050071331534
湖州市,156330500,234.01719522691562
黄南藏族自治州,156632300,9.77412888901079
抚州市,156361000,40.19316289949554
清远市,156441800,79.85725727589045
天津市,156120000,141.45041608286832
嘉峪关市,156620200,52.355299856797714
乌兰察布市,156150900,186.94664376398393
阿里地区,156542500,19.49444375749406
连云港市,156320700,65.01037322450237
克孜勒苏柯尔克孜自治州,156653000,25.04676737616636
日喀则市,156540200,14.908412712461807
渭南市,156610500,58.23273524905336
铜仁市,156520600,30.78192689418498
玉溪市,156530400,64.25617670515086
江门市,156440700,99.14002747482874
益阳市,156430900,43.31650259348371
广元市,156510800,75.19289851602326
芜湖市,156340200,225.71960567534774
塔城地区,156654200,64.20042013859955
嘉兴市,156330400,188.87937668550308
西宁市,156630100,30.675891967438513
上饶市,156361100,37.885187181450284
东莞市,156441900,98.11138948030623
南通市,156320600,147.6052202842994
辽阳市,156211000,47.05659225634389
巴中市,156511900,27.139813085204292
六安市,156341500,82.73427402166304
金昌市,156620300,83.32190783963306
廊坊市,156131000,104.78344294027306
拉萨市,156540100,41.28679670620892
喀什地区,156653100,23.993562767855884
阿勒泰地区,156654300,46.7540839244209
毕节市,156520500,20.258470384124415
福州市,156350100,62.475186556014734
咸阳市,156610400,47.208673687527394
文山壮族苗族自治州,156532600,23.13900012827351
湛江市,156440800,34.87592334799901
曲靖市,156530300,31.847260940848628
蚌埠市,156340300,111.2871196079851
绵阳市,156510700,71.84843627712912
温州市,156330300,82.03491815843198
苏州市,156320500,140.1309251402128
阜阳市,156341200,49.58400027740022
林芝市,156540400,140.90077574277092
衡水市,156131100,56.3908675062089
许昌市,156411000,48.38570704062213
佳木斯市,156230800,27.096991046465348
宝鸡市,156610300,51.23140229645317
昭通市,156530600,18.932480692750175
大理白族自治州,156532900,70.04756990914441
定西市,156621100,26.983498106705213
茂名市,156440900,61.44227380386954
伊犁哈萨克自治州,156654000,65.39462023458528
宁波市,156330200,149.83351536644733
兰州市,156620100,43.54775539876242
临汾市,156141000,56.43195102842865
常州市,156320400,131.23086407422753
宿州市,156341300,75.67990280852499
潮州市,156445100,67.7473463050159
昌都市,156540300,23.935767163668693
玉林市,156450900,39.620757532778285
海北藏族自治州,156632200,29.67499912420098
漯河市,156411100,44.88778770136869
七台河市,156230900,30.801875849794374
西双版纳傣族自治州,156532800,69.36321052720811
陇南市,156621200,15.145565844061226
保山市,156530500,51.28032661750302
遂宁市,156510900,37.45329747759714
合肥市,156340100,114.96288738331194
铜川市,156610200,98.74122537031285
