name,gb,Average_Accessibility
梅州市,156441400,0.010623103017318336
鄂州市,156420700,0.0015282730514518594
吕梁市,156141100,0.0002797463632972771
舟山市,156330900,0.00693000693000693
朝阳市,156211300,5.03879875037791e-05
广安市,156511600,0.0006293266205160479
濮阳市,156410900,0.0008347245409015025
宣城市,156341800,0.0005714285714285715
六盘水市,156520200,0.00012512512512512512
深圳市,156440300,0.28492899679340356
三明市,156350400,0.0021287379624936645
景德镇市,156360200,0.008297711843097813
楚雄彝族自治州,156532300,0.00045203865140248093
大连市,156210200,0.007147146688925254
攀枝花市,156510400,0.0014581510644502771
贺州市,156451100,0.0
西安市,156610100,0.025436793422404933
境界线,,0.0
淮北市,156340600,0.000514800484116013
邵阳市,156430500,0.0
石家庄市,156130100,0.0051483206668301055
汕尾市,156441500,0.0
荆门市,156420800,0.00014821400337790283
衢州市,156330800,0.0076279888514009095
迪庆藏族自治州,156533400,0.001122334455667789
宜宾市,156511500,0.00014283673760891302
葫芦岛市,156211400,0.0
济南市,156370100,0.005081073003063588
贵阳市,156520100,0.00557551728410358
珠海市,156440400,0.024983563445101907
长春市,156220100,0.00012992496833078896
延边朝鲜族自治州,156222400,0.00012202562538133008
萍乡市,156360300,0.0005530973121655726
庆阳市,156621000,0.00038583968361145945
泉州市,156350500,0.004415011037527594
自贡市,156510300,0.0006560603575528948
临沂市,156371300,0.0053079976805388285
百色市,156451000,0.00041714464490562103
鞍山市,156210300,0.0003006614552014432
铜陵市,156340700,0.00028296544447954457
唐山市,156130200,0.00840238067452445
岳阳市,156430600,0.0006648494116082707
河源市,156441600,0.004072883172561629
孝感市,156420900,0.000631370073058537
金华市,156330700,0.004065512835404809
兴安盟,156152200,0.00022969144782175943
盘锦市,156211100,0.0005241090146750524
雅安市,156511800,0.00040048057669203043
亳州市,156341600,0.0006615397337302572
商洛市,156611000,0.00041293874741913283
盐城市,156320900,0.004077523282154543
汕头市,156440500,0.0030661410424879547
安顺市,156520400,0.0009189065012634965
黔南布依族苗族自治州,156522700,0.000162539957739611
厦门市,156350200,0.03654080389768575
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,5.901097604154373e-05
甘南藏族自治州,156623000,0.0
太原市,156140100,0.02291365171249397
常德市,156430700,0.00015640477555914708
牡丹江市,156231000,0.0003434852301351042
淮南市,156340400,0.0005526388505111909
德阳市,156510600,0.002418895845190666
威海市,156371000,0.0015445099691098006
秦皇岛市,156130300,0.002162681725339421
绍兴市,156330600,0.004610655737704918
阳江市,156441700,0.000825218682950982
铁岭市,156211200,0.000312670991948722
达州市,156511700,6.702862122126148e-05
池州市,156341700,0.0007614986293024672
淮安市,156320800,0.0022950819672131148
遵义市,156520300,0.0007869196467605141
黔东南苗族侗族自治州,156522600,0.0006765899864682003
莆田市,156350300,0.001854714212314423
南昌市,156360100,0.0047729618163054694
佛山市,156440600,0.01199400299850075
大同市,156140200,0.0008462282398452611
昆明市,156530100,0.004354136706436667
张家界市,156430800,0.0
泸州市,156510500,0.0010712894429294898
沈阳市,156210100,0.0011915006288475542
邯郸市,156130400,0.004241567360129267
马鞍山市,156340500,0.0013482280431432975
日照市,156371100,0.007738355964374361
三亚市,156460200,0.015488215488215488
十堰市,156420300,0.0011980462630172333
呼和浩特市,156150100,0.0014219694276573053
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.0036306235201262827
安阳市,156410500,0.000877385391533231
怀化市,156431200,0.0007062146892655367
阳泉市,156140300,0.000697350069735007
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0005938241572391392
陵水黎族自治县,156469028,0.003861003861003861
博尔塔拉蒙古自治州,156652700,0.0005314908317831517
乐东黎族自治县,156469027,0.0015957446808510637
辽源市,156220400,0.0007522190461862494
齐齐哈尔市,156230200,3.776149837625557e-05
龙岩市,156350800,0.0013989022970327864
天门市,156429006,0.00027831895352073476
潜江市,156429005,0.0
邢台市,156130500,0.0019357853280822376
仙桃市,156429004,0.0012722645552103757
绥化市,156231200,0.0
丹东市,156210600,8.833922261484099e-05
滨州市,156371600,0.000784313725490196
镇江市,156321100,0.0062618595825426945
昌江黎族自治县,156469026,0.0010362694300518134
周口市,156411600,6.013590715015936e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.0002733734118084623
澄迈县,156469023,0.0015182186234817814
长沙市,156430100,0.012003975839131433
屯昌县,156469022,0.0
定安县,156469021,0.006870229007633588
海口市,156460100,0.029553010712966385
乐山市,156511100,0.0004331816680921423
凉山彝族自治州,156513400,8.682816188203137e-05
桂林市,156450300,0.0007375084506176633
东营市,156370500,0.0019020446980504042
鹤壁市,156410600,0.002510760401721664
娄底市,156431300,0.00010945709281961471
包头市,156150200,0.00013121636798259483
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.0005308982798895731
赣州市,156360700,0.0014180048288813091
莲花山风景林自然保护区,156629800,0.0
