name,gb,Gini_Coefficient
梅州市,156441400,0.8706216684363393
鄂州市,156420700,0.9945822124893644
吕梁市,156141100,0.9923725618316108
舟山市,156330900,0.9410450247739656
朝阳市,156211300,0.9987595965003392
广安市,156511600,0.9806344186621264
濮阳市,156410900,0.9912695579194278
宣城市,156341800,0.9902856163273089
六盘水市,156520200,0.9994324567375535
深圳市,156440300,0.5762426519833583
三明市,156350400,0.9464122232810313
景德镇市,156360200,0.8919458842318398
楚雄彝族自治州,156532300,0.9895536466235689
大连市,156210200,0.8860477298489827
攀枝花市,156510400,0.995379799853145
贺州市,156451100,0.0
西安市,156610100,0.814599236772376
境界线,,0.0
淮北市,156340600,0.9993578099104093
邵阳市,156430500,0.0
石家庄市,156130100,0.9435212692924357
汕尾市,156441500,0.0
荆门市,156420800,0.9995388461572067
衢州市,156330800,0.965416771091187
迪庆藏族自治州,156533400,0.9893440639740054
宜宾市,156511500,0.9940335308809531
葫芦岛市,156211400,0.0
济南市,156370100,0.9476128826080586
贵阳市,156520100,0.8963350006062875
珠海市,156440400,0.8645456951472672
长春市,156220100,0.996172814622969
延边朝鲜族自治州,156222400,0.9998610698684837
萍乡市,156360300,0.9946304781997264
庆阳市,156621000,0.9924293370197858
泉州市,156350500,0.9561810519531369
自贡市,156510300,0.9519845178467344
临沂市,156371300,0.9448975358284712
百色市,156451000,0.9798095516156079
鞍山市,156210300,0.998937307013468
铜陵市,156340700,0.9991778975261586
唐山市,156130200,0.9095188249319011
岳阳市,156430600,0.9968765428766166
河源市,156441600,0.942310734593867
孝感市,156420900,0.9929830695887242
金华市,156330700,0.9633453005347131
兴安盟,156152200,0.9813541926337784
盘锦市,156211100,0.9939749310807103
雅安市,156511800,0.9844486863445332
亳州市,156341600,0.9952438975906526
商洛市,156611000,0.991265963791998
盐城市,156320900,0.9568483879114995
汕头市,156440500,0.968522839267921
安顺市,156520400,0.9845385862146881
黔南布依族苗族自治州,156522700,0.9949920511001044
厦门市,156350200,0.7686884337410806
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.9938762420238529
甘南藏族自治州,156623000,0.0
太原市,156140100,0.8293415994080657
常德市,156430700,0.9937602856823302
牡丹江市,156231000,0.9827581253271778
淮南市,156340400,0.9987400577932045
德阳市,156510600,0.9664149270181845
威海市,156371000,0.9737034504616177
秦皇岛市,156130300,0.9833685553581246
绍兴市,156330600,0.9512492976512639
阳江市,156441700,0.9851584625374813
铁岭市,156211200,0.9973524266415565
达州市,156511700,0.9999565250220005
池州市,156341700,0.9981093006575664
淮安市,156320800,0.9624274709771413
遵义市,156520300,0.9893154324928151
黔东南苗族侗族自治州,156522600,0.9846344842852439
莆田市,156350300,0.9806085103109063
南昌市,156360100,0.9203589824067266
佛山市,156440600,0.9332429794152042
大同市,156140200,0.998725869245173
昆明市,156530100,0.8767613454922554
张家界市,156430800,0.0
泸州市,156510500,0.9788195761304688
沈阳市,156210100,0.9686834855764891
邯郸市,156130400,0.9605774698649298
马鞍山市,156340500,0.9955106663345183
日照市,156371100,0.8896831889533796
三亚市,156460200,0.8956843102021286
十堰市,156420300,0.9894130672598549
呼和浩特市,156150100,0.9718675710756677
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.9721302109096911
安阳市,156410500,0.993093436295052
怀化市,156431200,0.9670567249739317
阳泉市,156140300,0.9703870068718454
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9978984447700859
陵水黎族自治县,156469028,0.9718280902991826
博尔塔拉蒙古自治州,156652700,0.9554767723065511
乐东黎族自治县,156469027,0.9934300833423406
辽源市,156220400,0.9762236400916239
齐齐哈尔市,156230200,0.9961107271292999
龙岩市,156350800,0.97432913845102
天门市,156429006,0.9814855145980634
潜江市,156429005,0.0
邢台市,156130500,0.9935450051795214
仙桃市,156429004,0.9374856758931723
绥化市,156231200,0.0
丹东市,156210600,0.9939948852706643
滨州市,156371600,0.994170351461055
镇江市,156321100,0.9595215846487443
昌江黎族自治县,156469026,0.9950857012087092
周口市,156411600,0.9977585639482396
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9833329450636475
澄迈县,156469023,0.9860407795997874
长沙市,156430100,0.850236047805239
屯昌县,156469022,0.0
定安县,156469021,0.882832418671447
海口市,156460100,0.6315883385027043
乐山市,156511100,0.990329412330924
凉山彝族自治州,156513400,0.9997017052793455
桂林市,156450300,0.9776315812022462
东营市,156370500,0.9800175690451971
鹤壁市,156410600,0.9866997549890486
娄底市,156431300,0.9947806756419556
包头市,156150200,0.9964196654722604
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9978810095363878
赣州市,156360700,0.9809570779693664
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9930046558158299
上海市,156310000,0.5767772613635842
鸡西市,156230300,0.9817680211315639
宁德市,156350900,0.9906812416057039
保定市,156130600,0.9689907805775283
菏泽市,156371700,0.9966223710791718
崇左市,156451400,0.9943594537552861
黑河市,156231100,0.9814047764030159
扬州市,156321000,0.9355583378151127
驻马店市,156411700,0.9984558134932605
哈密市,156650500,0.9685186320967445
株洲市,156430200,0.9989851740339787
锦州市,156210700,0.0
肇庆市,156441200,0.9670991888880863
恩施土家族苗族自治州,156422800,0.9909391954127
宜昌市,156420500,0.9895542911882169
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.9231533065829347
平凉市,156620800,0.9655703674208821
眉山市,156511400,0.9926564252071303
青岛市,156370200,0.8086018925144792
新乡市,156410700,0.97371588204297
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.9616479356241846
晋城市,156140500,0.9813892713801474
广州市,156440100,0.7744930094695985
吉林市,156220200,0.9997575436163924
九江市,156360400,0.9911338032183505
漳州市,156350600,0.9720182431495353
来宾市,156451300,0.0
张家口市,156130700,0.9442234478015078
德州市,156371400,0.970829647289849
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.8880011207530376
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.9785904183351163
昆玉市,156659009,0.0
惠州市,156441300,0.9051551938275093
可克达拉市,156659008,0.0
襄阳市,156420600,0.9651861714552065
南宁市,156450100,0.9555705724149074
南充市,156511300,0.9838301947513906
酒泉市,156620900,0.9900644310359235
淄博市,156370300,0.9403928283254432
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.9915914062245006
石河子市,156659001,0.0
赤峰市,156150400,0.9868918481465809
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.9585423096256741
韶关市,156440200,0.8864451822242485
朔州市,156140600,0.9955729809145751
四平市,156220300,0.9863676069780418
新余市,156360500,0.9982783951112146
南平市,156350700,0.9855236962721011
哈尔滨市,156230100,0.9750920341056395
成都市,156510100,0.859992150383402
河池市,156451200,0.0
中卫市,156640500,0.9778331222953857
本溪市,156210500,0.0
承德市,156130800,0.9907480453380612
聊城市,156371500,0.9878213453942445
衡阳市,156430400,0.9969780710568048
湘西土家族苗族自治州,156433100,0.9860642858005702
杭州市,156330100,0.796279029854092
玉树藏族自治州,156632700,0.0
武威市,156620600,0.9856942670861885
临夏回族自治州,156622900,0.9538200759737194
黄山市,156341000,0.9026666420687484
徐州市,156320300,0.9393716736863026
济宁市,156370800,0.9859582501727898
揭阳市,156445200,0.9995707677273136
那曲市,156540600,0.9795852997297286
郑州市,156410100,0.9370523041360788
通辽市,156150500,0.99247208825466
贵港市,156450800,0.9925474261132506
安康市,156610900,0.0
昌吉回族自治州,156652300,0.9901831545274914
晋中市,156140700,0.9742553668913972
大庆市,156230600,0.9757208343104806
普洱市,156530800,0.9355988083655882
白城市,156220800,0.990588421889287
石嘴山市,156640200,0.9861480316759329
荆州市,156421000,0.9760381140530245
沧州市,156130900,0.9724864212285024
三门峡市,156411200,0.9850508366223436
海西蒙古族藏族自治州,156632800,0.9738821491691795
云浮市,156445300,0.9858485131072785
张掖市,156620700,0.9745612431738964
滁州市,156341100,0.9815015489817978
泰安市,156370900,0.981968374900031
无锡市,156320200,0.9201905146201454
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.9795862426467197
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.9912737811430894
重庆市,156500000,0.9261320582195197
钦州市,156450700,0.9991474755414848
榆林市,156610800,0.9740968600929042
伊春市,156230700,0.0
运城市,156140800,0.9612965714020164
丽江市,156530700,0.9710677231382051
黄冈市,156421100,0.9827402835608121
吴忠市,156640300,0.9874118517637446
南阳市,156411300,0.9852988364233235
乌鲁木齐市,156650100,0.9746605137481115
和田地区,156653200,0.0
海南藏族自治州,156632500,0.97229412427352
海东市,156630200,0.9987681099378657
武汉市,156420100,0.7665654822073957
儋州市,156460400,0.9988918795382387
甘孜藏族自治州,156513300,0.9557220605414823
内江市,156511000,0.9970426892518951
烟台市,156370600,0.9420900726815157
南京市,156320100,0.7373814147475879
白银市,156620400,0.0
郴州市,156431000,0.9836971030615043
呼伦贝尔市,156150700,0.9891895463717388
防城港市,156450600,0.9979906802441876
北京市,156110000,0.6611744002406661
洛阳市,156410300,0.9759687538845614
汉中市,156610700,0.9805063937952587
吉安市,156360800,0.9955609024155836
丽水市,156331100,0.9481778926850579
忻州市,156140900,0.9912618092119138
中山市,156442000,0.9336609663544857
鹤岗市,156230400,0.9711468877626525
白山市,156220600,0.9863314811375535
咸宁市,156421200,0.9893357260752156
宿迁市,156321300,0.9747845303109429
济源市,156419001,0.9893411077458812
营口市,156210800,0.9975852243751009
商丘市,156411400,0.9842335162095713
果洛藏族自治州,156632600,0.0
三沙市,156460300,0.0
黄石市,156420200,0.982073542183994
阿坝藏族羌族自治州,156513200,0.9988615601541159
潍坊市,156370700,0.9638218746748282
天水市,156620500,0.9999857932605262
永州市,156431100,0.9816406934346036
巴彦淖尔市,156150800,0.0
北海市,156450500,0.9614798705008878
平顶山市,156410400,0.9836388953769344
宜春市,156360900,0.9881270272993312
台州市,156331000,0.9347636047729317
东方市,156469007,0.0
延安市,156610600,0.9887081252394756
万宁市,156469006,0.9870243484773434
文昌市,156469005,0.9712836506391475
双鸭山市,156230500,0.9853324892298153
临沧市,156530900,0.0
松原市,156220700,0.0
随州市,156421300,0.9828421887781322
资阳市,156512000,0.0
银川市,156640100,0.9680451739834155
泰州市,156321200,0.97974242271508
神农架林区,156429021,0.9655486593187731
阜新市,156210900,0.0
琼海市,156469002,0.9639233902619934
五指山市,156469001,0.0
信阳市,156411500,0.9932853125507092
湖州市,156330500,0.962967492434399
黄南藏族自治州,156632300,0.9980062360441996
抚州市,156361000,0.9968341666738127
清远市,156441800,0.980669819840029
天津市,156120000,0.8080312730768351
嘉峪关市,156620200,0.9527725377636399
乌兰察布市,156150900,0.9907266958651244
阿里地区,156542500,0.0
连云港市,156320700,0.97362691988108
克孜勒苏柯尔克孜自治州,156653000,0.0
日喀则市,156540200,0.9736782498669018
渭南市,156610500,0.9794786067660033
铜仁市,156520600,0.9998023317271537
玉溪市,156530400,0.9862994379029247
江门市,156440700,0.9929660041264207
益阳市,156430900,0.9907348905103013
广元市,156510800,0.9761142827748425
芜湖市,156340200,0.825689937503915
塔城地区,156654200,0.9897896411864344
嘉兴市,156330400,0.9294666380414189
西宁市,156630100,0.9909972001834358
上饶市,156361100,0.9893244674612289
东莞市,156441900,0.9336131373417463
南通市,156320600,0.9835278675212078
辽阳市,156211000,0.993811893482206
巴中市,156511900,0.9843096838533194
六安市,156341500,0.9809008949158593
金昌市,156620300,0.9725464527899865
廊坊市,156131000,0.9181608581865982
拉萨市,156540100,0.9455905597091838
喀什地区,156653100,0.9920575104890217
阿勒泰地区,156654300,0.0
毕节市,156520500,0.9985754628412413
福州市,156350100,0.9026848600972932
咸阳市,156610400,0.989941823636727
文山壮族苗族自治州,156532600,0.0
湛江市,156440800,0.9966483796529063
曲靖市,156530300,0.9981095893772344
蚌埠市,156340300,0.9937964262836911
绵阳市,156510700,0.9009450190095845
温州市,156330300,0.9152917759322462
苏州市,156320500,0.8855688078877221
阜阳市,156341200,0.9827646018741872
林芝市,156540400,0.0
衡水市,156131100,0.9812564558891809
许昌市,156411000,0.9917201158269766
佳木斯市,156230800,0.9877152524227407
宝鸡市,156610300,0.9733970255678823
昭通市,156530600,0.9885199333418271
大理白族自治州,156532900,0.9640504434203601
定西市,156621100,0.0
茂名市,156440900,0.940606274953123
伊犁哈萨克自治州,156654000,0.0
宁波市,156330200,0.9257654872744108
兰州市,156620100,0.8683764970814231
临汾市,156141000,0.9864582900538713
常州市,156320400,0.8713909210072504
宿州市,156341300,0.9973620945741904
潮州市,156445100,0.9982390095932302
昌都市,156540300,0.0
玉林市,156450900,0.9968861561559611
海北藏族自治州,156632200,0.9519481096036213
漯河市,156411100,0.9878304890143145
七台河市,156230900,0.0
西双版纳傣族自治州,156532800,0.9274637701286057
陇南市,156621200,0.9998010547224865
保山市,156530500,0.9904154196674254
遂宁市,156510900,0.9723893191723708
合肥市,156340100,0.8423432657671048
铜川市,156610200,0.9879978572852663
