name,gb,Average_Accessibility
梅州市,156441400,0.0802043193834573
鄂州市,156420700,0.10577414409810935
吕梁市,156141100,0.039377641183250094
舟山市,156330900,0.1834607366226546
朝阳市,156211300,0.0072771376591873865
广安市,156511600,0.027686886483765417
濮阳市,156410900,0.11761761761761762
宣城市,156341800,0.26064291920069504
六盘水市,156520200,0.04127268080756453
深圳市,156440300,2.6009433962264152
三明市,156350400,0.038618524332810045
景德镇市,156360200,0.06908063687724705
楚雄彝族自治州,156532300,0.03466589416763229
大连市,156210200,0.05968272972164023
攀枝花市,156510400,0.045980511571254566
贺州市,156451100,0.07574562095628846
西安市,156610100,0.3078504432738019
境界线,,0.0
淮北市,156340600,0.18252730109204368
邵阳市,156430500,0.02017534000224795
石家庄市,156130100,0.1045930799220273
汕尾市,156441500,0.12158940397350994
荆门市,156420800,0.03558904495131104
衢州市,156330800,0.09465983906364302
迪庆藏族自治州,156533400,0.06413450039190195
宜宾市,156511500,0.03990526089140888
葫芦岛市,156211400,0.01523071377072819
济南市,156370100,0.11434557194714416
贵阳市,156520100,0.1454316320100819
珠海市,156440400,0.7378976486860305
长春市,156220100,0.026233808821118216
延边朝鲜族自治州,156222400,0.022449488650536295
萍乡市,156360300,0.08372608816190741
庆阳市,156621000,0.021754246548127545
泉州市,156350500,0.1885401806942463
自贡市,156510300,0.036733355198425716
临沂市,156371300,0.10521626798521093
百色市,156451000,0.03025281949863702
鞍山市,156210300,0.019349690803909834
铜陵市,156340700,0.1670921985815603
唐山市,156130200,0.08329450139794968
岳阳市,156430600,0.03054404491378158
河源市,156441600,0.08349619978284474
孝感市,156420900,0.06580376538740043
金华市,156330700,0.18273212561446628
兴安盟,156152200,0.016986959505833905
盘锦市,156211100,0.03684210526315789
雅安市,156511800,0.11192214111922141
亳州市,156341600,0.059364133134624936
商洛市,156611000,0.024922990758891067
盐城市,156320900,0.08022893864845868
汕头市,156440500,0.27268722466960355
安顺市,156520400,0.044121044121044124
黔南布依族苗族自治州,156522700,0.028576148001321442
厦门市,156350200,0.733125
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.02804428249027696
红河哈尼族彝族自治州,156532500,0.03824626865671642
甘南藏族自治州,156623000,0.03913305237808549
太原市,156140100,0.25804057397328056
常德市,156430700,0.021204366219251057
牡丹江市,156231000,0.015270762363444145
淮南市,156340400,0.05794495920342968
德阳市,156510600,0.06493876388493307
威海市,156371000,0.09961154273029967
秦皇岛市,156130300,0.05883751337216213
绍兴市,156330600,0.2081296629791613
阳江市,156441700,0.07763091852099716
铁岭市,156211200,0.011524892199137594
达州市,156511700,0.018052479699349037
池州市,156341700,0.12908194701170672
淮安市,156320800,0.084856932032467
遵义市,156520300,0.04594140037178012
黔东南苗族侗族自治州,156522600,0.03508114856429463
莆田市,156350300,0.10457516339869281
南昌市,156360100,0.1721226292543518
佛山市,156440600,0.6942041522491349
大同市,156140200,0.04932242705408375
昆明市,156530100,0.12733829163849447
张家界市,156430800,0.03226902173913043
泸州市,156510500,0.03795121951219512
沈阳市,156210100,0.07100159404888416
邯郸市,156130400,0.07044812272910779
马鞍山市,156340500,0.15714285714285714
日照市,156371100,0.12102653834937299
三亚市,156460200,0.37626628075253254
十堰市,156420300,0.07559113759076522
呼和浩特市,156150100,0.08840426779223824
德宏傣族景颇族自治州,156533100,0.04397705544933078
梧州市,156450400,0.06571684886181772
枣庄市,156370400,0.10006323110970597
安阳市,156410500,0.08925239444891385
怀化市,156431200,0.02634568953273683
阳泉市,156140300,0.06640485540878258
保亭黎族苗族自治县,156469029,0.11989459815546773
中农发山丹马场,156629700,0.02197802197802198
鹰潭市,156360600,0.06264988009592326
陵水黎族自治县,156469028,0.272608125819135
博尔塔拉蒙古自治州,156652700,0.03711066931742876
乐东黎族自治县,156469027,0.053231939163498096
辽源市,156220400,0.007291508430806623
齐齐哈尔市,156230200,0.006142410015649452
龙岩市,156350800,0.07125416204217536
天门市,156429006,0.03531701890989989
潜江市,156429005,0.030825688073394496
邢台市,156130500,0.07813123918541195
仙桃市,156429004,0.04170646290990131
绥化市,156231200,0.005047821466524973
丹东市,156210600,0.009290910684547288
滨州市,156371600,0.09038158929976396
镇江市,156321100,0.1699259540535409
昌江黎族自治县,156469026,0.08624454148471616
周口市,156411600,0.06179437905356714
白沙黎族自治县,156469025,0.0603448275862069
临高县,156469024,0.04992548435171386
吐鲁番市,156650400,0.07252032520325204
澄迈县,156469023,0.10279898218829517
长沙市,156430100,0.17770088427527875
屯昌县,156469022,0.07763401109057301
定安县,156469021,0.05877862595419847
海口市,156460100,0.45376263571695996
乐山市,156511100,0.04572238863841356
凉山彝族自治州,156513400,0.034464092385420426
桂林市,156450300,0.07447595561035758
东营市,156370500,0.1695812610300016
鹤壁市,156410600,0.10296242774566473
娄底市,156431300,0.03928023156874897
包头市,156150200,0.0852415538007735
锡林郭勒盟,156152500,0.05584701303096971
琼中黎族苗族自治县,156469030,0.056696795398520954
长治市,156140400,0.05934397928355632
赣州市,156360700,0.07333385789597922
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.016621104428649534
巴音郭楞蒙古自治州,156652800,0.0455343872449669
上海市,156310000,0.8640734265734266
鸡西市,156230300,0.006812134113890367
宁德市,156350900,0.05713899770363366
保定市,156130600,0.06397380878644428
菏泽市,156371700,0.07319250223147873
崇左市,156451400,0.04705336710139936
黑河市,156231100,0.011622501162250116
扬州市,156321000,0.12109744560075686
驻马店市,156411700,0.046875
哈密市,156650500,0.08450704225352113
株洲市,156430200,0.04231777152285742
锦州市,156210700,0.01655359565807327
肇庆市,156441200,0.09876916868442293
恩施土家族苗族自治州,156422800,0.02978249399073694
宜昌市,156420500,0.07694257827354545
怒江傈僳族自治州,156533300,0.034096963239211506
柳州市,156450200,0.1101145038167939
平凉市,156620800,0.01638559980863533
眉山市,156511400,0.05492992992992993
青岛市,156370200,0.16318254911557015
新乡市,156410700,0.09684005833738454
乌海市,156150300,0.05847076461769116
黔西南布依族苗族自治州,156522300,0.031790201534699386
晋城市,156140500,0.11530205458448328
广州市,156440100,0.653744247664203
吉林市,156220200,0.012120187158238909
九江市,156360400,0.0767400015918004
漳州市,156350600,0.11899515204936095
来宾市,156451300,0.05659058796954144
张家口市,156130700,0.02611136169999499
德州市,156371400,0.05983210017074559
胡杨河市,156659010,0.016666666666666666
固原市,156640400,0.06100413892387979
抚顺市,156210400,0.018575851393188854
安庆市,156340800,0.052277197760629446
白杨市,156659012,0.0
新星市,156659011,0.06583072100313479
克拉玛依市,156650200,0.09363057324840764
湘潭市,156430300,0.049681914571342016
昆玉市,156659009,0.043689320388349516
惠州市,156441300,0.2852220520673813
可克达拉市,156659008,0.049943246311010214
襄阳市,156420600,0.04964621273634149
南宁市,156450100,0.09823106688778331
南充市,156511300,0.03459139310692458
酒泉市,156620900,0.027492363232435434
淄博市,156370300,0.13928619168560352
图木舒克市,156659003,0.011661807580174927
阿拉尔市,156659002,0.03443429374560787
焦作市,156410800,0.11544523246650906
石河子市,156659001,0.12057877813504823
赤峰市,156150400,0.01581786293391575
双河市,156659007,0.018552873926392734
铁门关市,156659006,0.035842293906810034
北屯市,156659005,0.0
五家渠市,156659004,0.14980544747081712
韶关市,156440200,0.08956298200514139
朔州市,156140600,0.030926216640502355
四平市,156220300,0.011410788381742738
新余市,156360500,0.046572176817700046
南平市,156350700,0.05240420736288505
哈尔滨市,156230100,0.0222284139809913
成都市,156510100,0.2833801712306385
河池市,156451200,0.03303059790247594
中卫市,156640500,0.04760850310008857
本溪市,156210500,0.023354995938261576
承德市,156130800,0.02013750277223331
聊城市,156371500,0.07744304431277643
衡阳市,156430400,0.029906542056074768
湘西土家族苗族自治州,156433100,0.028034405861739407
杭州市,156330100,0.37659888488028864
玉树藏族自治州,156632700,0.0011111111111111111
武威市,156620600,0.020458265139116204
临夏回族自治州,156622900,0.03029686864579097
黄山市,156341000,0.1814027419034373
徐州市,156320300,0.10518916155419222
济宁市,156370800,0.11015406162464986
揭阳市,156445200,0.1545975791038437
那曲市,156540600,0.016778523489932886
郑州市,156410100,0.30218687872763417
通辽市,156150500,0.013682506988377226
贵港市,156450800,0.06514156750102586
安康市,156610900,0.03788308740068105
昌吉回族自治州,156652300,0.04822854802375589
晋中市,156140700,0.06532066508313539
大庆市,156230600,0.016906304313477644
普洱市,156530800,0.025079911482665355
白城市,156220800,0.006233517142172141
石嘴山市,156640200,0.11423357664233577
荆州市,156421000,0.03815153143471252
沧州市,156130900,0.051169343477035785
三门峡市,156411200,0.055232558139534885
海西蒙古族藏族自治州,156632800,0.03598848368522073
云浮市,156445300,0.11496670171749036
张掖市,156620700,0.033418584825234444
滁州市,156341100,0.10163075131042516
泰安市,156370900,0.09415331062134887
无锡市,156320200,0.3575480552736162
大兴安岭地区,156232700,0.026484751203852328
鄂尔多斯市,156150600,0.07955021651068585
阿拉善盟,156152900,0.11325724319578578
山南市,156540500,0.01374113475177305
开封市,156410200,0.08172221563278377
重庆市,156500000,0.07710999744766282
钦州市,156450700,0.05727602278612118
榆林市,156610800,0.022804281181089656
伊春市,156230700,0.006134969325153374
运城市,156140800,0.03797756215888417
丽江市,156530700,0.07780642137333021
黄冈市,156421100,0.0418212307535952
吴忠市,156640300,0.059394631639063396
南阳市,156411300,0.039789481542308984
乌鲁木齐市,156650100,0.3640396659707724
和田地区,156653200,0.045339625821675375
海南藏族自治州,156632500,0.02626521460602178
海东市,156630200,0.02835203780271707
武汉市,156420100,0.3287515404303725
儋州市,156460400,0.09202239328201539
甘孜藏族自治州,156513300,0.15974596971177332
内江市,156511000,0.03387771629099744
烟台市,156370600,0.07444417442819817
南京市,156320100,0.32901846015308417
白银市,156620400,0.017224163754368447
郴州市,156431000,0.03655163329820864
呼伦贝尔市,156150700,0.012267343485617596
防城港市,156450600,0.08759923350670681
北京市,156110000,0.36900532859680285
洛阳市,156410300,0.11071693754640706
汉中市,156610700,0.04938128830808373
吉安市,156360800,0.04381524512099777
丽水市,156331100,0.08248490077653149
忻州市,156140900,0.04039571625284193
中山市,156442000,0.6735598227474151
鹤岗市,156230400,0.004251386321626617
白山市,156220600,0.020295665246805313
咸宁市,156421200,0.057175014068655036
宿迁市,156321300,0.09601941747572816
济源市,156419001,0.09963768115942029
营口市,156210800,0.03923278116826504
商丘市,156411400,0.07060200234039787
果洛藏族自治州,156632600,0.0291005291005291
三沙市,156460300,0.6666666666666666
黄石市,156420200,0.0881066030230708
阿坝藏族羌族自治州,156513200,0.24102564102564103
潍坊市,156370700,0.08726910244984086
天水市,156620500,0.01737638099324252
永州市,156431100,0.026032526032526034
巴彦淖尔市,156150800,0.018565463763793616
北海市,156450500,0.1078326262117967
平顶山市,156410400,0.06140720455024226
宜春市,156360900,0.045214637579169596
台州市,156331000,0.14683941892422459
东方市,156469007,0.07724719101123595
延安市,156610600,0.024025874018173417
万宁市,156469006,0.11633820724729815
文昌市,156469005,0.07464248343215905
双鸭山市,156230500,0.00935186387842577
临沧市,156530900,0.020656621095699032
