name,gb,Average_Accessibility
梅州市,156441400,0.19478635020957272
鄂州市,156420700,0.27542823214441087
吕梁市,156141100,0.09034738273522497
舟山市,156330900,0.6001374180406333
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.1856058803897899
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,1.294700675620895
三明市,156350400,0.0
景德镇市,156360200,0.6294045475444021
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.4273895198397548
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.8550764007063567
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.13759220086732143
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.8206070726547464
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.08393887978255322
葫芦岛市,156211400,0.0
济南市,156370100,0.9899541757432997
贵阳市,156520100,0.0
珠海市,156440400,1.1156650356117959
长春市,156220100,0.10174148354153642
延边朝鲜族自治州,156222400,0.16684546473309275
萍乡市,156360300,0.19058001159568888
庆阳市,156621000,0.0
泉州市,156350500,0.18682765164289275
自贡市,156510300,1.1648649700382019
临沂市,156371300,0.9036516569658317
百色市,156451000,0.0
鞍山市,156210300,0.1017594163209647
铜陵市,156340700,0.0
唐山市,156130200,0.21417055385160028
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,1.227647245565871
兴安盟,156152200,0.8314521859472692
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.07000801131512302
商洛市,156611000,0.0
盐城市,156320900,0.2824566768475903
汕头市,156440500,0.16799146681391872
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,1.1214167555241927
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.6892098169678963
常德市,156430700,0.14915701160227504
牡丹江市,156231000,0.0
淮南市,156340400,0.23643960692529906
德阳市,156510600,0.11036772601719952
威海市,156371000,0.3586937708172303
秦皇岛市,156130300,0.10715012490721298
绍兴市,156330600,0.2944982359699809
阳江市,156441700,0.24784989852145142
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.3110814177853416
遵义市,156520300,0.05392326398960781
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.42956110305918205
佛山市,156440600,0.21599158652265393
大同市,156140200,0.2090998135626867
