name,gb,Average_Accessibility
梅州市,156441400,0.0002641310089804543
鄂州市,156420700,0.0060759493670886075
吕梁市,156141100,0.0007150518412584912
舟山市,156330900,0.011034482758620689
朝阳市,156211300,0.00010230702337715485
广安市,156511600,0.0010067958721369243
濮阳市,156410900,0.0006633499170812604
宣城市,156341800,0.0009596928982725527
六盘水市,156520200,0.0
深圳市,156440300,0.3141573033707865
三明市,156350400,0.0065047260900498016
景德镇市,156360200,0.00024606299212598425
楚雄彝族自治州,156532300,0.00018006662465112092
大连市,156210200,0.014123611781747947
攀枝花市,156510400,0.0014731879787860931
贺州市,156451100,0.0
西安市,156610100,0.02865147077549981
境界线,,0.0
淮北市,156340600,0.0010253781081773904
邵阳市,156430500,5.604438715462647e-05
石家庄市,156130100,0.007126033720067967
汕尾市,156441500,0.0
荆门市,156420800,0.0002229654403567447
衢州市,156330800,0.004740740740740741
迪庆藏族自治州,156533400,0.0015519917227108122
宜宾市,156511500,0.00014308200303466727
葫芦岛市,156211400,0.0
济南市,156370100,0.006500298864315601
贵阳市,156520100,0.007196877287143206
珠海市,156440400,0.025949367088607594
长春市,156220100,0.0001625646194362259
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.0016474464579901153
庆阳市,156621000,0.00018964536317087047
泉州市,156350500,0.007348784624081402
自贡市,156510300,0.0013177400757700543
临沂市,156371300,0.0068560235063663075
百色市,156451000,0.00010108157282927322
鞍山市,156210300,0.0004003202323440173
铜陵市,156340700,0.002849002849002849
唐山市,156130200,0.010356731875719217
岳阳市,156430600,0.0006654688227856524
河源市,156441600,0.00010482180293501048
孝感市,156420900,0.0013462574044157242
金华市,156330700,0.007743110908676839
兴安盟,156152200,0.00021724961981316532
盘锦市,156211100,0.0005224660397074191
雅安市,156511800,0.00040420376685904995
亳州市,156341600,0.0007422680412371134
商洛市,156611000,0.000542667209333876
盐城市,156320900,0.005852674066599395
汕头市,156440500,0.003006872852233677
安顺市,156520400,0.0008985735145456587
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.04878048780487805
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.00017126220243192326
甘南藏族自治州,156623000,0.0
太原市,156140100,0.02959135744480977
常德市,156430700,0.00021026072329688813
牡丹江市,156231000,0.00035252643948296123
淮南市,156340400,0.0006902263942573164
德阳市,156510600,0.0028510332277478785
威海市,156371000,0.0029619181946403386
秦皇岛市,156130300,0.0069988137603795965
绍兴市,156330600,0.0059720457433290975
阳江市,156441700,0.001296386323124291
铁岭市,156211200,0.0004755865567533291
达州市,156511700,0.0
池州市,156341700,0.0016951764524580058
淮安市,156320800,0.004594683295044306
遵义市,156520300,0.00043431053203040176
黔东南苗族侗族自治州,156522600,0.00036458649814668533
莆田市,156350300,0.006033182503770739
南昌市,156360100,0.006626736332356315
佛山市,156440600,0.015482502651113467
大同市,156140200,0.00047778308647873863
昆明市,156530100,0.005161660334074127
张家界市,156430800,0.0
泸州市,156510500,0.0003904724716907458
沈阳市,156210100,0.002318802173048894
邯郸市,156130400,0.004698563960029118
马鞍山市,156340500,0.002503369921047564
日照市,156371100,0.008903809662822946
三亚市,156460200,0.021249195106245976
十堰市,156420300,0.00027233113304116023
呼和浩特市,156150100,0.0022324051227822815
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0002486634340420241
枣庄市,156370400,0.005029074336005029
安阳市,156410500,0.001084481075805227
怀化市,156431200,0.00014151277152763038
阳泉市,156140300,0.0013850415512465374
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0008846947803007962
陵水黎族自治县,156469028,0.006180469715698393
博尔塔拉蒙古自治州,156652700,0.0005134788189987163
乐东黎族自治县,156469027,0.0015487867836861124
辽源市,156220400,0.0001530924587255596
齐齐哈尔市,156230200,3.82394554701541e-05
龙岩市,156350800,0.003824904377390565
天门市,156429006,0.0011126564009962228
潜江市,156429005,0.0
邢台市,156130500,0.0033922630308565464
仙桃市,156429004,0.002214489085732363
绥化市,156231200,0.0
丹东市,156210600,8.992805755395684e-05
滨州市,156371600,0.0018585542404382276
镇江市,156321100,0.011191198786039453
昌江黎族自治县,156469026,0.0009970089730807576
周口市,156411600,0.00023977940294928664
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00024770869457517957
澄迈县,156469023,0.002951303492375799
长沙市,156430100,0.01364329268292683
