name,gb,Gini_Coefficient
梅州市,156441400,0.8289096989152263
鄂州市,156420700,0.9329595059176348
吕梁市,156141100,0.9038094130366436
舟山市,156330900,0.8103122959502944
朝阳市,156211300,0.9783560563249933
广安市,156511600,0.9378889636584643
濮阳市,156410900,0.858416936064029
宣城市,156341800,0.9208757973296439
六盘水市,156520200,0.9248811065510618
深圳市,156440300,0.36783250492538344
三明市,156350400,0.7852939846083442
景德镇市,156360200,0.8951353156440467
楚雄彝族自治州,156532300,0.9270477306771465
大连市,156210200,0.7672182120492006
攀枝花市,156510400,0.9662507041610818
贺州市,156451100,0.8798272052207609
西安市,156610100,0.5408080657538975
境界线,,0.0
淮北市,156340600,0.93760849584032
邵阳市,156430500,0.9096529107757737
石家庄市,156130100,0.7698111641968413
汕尾市,156441500,0.8483681710253826
荆门市,156420800,0.9517965558669936
衢州市,156330800,0.8171864070142492
迪庆藏族自治州,156533400,0.8675828606859031
宜宾市,156511500,0.8583064569412602
葫芦岛市,156211400,0.9468830851336867
济南市,156370100,0.7683283938370394
贵阳市,156520100,0.7533356178482494
珠海市,156440400,0.47226537346022224
长春市,156220100,0.9027554680613614
延边朝鲜族自治州,156222400,0.8484175538311614
萍乡市,156360300,0.9495260244282069
庆阳市,156621000,0.8943724060761253
泉州市,156350500,0.7108899315214232
自贡市,156510300,0.8598438892032528
临沂市,156371300,0.8532929960173505
百色市,156451000,0.8688078415542084
鞍山市,156210300,0.9809715732436249
铜陵市,156340700,0.8503305289819703
唐山市,156130200,0.8544672563352845
岳阳市,156430600,0.851780481311003
河源市,156441600,0.7399859152654609
孝感市,156420900,0.9485099428229739
金华市,156330700,0.7619936949688837
兴安盟,156152200,0.9992445325957083
盘锦市,156211100,0.9439277639868985
雅安市,156511800,0.8174874498550344
亳州市,156341600,0.9537541736048036
商洛市,156611000,0.9222831368018916
盐城市,156320900,0.8429911355441716
汕头市,156440500,0.859365223026519
安顺市,156520400,0.9170984654131382
黔南布依族苗族自治州,156522700,0.8719636638839016
厦门市,156350200,0.5153785268921012
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.987899905375563
红河哈尼族彝族自治州,156532500,0.8856510247670433
甘南藏族自治州,156623000,0.9856387042462319
太原市,156140100,0.6194856839436231
常德市,156430700,0.908125301262283
牡丹江市,156231000,0.9533811345916663
淮南市,156340400,0.9712823683921928
德阳市,156510600,0.9028500688258642
威海市,156371000,0.8551985376660332
秦皇岛市,156130300,0.8899322396511301
绍兴市,156330600,0.8550949803115843
阳江市,156441700,0.8134450993633753
铁岭市,156211200,0.9853419967823233
达州市,156511700,0.9063673935069965
池州市,156341700,0.960795028198792
淮安市,156320800,0.8619501334167913
遵义市,156520300,0.8600633462537401
