name,gb,Average_Accessibility
梅州市,156441400,0.00016760244699572614
鄂州市,156420700,0.0005010019741459696
吕梁市,156141100,8.571917373484575e-05
舟山市,156330900,0.0013605442176870747
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.0003274930407728836
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.0498876404494382
三明市,156350400,0.0
景德镇市,156360200,0.0007097232079489
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.000585411544315654
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.00403530895334174
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.00029521166676507054
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.0007059155724975293
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,7.05566838912517e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0019624945486262538
贵阳市,156520100,0.0
珠海市,156440400,0.006944444444444444
长春市,156220100,9.373828271466067e-05
延边朝鲜族自治州,156222400,0.00011201970879302736
萍乡市,156360300,0.0002687449610319806
庆阳市,156621000,0.0
泉州市,156350500,0.0006632765863365023
自贡市,156510300,0.0011439778520734038
临沂市,156371300,0.001176726955763783
百色市,156451000,0.0
鞍山市,156210300,9.533797311469158e-05
铜陵市,156340700,0.0
唐山市,156130200,0.0002801434067213605
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0033448544988293008
兴安盟,156152200,0.00026009496565688003
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,8.225037012666557e-05
商洛市,156611000,0.0
盐城市,156320900,0.0002486325211337643
汕头市,156440500,0.0012690355329949238
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.013617524033541367
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0027137042062415195
常德市,156430700,0.00010291242152927858
牡丹江市,156231000,0.0
淮南市,156340400,0.0002734107834300356
德阳市,156510600,0.00014170327334561429
威海市,156371000,0.0004086636697997548
秦皇岛市,156130300,0.00011377858008821883
绍兴市,156330600,0.0006173601679219657
阳江市,156441700,0.0003155071777882947
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
