name,gb,Average_Accessibility
梅州市,156441400,2.5213707216430024
鄂州市,156420700,0.27548057207363563
吕梁市,156141100,0.07242764512654563
舟山市,156330900,0.8905473094288224
朝阳市,156211300,0.0338390115121646
广安市,156511600,0.18765950735553596
濮阳市,156410900,0.1281108499397261
宣城市,156341800,0.24241004873889277
六盘水市,156520200,0.032780951665039644
深圳市,156440300,4.25867009560058
三明市,156350400,0.857254828740723
景德镇市,156360200,1.8995965266394255
楚雄彝族自治州,156532300,0.17578430746687232
大连市,156210200,1.5984102831104754
攀枝花市,156510400,0.370673497084478
贺州市,156451100,0.0
西安市,156610100,2.0450381094996097
境界线,,0.0
淮北市,156340600,0.08355387772476199
邵阳市,156430500,0.0
石家庄市,156130100,0.7502316356922998
汕尾市,156441500,0.0
荆门市,156420800,0.07063141839261274
衢州市,156330800,2.4358299392390768
迪庆藏族自治州,156533400,0.4086753850205761
宜宾市,156511500,0.0466258197431253
葫芦岛市,156211400,0.0
济南市,156370100,0.7335295390474083
贵阳市,156520100,0.8986505926509446
珠海市,156440400,1.8719665865931703
长春市,156220100,0.04261496969943021
延边朝鲜族自治州,156222400,0.04347417989917103
萍乡市,156360300,0.09889846897119692
庆阳市,156621000,0.19472462004710409
泉州市,156350500,0.42627553327614087
自贡市,156510300,0.160670120261051
临沂市,156371300,1.1568825096696271
百色市,156451000,0.2206107815033138
鞍山市,156210300,0.07942225089065583
铜陵市,156340700,0.05924332417747885
唐山市,156130200,1.7236624447771012
岳阳市,156430600,0.16460271090648312
河源市,156441600,1.0073181703125538
孝感市,156420900,0.1465765078204324
金华市,156330700,0.561361541956089
兴安盟,156152200,0.19582872276044297
盘锦市,156211100,0.12532106310311014
雅安市,156511800,0.06648172067064329
亳州市,156341600,0.16757267536135567
商洛市,156611000,0.12809170669780207
盐城市,156320900,1.192794112314526
汕头市,156440500,0.11213423969420104
安顺市,156520400,0.3451693385544396
黔南布依族苗族自治州,156522700,0.09947813894040411
厦门市,156350200,1.0433688424860832
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.020511200783622754
甘南藏族自治州,156623000,0.0
太原市,156140100,1.8344010688317611
常德市,156430700,0.052261029133992734
牡丹江市,156231000,0.10416492891685847
淮南市,156340400,0.10916485275754338
德阳市,156510600,0.47290556212682516
威海市,156371000,0.3723542504903185
秦皇岛市,156130300,0.5552732935301392
绍兴市,156330600,0.6355256774432897
阳江市,156441700,0.18682740608800794
铁岭市,156211200,0.1507420862486408
达州市,156511700,0.018939237112862172
池州市,156341700,0.35070441535834845
淮安市,156320800,0.5970193724903357
遵义市,156520300,0.3056577238808028
黔东南苗族侗族自治州,156522600,0.34073513511018244
莆田市,156350300,0.21460578447279413
南昌市,156360100,0.6313509337470116
佛山市,156440600,0.5846135142096757
大同市,156140200,0.19156233713643261
昆明市,156530100,0.8394897001027518
张家界市,156430800,0.0
泸州市,156510500,0.24625325819813104
沈阳市,156210100,0.19796557460138606
邯郸市,156130400,0.6190248179106939
马鞍山市,156340500,0.30959943690243186
日照市,156371100,1.7870262709814586
三亚市,156460200,2.638416489926449
十堰市,156420300,0.3890796728388728
呼和浩特市,156150100,0.3552531478572372
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.576261156685255
安阳市,156410500,0.1471837921455929
怀化市,156431200,0.20347507741813695
阳泉市,156140300,0.1362534287696996
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.16034004427645798
陵水黎族自治县,156469028,0.891292066742139
博尔塔拉蒙古自治州,156652700,0.4911784260387038
乐东黎族自治县,156469027,0.6251810177066511
辽源市,156220400,0.4372766174323491
齐齐哈尔市,156230200,0.018733099602503356
龙岩市,156350800,0.5275089843812254
天门市,156429006,0.07097539588084635
潜江市,156429005,0.0
邢台市,156130500,0.3776751835816556
仙桃市,156429004,0.34996145828508457
绥化市,156231200,0.0
丹东市,156210600,0.04061695560572783
滨州市,156371600,0.19534440621904756
镇江市,156321100,0.9443683907093542
昌江黎族自治县,156469026,0.402315689867271
周口市,156411600,0.011738896585645586
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.1459596278175856
澄迈县,156469023,0.5788198276558378
长沙市,156430100,1.941235947548368
屯昌县,156469022,0.0
定安县,156469021,2.7949702946379666
海口市,156460100,2.94193034615591
乐山市,156511100,0.12448676534628744
凉山彝族自治州,156513400,0.019655868310671183
桂林市,156450300,0.24558670377587613
东营市,156370500,0.5631489189207498
鹤壁市,156410600,0.3869237444806354
娄底市,156431300,0.025766322180628017
包头市,156150200,0.03265612192695414
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.14137001587935194
赣州市,156360700,0.3942363086219332
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.07117533787672903
上海市,156310000,7.6514496276232515
鸡西市,156230300,0.22522029231642499
宁德市,156350900,0.34230332035726785
保定市,156130600,0.8812613370696893
菏泽市,156371700,0.05802929355028069
崇左市,156451400,0.0502090961037767
黑河市,156231100,0.12226186751792371
扬州市,156321000,1.2213108015792773
驻马店市,156411700,0.05580400056779242
哈密市,156650500,0.16683627215876148
株洲市,156430200,0.04744953003351247
锦州市,156210700,0.0
肇庆市,156441200,0.4840066607365241
恩施土家族苗族自治州,156422800,0.33793282400959
宜昌市,156420500,0.37459497595417657
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.6239070687171806
平凉市,156620800,0.1418693231292325
眉山市,156511400,0.07079726224199125
青岛市,156370200,2.993862092358284
新乡市,156410700,0.4921496367783905
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.8216008194267174
晋城市,156140500,0.24904945970448145
广州市,156440100,3.113834357751344
吉林市,156220200,0.022796345171606593
九江市,156360400,0.21345698778810132
漳州市,156350600,0.4396715717730071
来宾市,156451300,0.0
张家口市,156130700,2.0186886158774966
德州市,156371400,1.1038935095275824
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,2.211032160122229
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.17299966680590445
昆玉市,156659009,0.0
惠州市,156441300,1.0024338793904743
可克达拉市,156659008,0.0
襄阳市,156420600,0.4070878469216921
南宁市,156450100,0.30006757461073363
南充市,156511300,0.04990862724070927
酒泉市,156620900,0.08646988503249647
淄博市,156370300,0.9862963210299757
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.10575270528546664
石河子市,156659001,0.0
赤峰市,156150400,0.09445385907941954
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.9477953447228256
韶关市,156440200,4.133600667568741
朔州市,156140600,0.04998535230616546
四平市,156220300,0.1665847622390596
新余市,156360500,0.24155466748737786
南平市,156350700,0.31906284824938347
哈尔滨市,156230100,0.16824284907017176
成都市,156510100,1.4999263901470574
河池市,156451200,0.0
中卫市,156640500,0.23126931490023384
本溪市,156210500,0.0
承德市,156130800,0.8049355354815265
聊城市,156371500,0.2355502541279627
衡阳市,156430400,0.09235658173701218
湘西土家族苗族自治州,156433100,0.2205992686040871
杭州市,156330100,3.827356665489965
玉树藏族自治州,156632700,0.0
武威市,156620600,0.055993139976731394
临夏回族自治州,156622900,0.8081607052132717
黄山市,156341000,3.0171906392072763
徐州市,156320300,1.132743499595764
