name,gb,Average_Accessibility
梅州市,156441400,0.00572638467831192
鄂州市,156420700,0.001379310344827586
吕梁市,156141100,9.475380557842706e-05
舟山市,156330900,0.005955926146515783
朝阳市,156211300,3.18116729885591e-05
广安市,156511600,0.00055561729081009
濮阳市,156410900,0.0007749535027898327
宣城市,156341800,0.00034922297887200976
六盘水市,156520200,7.434943794761005e-05
深圳市,156440300,0.24534284581847007
三明市,156350400,0.0006851102701291922
景德镇市,156360200,0.004484304932735426
楚雄彝族自治州,156532300,0.00013333688898370624
大连市,156210200,0.006180533915030643
攀枝花市,156510400,0.000495000495000495
贺州市,156451100,0.0
西安市,156610100,0.01373929748282318
境界线,,0.0
淮北市,156340600,0.00048661797586148673
邵阳市,156430500,0.0
石家庄市,156130100,0.003939038686987104
汕尾市,156441500,0.0
荆门市,156420800,0.00011691120593908926
衢州市,156330800,0.004256364082835393
迪庆藏族自治州,156533400,6.92952671332548e-05
宜宾市,156511500,0.0001097574360662935
葫芦岛市,156211400,0.0
济南市,156370100,0.004386530770223197
贵阳市,156520100,0.0041032187471505424
珠海市,156440400,0.018772196854388634
长春市,156220100,9.766101860442404e-05
延边朝鲜族自治州,156222400,2.1972227104939356e-05
萍乡市,156360300,0.00037593984962406017
庆阳市,156621000,0.00010046212577858148
泉州市,156350500,0.0026048807238826435
自贡市,156510300,0.000636841267314122
临沂市,156371300,0.004736695458344943
百色市,156451000,0.000169725257239843
鞍山市,156210300,0.00020240183510997166
铜陵市,156340700,0.00023986567522187575
唐山市,156130200,0.006949506730815959
岳阳市,156430600,0.0005122425980944575
河源市,156441600,0.001858463344255881
孝感市,156420900,0.0005559085133418043
金华市,156330700,0.002313590692755156
兴安盟,156152200,3.941818755173637e-05
盘锦市,156211100,0.0003466805338880222
雅安市,156511800,5.5800457563752025e-05
亳州市,156341600,0.0006503007641033978
商洛市,156611000,0.0001071007818357074
盐城市,156320900,0.003782748797459487
汕头市,156440500,0.002492877492877493
安顺市,156520400,0.000639488409272582
黔南布依族苗族自治州,156522700,8.56677803478112e-05
厦门市,156350200,0.02891566265060241
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,2.40610187435336e-05
甘南藏族自治州,156623000,0.0
太原市,156140100,0.008968186538279996
常德市,156430700,0.00012035625451335955
牡丹江市,156231000,5.497425372450569e-05
淮南市,156340400,0.0005101390128810101
德阳市,156510600,0.002141597379692618
威海市,156371000,0.001327700663850332
秦皇岛市,156130300,0.0014856388246946186
绍兴市,156330600,0.0031628887717448603
阳江市,156441700,0.0005019576347756249
铁岭市,156211200,0.00019043084979766722
达州市,156511700,4.280638671289757e-05
池州市,156341700,0.000432152117545376
淮安市,156320800,0.00208286840734955
遵义市,156520300,0.0004305602066688992
黔东南苗族侗族自治州,156522600,0.0002714306864728816
莆田市,156350300,0.0011549566891241579
南昌市,156360100,0.0038601982263954094
佛山市,156440600,0.010802468399942658
大同市,156140200,0.00031746031746031746
昆明市,156530100,0.0021666907410082333
张家界市,156430800,0.0
泸州市,156510500,0.0006526253337288639
沈阳市,156210100,0.0008691453404152584
邯郸市,156130400,0.003493013972055888
马鞍山市,156340500,0.00121675647488267
日照市,156371100,0.006737002669378416
三亚市,156460200,0.00943009430094301
十堰市,156420300,0.00039097744360902254
呼和浩特市,156150100,0.0004499437927886883
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.003411450608128152
安阳市,156410500,0.0007198776208044632
怀化市,156431200,0.00026703695791497543
阳泉市,156140300,0.00028429282160625445
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.00040412204485754696
