name,gb,Average_Accessibility
梅州市,156441400,0.1041031143699379
鄂州市,156420700,0.17230684270394045
吕梁市,156141100,0.05679643115659086
舟山市,156330900,0.3642907910102294
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.10519091222215347
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,1.1294779569078206
三明市,156350400,0.0
景德镇市,156360200,0.35961090427924325
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.2807479357212102
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.5125696489254538
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.08947732396020348
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.44213668592150024
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.04228912717400185
葫芦岛市,156211400,0.0
济南市,156370100,0.589557243587776
贵阳市,156520100,0.0
珠海市,156440400,0.8293868278237461
长春市,156220100,0.06724354095840532
延边朝鲜族自治州,156222400,0.10470414347391208
萍乡市,156360300,0.10987380365437634
庆阳市,156621000,0.0
泉州市,156350500,0.13175985645071756
自贡市,156510300,0.5652212784813275
临沂市,156371300,0.48566610223970463
百色市,156451000,0.0
鞍山市,156210300,0.06133558061597954
铜陵市,156340700,0.0
唐山市,156130200,0.1306952090386385
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.8123439374567968
兴安盟,156152200,0.5696691001986178
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.03901810236589581
商洛市,156611000,0.0
盐城市,156320900,0.1512245745838547
汕头市,156440500,0.1066563505171462
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.8455615094122418
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.44184589843821853
常德市,156430700,0.07775161216934029
牡丹江市,156231000,0.0
淮南市,156340400,0.13028162237341684
德阳市,156510600,0.057916358515221734
威海市,156371000,0.21607637341604197
秦皇岛市,156130300,0.06501345735500184
绍兴市,156330600,0.185703851799566
阳江市,156441700,0.14919315755407764
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.17813555355718588
遵义市,156520300,0.029950119350968734
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.24229273858636813
佛山市,156440600,0.14822272707749026
大同市,156140200,0.1298313522843162
昆明市,156530100,0.1388612792889386
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.2472963728651546
邯郸市,156130400,0.08466696333598339
马鞍山市,156340500,0.36041200004103763
日照市,156371100,0.06736883399894546
三亚市,156460200,1.4736493753652373
十堰市,156420300,0.0
呼和浩特市,156150100,0.4079444320736912
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.1513382926810738
安阳市,156410500,0.22287085753344724
怀化市,156431200,0.0
阳泉市,156140300,0.1506745668204093
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.3359622391400232
陵水黎族自治县,156469028,1.0193004924855709
博尔塔拉蒙古自治州,156652700,0.4419400814795438
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.2031591287950546
齐齐哈尔市,156230200,0.05043957895517183
龙岩市,156350800,0.07292137478317143
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.22355866327974913
仙桃市,156429004,0.14777422890578498
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.30099416986152594
镇江市,156321100,0.6118846247526831
昌江黎族自治县,156469026,0.0
周口市,156411600,0.04470643417092238
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.27348928548633117
澄迈县,156469023,0.0
长沙市,156430100,0.17712679033580508
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.19822836212651948
乐山市,156511100,0.25806067646787845
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.12219212821181005
东营市,156370500,0.0
鹤壁市,156410600,0.7476980505173282
娄底市,156431300,0.05120731269538881
包头市,156150200,0.0744977745505346
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.12556574767430004
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.24768630569004904
上海市,156310000,1.0102373419794783
鸡西市,156230300,0.4140506556672936
宁德市,156350900,0.06261967860109734
保定市,156130600,0.0699498938492205
菏泽市,156371700,0.13537386884957975
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.17967433868298188
驻马店市,156411700,0.11595201509705763
哈密市,156650500,0.3224724473993554
株洲市,156430200,0.15297264476515748
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
