name,gb,Gini_Coefficient
梅州市,156441400,0.5260788216229161
鄂州市,156420700,0.6155789191960511
吕梁市,156141100,0.7180135698043422
舟山市,156330900,0.557361351372415
朝阳市,156211300,0.816299631008256
广安市,156511600,0.7175846279295968
濮阳市,156410900,0.6604204836607879
宣城市,156341800,0.5924261036933773
六盘水市,156520200,0.6019266198957753
深圳市,156440300,0.27999799212894694
三明市,156350400,0.5797669600087614
景德镇市,156360200,0.5206153371203883
楚雄彝族自治州,156532300,0.5408811022280104
大连市,156210200,0.5498210966076098
攀枝花市,156510400,0.5605392455200815
贺州市,156451100,0.5678220747516067
西安市,156610100,0.3477677138766935
境界线,,0.0
淮北市,156340600,0.6076374639504286
邵阳市,156430500,0.7962388371023708
石家庄市,156130100,0.5503119662801812
汕尾市,156441500,0.46686051691722963
荆门市,156420800,0.6267371310674401
衢州市,156330800,0.6185611038145358
迪庆藏族自治州,156533400,0.39804206878865533
宜宾市,156511500,0.6269662318781111
葫芦岛市,156211400,0.7691505693640085
济南市,156370100,0.5360700447080441
贵阳市,156520100,0.3740584412804492
珠海市,156440400,0.23588437866075085
长春市,156220100,0.6864882349655463
延边朝鲜族自治州,156222400,0.7067551430186749
萍乡市,156360300,0.6395106371299641
庆阳市,156621000,0.6960093169441335
泉州市,156350500,0.5014754027699215
自贡市,156510300,0.6781367185960268
临沂市,156371300,0.5877219866202803
百色市,156451000,0.5333170964700877
鞍山市,156210300,0.7568149665771345
铜陵市,156340700,0.5801294881390062
唐山市,156130200,0.6693814632464302
岳阳市,156430600,0.6681448377224173
河源市,156441600,0.449254657878442
孝感市,156420900,0.5465616770108628
金华市,156330700,0.4469146467960209
兴安盟,156152200,0.779243067385248
盘锦市,156211100,0.6928744762594938
雅安市,156511800,0.48653292236997525
亳州市,156341600,0.6614232715084902
商洛市,156611000,0.6964859844755582
盐城市,156320900,0.6351992547401545
汕头市,156440500,0.5375730847901578
安顺市,156520400,0.5708429816939568
黔南布依族苗族自治州,156522700,0.5911534657451655
厦门市,156350200,0.33421213186358656
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.6654423780275965
红河哈尼族彝族自治州,156532500,0.5680052612702742
甘南藏族自治州,156623000,0.7056237869420079
太原市,156140100,0.3955403662016279
常德市,156430700,0.7476599186544624
牡丹江市,156231000,0.7791823569137162
淮南市,156340400,0.6451628869110217
德阳市,156510600,0.6815177267518964
威海市,156371000,0.5539681994345029
秦皇岛市,156130300,0.6609580619515513
绍兴市,156330600,0.4423574474158659
阳江市,156441700,0.48073416381133127
铁岭市,156211200,0.7824472422377511
达州市,156511700,0.7217993525027281
池州市,156341700,0.6890644599066638
淮安市,156320800,0.543262640976625
遵义市,156520300,0.48427546603097815
黔东南苗族侗族自治州,156522600,0.5256966706515879
莆田市,156350300,0.6500998295324694
南昌市,156360100,0.3829768513492138
佛山市,156440600,0.3335021589085633
大同市,156140200,0.638336045044674
昆明市,156530100,0.3709670301742417
张家界市,156430800,0.6562383795341391
泸州市,156510500,0.7020380835934151
沈阳市,156210100,0.5531815607652898
邯郸市,156130400,0.7305538333018453
马鞍山市,156340500,0.5963174465419645
日照市,156371100,0.5082278394091619
三亚市,156460200,0.28597603308689246
十堰市,156420300,0.4395830698351956
呼和浩特市,156150100,0.5024292287490724
德宏傣族景颇族自治州,156533100,0.5459569087702589
梧州市,156450400,0.5028449887414603
枣庄市,156370400,0.6024230129420041
安阳市,156410500,0.6912178081306464
怀化市,156431200,0.666303169249544
阳泉市,156140300,0.5651279240579814
保亭黎族苗族自治县,156469029,0.4107405414635814
中农发山丹马场,156629700,0.8736644622493888
鹰潭市,156360600,0.5716329705870652
陵水黎族自治县,156469028,0.33327377237253863
博尔塔拉蒙古自治州,156652700,0.6452211310172837
乐东黎族自治县,156469027,0.6390088478221796
辽源市,156220400,0.8431901771789299
齐齐哈尔市,156230200,0.8620261879743516
龙岩市,156350800,0.4837879715849265
天门市,156429006,0.7173003845384969
潜江市,156429005,0.7157333937178247
邢台市,156130500,0.7122808840857395
仙桃市,156429004,0.5970945293285393
绥化市,156231200,0.8967267231159444
丹东市,156210600,0.7650979312771613
滨州市,156371600,0.6567483918885282
镇江市,156321100,0.546513678042235
昌江黎族自治县,156469026,0.6194117111918906
周口市,156411600,0.749554004230963
白沙黎族自治县,156469025,0.6156936732047867
临高县,156469024,0.4685052371876882
吐鲁番市,156650400,0.5896990457401601
澄迈县,156469023,0.6313079552866792
长沙市,156430100,0.394343044403516
屯昌县,156469022,0.5226390039983746
定安县,156469021,0.6427285791263279
海口市,156460100,0.19766020176744092
乐山市,156511100,0.6062863271820104
凉山彝族自治州,156513400,0.7174998928984667
桂林市,156450300,0.5221656315458291
东营市,156370500,0.6370360216111808
鹤壁市,156410600,0.651308011344092
娄底市,156431300,0.7064183831176243
包头市,156150200,0.5321129261336841
锡林郭勒盟,156152500,0.5523629289700475
琼中黎族苗族自治县,156469030,0.48695598165306
长治市,156140400,0.6210757415306185
赣州市,156360700,0.520880556812119
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.7685117149984149
巴音郭楞蒙古自治州,156652800,0.5513010126818783
上海市,156310000,0.3993822029670099
鸡西市,156230300,0.8638736560219266
宁德市,156350900,0.4541975374792665
保定市,156130600,0.7501443463280392
菏泽市,156371700,0.6937510204774487
崇左市,156451400,0.6011806410189202
黑河市,156231100,0.8055154941248228
扬州市,156321000,0.5716994174788803
