name,gb,Average_Accessibility
梅州市,156441400,0.09090978736442534
鄂州市,156420700,0.24161651002604068
吕梁市,156141100,0.1655958230691869
舟山市,156330900,0.4043034869353858
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.08316191429230696
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,1.9578226742700027
三明市,156350400,1.8178930978869752
景德镇市,156360200,0.2383141464920011
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.9522942782952047
攀枝花市,156510400,0.5763630878175339
贺州市,156451100,0.0
西安市,156610100,1.4322307973865767
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.28855244019283355
汕尾市,156441500,0.0
荆门市,156420800,0.13318544642450622
衢州市,156330800,0.5783052893986194
迪庆藏族自治州,156533400,0.5975702816861017
宜宾市,156511500,0.04803473487424968
葫芦岛市,156211400,0.0
济南市,156370100,0.957728669847321
贵阳市,156520100,0.24862589017612322
珠海市,156440400,1.63171456641761
长春市,156220100,0.12589110150174107
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.1124441878285014
庆阳市,156621000,0.09639885212977523
泉州市,156350500,0.20908888022450864
自贡市,156510300,0.721845223726524
临沂市,156371300,0.5961871898977418
百色市,156451000,0.0
鞍山市,156210300,0.0993415435763888
铜陵市,156340700,0.14883545794457917
唐山市,156130200,0.38424228405196986
岳阳市,156430600,0.0770675481752004
河源市,156441600,0.0
孝感市,156420900,0.12890556363667782
金华市,156330700,0.8476045449507148
兴安盟,156152200,0.5898454631991095
盘锦市,156211100,0.24528584657964095
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.711651033016868
汕头市,156440500,0.08334234977546824
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,1.5827434170733516
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.9499564721977389
常德市,156430700,0.10273414458169372
牡丹江市,156231000,0.19120024728976368
淮南市,156340400,0.18641168782594608
德阳市,156510600,0.17030041144952862
威海市,156371000,0.39340495359670336
秦皇岛市,156130300,0.0448466539283112
绍兴市,156330600,0.25196994860122224
阳江市,156441700,0.05961937819562484
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.24728088147940874
遵义市,156520300,0.04166219622943914
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.40478760380544215
佛山市,156440600,0.6285408741587692
大同市,156140200,0.1146892385011761
昆明市,156530100,0.30934220246804156
张家界市,156430800,0.0
泸州市,156510500,0.18465229444777945
沈阳市,156210100,0.43196439105935625
邯郸市,156130400,0.26868096253750734
马鞍山市,156340500,0.4833059524302369
日照市,156371100,0.06481839066391104
三亚市,156460200,6.68329702822188
十堰市,156420300,0.0
呼和浩特市,156150100,0.7506272737013108
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.049167621408236085
枣庄市,156370400,0.08997194029518811
安阳市,156410500,0.1882335542793698
怀化市,156431200,0.05386457042477829
阳泉市,156140300,0.1595126789302361
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.3500822967338869
陵水黎族自治县,156469028,2.6569099144093924
博尔塔拉蒙古自治州,156652700,1.10139606803667
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.4431253850762877
齐齐哈尔市,156230200,0.07724771520847745
龙岩市,156350800,0.1489692735389163
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.38898742000742326
仙桃市,156429004,0.3907667807991025
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.2512436916605504
镇江市,156321100,1.322011973669891
昌江黎族自治县,156469026,0.0
周口市,156411600,0.03966320243035526
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.37019809042973123
澄迈县,156469023,0.47314641428787513
长沙市,156430100,1.181252522873315
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.5293486107796562
乐山市,156511100,0.34401036134762353
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.14453458179313644
东营市,156370500,0.09366047427063566
鹤壁市,156410600,0.8812895158501524
娄底市,156431300,0.0460876542649623
包头市,156150200,0.0542957638723852
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.12564201611525252
赣州市,156360700,0.023242133228959495
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.281458744729557
上海市,156310000,5.9259151408961275
鸡西市,156230300,0.4498004028096555
宁德市,156350900,0.18212086991038395
保定市,156130600,0.2377512975095374
菏泽市,156371700,0.11247279406087442
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.9651448549794538
驻马店市,156411700,0.1300871630655368
哈密市,156650500,0.3012829353245953
株洲市,156430200,0.2560203381422709
锦州市,156210700,0.0
肇庆市,156441200,0.24664631531075762
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.0800042705303855
平凉市,156620800,0.23030349264997982
眉山市,156511400,0.06997161936874306
青岛市,156370200,2.0043742143304826
新乡市,156410700,0.3699086369872963
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.19176976619136132
广州市,156440100,1.390280615028158
吉林市,156220200,0.0
九江市,156360400,0.16234478322528995
漳州市,156350600,0.10902817632875371
来宾市,156451300,0.0
张家口市,156130700,0.5629258271103781
德州市,156371400,0.48975845914682087
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.05920088708361411
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.10119789442480845
昆玉市,156659009,0.0
惠州市,156441300,0.4956061880192117
可克达拉市,156659008,0.0
襄阳市,156420600,0.17553290009967468
南宁市,156450100,0.11925693758060495
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.3369413361148256
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.049938317746792714
石河子市,156659001,0.0
赤峰市,156150400,0.08043810501023402
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,1.510307141643215
韶关市,156440200,0.26722401350742264
朔州市,156140600,0.0862335209748039
四平市,156220300,0.0
新余市,156360500,0.2587701999425893
南平市,156350700,0.18228220548347826
哈尔滨市,156230100,0.18984554698753625
成都市,156510100,1.246773324534244
河池市,156451200,0.0
中卫市,156640500,0.320787636095489
本溪市,156210500,0.0
承德市,156130800,0.0
聊城市,156371500,0.26600821200256586
衡阳市,156430400,0.0963230450426603
湘西土家族苗族自治州,156433100,0.07086901819870521
杭州市,156330100,3.3266627930501262
玉树藏族自治州,156632700,0.0
武威市,156620600,0.0
临夏回族自治州,156622900,0.0
黄山市,156341000,1.1794722460639204
徐州市,156320300,0.3420458981924765
济宁市,156370800,0.06073136911563686
揭阳市,156445200,0.0
那曲市,156540600,1.1542234317665399
郑州市,156410100,0.6263557305078188
通辽市,156150500,0.0
贵港市,156450800,0.0
安康市,156610900,0.0
昌吉回族自治州,156652300,0.16417736373150812
晋中市,156140700,0.1322015726499383
大庆市,156230600,0.41889382343770193
普洱市,156530800,1.0231758434129294
白城市,156220800,0.0
石嘴山市,156640200,0.4090914023425933
荆州市,156421000,0.0
沧州市,156130900,0.35049067364973946
三门峡市,156411200,0.7774564608666136
海西蒙古族藏族自治州,156632800,1.2738122014956992
云浮市,156445300,0.234894625085129
张掖市,156620700,0.0
滁州市,156341100,0.05103957185152326
泰安市,156370900,0.41657898492206274
无锡市,156320200,0.8669181259596384
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.24215570504595257
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.07405088478646205
重庆市,156500000,0.5857799538058956
钦州市,156450700,0.0
榆林市,156610800,0.06053604499084039
伊春市,156230700,0.0
运城市,156140800,0.03383130422517144
丽江市,156530700,1.0717755600614052
黄冈市,156421100,0.036524002633395274
吴忠市,156640300,0.6843549092672147
南阳市,156411300,0.15089847716345156
乌鲁木齐市,156650100,0.5043311205067585
和田地区,156653200,0.0
海南藏族自治州,156632500,0.4219549897002421
海东市,156630200,0.0
武汉市,156420100,2.2193967688481036
儋州市,156460400,0.0
甘孜藏族自治州,156513300,0.0
内江市,156511000,0.0
烟台市,156370600,0.25848041748725903
南京市,156320100,4.705600641366966
白银市,156620400,0.0
郴州市,156431000,0.19848821653111828
呼伦贝尔市,156150700,0.161966551170149
防城港市,156450600,0.0
北京市,156110000,9.05309787295011
洛阳市,156410300,0.15555410987176
汉中市,156610700,0.09985014874414734
吉安市,156360800,0.05067477857535147
丽水市,156331100,0.4815838152170217
忻州市,156140900,0.41715380028630605
中山市,156442000,0.32091490816531937
鹤岗市,156230400,0.5426058170285412
白山市,156220600,0.0
咸宁市,156421200,0.2070303825755235
宿迁市,156321300,0.16812025045695816
济源市,156419001,0.894263684692216
营口市,156210800,0.10863524239554445
商丘市,156411400,0.17398443299595343
果洛藏族自治州,156632600,0.0
三沙市,156460300,0.0
黄石市,156420200,0.0
阿坝藏族羌族自治州,156513200,0.0
潍坊市,156370700,0.2902762116207133
