name,gb,Average_Accessibility
梅州市,156441400,0.034537969526916866
鄂州市,156420700,0.04792401463852316
吕梁市,156141100,0.011931459065843569
舟山市,156330900,0.08416653494549613
朝阳市,156211300,0.0018820066807470363
广安市,156511600,0.008606938131337907
濮阳市,156410900,0.04139425822127863
宣城市,156341800,0.031674827605839305
六盘水市,156520200,0.015434992493895745
深圳市,156440300,1.298971893020692
三明市,156350400,0.014934458368404622
景德镇市,156360200,0.020792473687065972
楚雄彝族自治州,156532300,0.017391044141608716
大连市,156210200,0.02482741165539951
攀枝花市,156510400,0.012514639821839015
贺州市,156451100,0.03244128743024344
西安市,156610100,0.13366157376036353
境界线,,0.0
淮北市,156340600,0.03578308308606751
邵阳市,156430500,0.007882599068844857
石家庄市,156130100,0.032699804286447635
汕尾市,156441500,0.051428430730646305
荆门市,156420800,0.014912355338260408
衢州市,156330800,0.03935154330161926
迪庆藏族自治州,156533400,0.0173988053761322
宜宾市,156511500,0.01390618252089299
葫芦岛市,156211400,0.003879664841480708
济南市,156370100,0.043477253714177454
贵阳市,156520100,0.05853232610837415
珠海市,156440400,0.35747034986686094
长春市,156220100,0.008338987599359747
延边朝鲜族自治州,156222400,0.0066604700943164365
萍乡市,156360300,0.02760196907235654
庆阳市,156621000,0.0066301401553571955
泉州市,156350500,0.07117575221676016
自贡市,156510300,0.013418246940865306
临沂市,156371300,0.03790483185483313
百色市,156451000,0.015121920776367188
鞍山市,156210300,0.007321672437587131
铜陵市,156340700,0.041795142874002184
唐山市,156130200,0.026013574213078577
岳阳市,156430600,0.012475976907867291
河源市,156441600,0.04255991084078897
孝感市,156420900,0.019846831069260423
金华市,156330700,0.07237228534065741
兴安盟,156152200,0.0017773104680551064
盘锦市,156211100,0.01372009210013186
雅安市,156511800,0.04030963484805697
亳州市,156341600,0.02019192465171255
商洛市,156611000,0.007543580473606203
盐城市,156320900,0.028462929608044113
汕头市,156440500,0.09458870453155087
安顺市,156520400,0.014763063965923301
黔南布依族苗族自治州,156522700,0.010310197823457644
厦门市,156350200,0.2892021393790208
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.006109853533527793
红河哈尼族彝族自治州,156532500,0.01362481019779686
甘南藏族自治州,156623000,0.010634259555650795
太原市,156140100,0.10713327304066864
常德市,156430700,0.007430216277929492
牡丹江市,156231000,0.004855655963297484
淮南市,156340400,0.020975735384926256
德阳市,156510600,0.023591596977666766
威海市,156371000,0.025557294656216773
秦皇岛市,156130300,0.019584423186033696
绍兴市,156330600,0.06764216995588909
阳江市,156441700,0.03570626558277368
铁岭市,156211200,0.002407769350523583
达州市,156511700,0.0071320170084635415
池州市,156341700,0.027876753408037865
淮安市,156320800,0.03461018742639745
遵义市,156520300,0.020120987954686233
黔东南苗族侗族自治州,156522600,0.014917918259315188
莆田市,156350300,0.04580716219815341
南昌市,156360100,0.06309953383636378
佛山市,156440600,0.35869256213011835
大同市,156140200,0.014337366362916692
昆明市,156530100,0.05895625919150515
张家界市,156430800,0.009246816550139841
泸州市,156510500,0.012171912061498718
沈阳市,156210100,0.028959599466746987
邯郸市,156130400,0.020718574837160466
马鞍山市,156340500,0.026150464873222576
日照市,156371100,0.03624304823988066
三亚市,156460200,0.15450470407235453
十堰市,156420300,0.03761927956957206
呼和浩特市,156150100,0.01972735836532348
德宏傣族景颇族自治州,156533100,0.015103524927554865
梧州市,156450400,0.026130023112175976
枣庄市,156370400,0.035825448693049926
安阳市,156410500,0.0254581742959079
怀化市,156431200,0.008187803239517169
阳泉市,156140300,0.022796679818056484
保亭黎族苗族自治县,156469029,0.060151395458860446
中农发山丹马场,156629700,0.0
