name,gb,Gini_Coefficient
梅州市,156441400,0.6006297001043421
鄂州市,156420700,0.6848738903139175
吕梁市,156141100,0.7609401851484416
舟山市,156330900,0.613875368754407
朝阳市,156211300,0.8501103256932704
广安市,156511600,0.7681757789063545
濮阳市,156410900,0.701267525285317
宣城市,156341800,0.6128677598083015
六盘水市,156520200,0.6410498367019674
深圳市,156440300,0.30722191509502994
三明市,156350400,0.6353493217473574
景德镇市,156360200,0.6168911756803526
楚雄彝族自治州,156532300,0.5933550756144195
大连市,156210200,0.5992506079852513
攀枝花市,156510400,0.6336621112524713
贺州市,156451100,0.5886742322160802
西安市,156610100,0.4320671273834822
境界线,,0.0
淮北市,156340600,0.6402958233660792
邵阳市,156430500,0.8289166642190899
石家庄市,156130100,0.6067155123199605
汕尾市,156441500,0.5632095005074836
荆门市,156420800,0.6567103509483545
衢州市,156330800,0.6594130979304131
迪庆藏族自治州,156533400,0.4516265550170586
宜宾市,156511500,0.6863636625282072
葫芦岛市,156211400,0.8181203834852239
济南市,156370100,0.6020794014896049
贵阳市,156520100,0.46504748210905933
珠海市,156440400,0.28346749356740975
长春市,156220100,0.7209631745539286
延边朝鲜族自治州,156222400,0.748429193822743
萍乡市,156360300,0.6961658369907596
庆阳市,156621000,0.7419542602860405
泉州市,156350500,0.5621217808043546
自贡市,156510300,0.7411574639517067
临沂市,156371300,0.6411399735546817
百色市,156451000,0.581062857412596
鞍山市,156210300,0.8143918259519847
铜陵市,156340700,0.6147162622774975
唐山市,156130200,0.7198835574311688
岳阳市,156430600,0.7110713145155405
河源市,156441600,0.5120517475974361
孝感市,156420900,0.6193460193985256
金华市,156330700,0.5156770969174351
兴安盟,156152200,0.7903449357985102
盘锦市,156211100,0.7455497995432714
雅安市,156511800,0.5382332906739355
亳州市,156341600,0.7126651433723667
商洛市,156611000,0.7641837291547603
盐城市,156320900,0.6841706246306742
汕头市,156440500,0.6315608913665484
安顺市,156520400,0.6426698224152563
黔南布依族苗族自治州,156522700,0.6611915409224275
厦门市,156350200,0.3959112265998169
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.7030993621737334
红河哈尼族彝族自治州,156532500,0.6165390952728366
甘南藏族自治州,156623000,0.7393301598172464
太原市,156140100,0.45526082470523155
常德市,156430700,0.781494313052377
牡丹江市,156231000,0.7978268885146824
淮南市,156340400,0.7037329122259119
德阳市,156510600,0.7301423814378796
威海市,156371000,0.5725587362630911
秦皇岛市,156130300,0.7060167322061994
绍兴市,156330600,0.509753123786979
阳江市,156441700,0.5632281454409804
铁岭市,156211200,0.8204994010199216
达州市,156511700,0.7698619856705703
池州市,156341700,0.7164355823917286
淮安市,156320800,0.5948712822620363
遵义市,156520300,0.5483501109202353
黔东南苗族侗族自治州,156522600,0.595929850526761
莆田市,156350300,0.6999332053571388
南昌市,156360100,0.44277343683573145
佛山市,156440600,0.40216740811069507
大同市,156140200,0.6820839377403256
昆明市,156530100,0.45052055124920987
张家界市,156430800,0.6791148637068135
泸州市,156510500,0.7559957613122652
沈阳市,156210100,0.616703715368628
邯郸市,156130400,0.780859558509458
马鞍山市,156340500,0.6570990415034367
