name,gb,Average_Accessibility
梅州市,156441400,0.00011137896397569872
鄂州市,156420700,0.000402528623201802
吕梁市,156141100,8.533308622868364e-05
舟山市,156330900,0.000873427755302853
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.00018218668252752712
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.03470719409471937
三明市,156350400,0.0
景德镇市,156360200,0.00047410697767361905
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0003789889319655377
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,0.003068635315586532
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0002053593088193616
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.0004805866692063028
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,5.1937753767557554e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0012908379296530366
贵阳市,156520100,0.0
珠海市,156440400,0.005044770209288503
长春市,156220100,5.7784724338368454e-05
延边朝鲜族自治州,156222400,0.00010116306169973276
萍乡市,156360300,0.00018307044812213586
庆阳市,156621000,0.0
泉州市,156350500,0.0005069307077710873
自贡市,156510300,0.0006924957012523873
临沂市,156371300,0.0007870016785924286
百色市,156451000,0.0
鞍山市,156210300,6.72102866267271e-05
铜陵市,156340700,0.0
唐山市,156130200,0.00020602503020404015
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,0.0023645750893412534
兴安盟,156152200,0.00020729034867216184
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,5.6130629298172044e-05
商洛市,156611000,0.0
盐城市,156320900,0.00017295019362562964
汕头市,156440500,0.0007594171024504162
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.009306006475326117
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0021586436714859194
常德市,156430700,6.842641859831073e-05
牡丹江市,156231000,0.0
淮南市,156340400,0.0001773578297104112
德阳市,156510600,0.00010607218827217075
威海市,156371000,0.0002492771424232359
秦皇岛市,156130300,4.5968948518608395e-05
绍兴市,156330600,0.00044225924129075454
阳江市,156441700,0.00018109697403895128
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.00019327587508059546
遵义市,156520300,2.0489054057435116e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.0007473222949961924
佛山市,156440600,0.0014255728332781485
大同市,156140200,0.00011494715219909151
昆明市,156530100,0.00027090240824671833
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.00047649363206649217
邯郸市,156130400,0.00016873996408072188
马鞍山市,156340500,0.0005465133558862512
日照市,156371100,8.579234375344351e-05
三亚市,156460200,0.0037150389514226906
十堰市,156420300,0.0
呼和浩特市,156150100,0.0005924281794425675
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.00027264512743010094
安阳市,156410500,0.0005052761507338957
怀化市,156431200,0.0
阳泉市,156140300,0.00018082995649794457
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.0004276359682114417
陵水黎族自治县,156469028,0.0012434536410916236
博尔塔拉蒙古自治州,156652700,0.00019848796433604695
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00013224830387904507
齐齐哈尔市,156230200,2.4741769786704384e-05
龙岩市,156350800,6.961168810691166e-05
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0003022430791975123
仙桃市,156429004,0.0002308124444556221
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.0003841821902512141
镇江市,156321100,0.0012810485509642164
昌江黎族自治县,156469026,0.0
周口市,156411600,8.371655539554602e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00024268831630358832
澄迈县,156469023,0.0
长沙市,156430100,0.00044805844844022325
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.0005776071548461914
乐山市,156511100,0.00024212335258123345
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.00013669709632299138
东营市,156370500,0.0
鹤壁市,156410600,0.001357978844144861
娄底市,156431300,6.702738807414563e-05
包头市,156150200,4.8567165998807484e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.00011973916538989038
赣州市,156360700,0.0
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.00014214457656296575
上海市,156310000,0.009373601026537127
鸡西市,156230300,0.00014910736825261633
宁德市,156350900,9.616427563699052e-05
保定市,156130600,0.00010498495485370912
菏泽市,156371700,0.00021936615638868987
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.0002604393850467689
驻马店市,156411700,0.00012740233850530767
哈密市,156650500,0.00013569139094448914
株洲市,156430200,0.00020767033885007308
锦州市,156210700,0.0
肇庆市,156441200,0.0
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.0001428043032417921
平凉市,156620800,6.414200539334713e-05
眉山市,156511400,5.8819426791580606e-05
青岛市,156370200,0.0010052228773710194
新乡市,156410700,0.000702474709786239
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,7.455751771965015e-05
广州市,156440100,0.0026855015679406184
吉林市,156220200,0.0
九江市,156360400,0.00013802162794782717
漳州市,156350600,5.0493675529482476e-05
来宾市,156451300,0.0
张家口市,156130700,6.969489385161375e-05
德州市,156371400,0.0005367920137201081
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.0
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0
昆玉市,156659009,0.0
惠州市,156441300,0.00022527349578545212
可克达拉市,156659008,0.0
襄阳市,156420600,0.00012423395179696905
南宁市,156450100,0.00012394289694749825
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.0005452491490993203
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.00021171931776714625
石河子市,156659001,0.0
赤峰市,156150400,2.5687646446213216e-05
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.0010950625776410935
韶关市,156440200,7.166488625477544e-05
朔州市,156140600,6.437475629944076e-05
四平市,156220300,0.0
新余市,156360500,0.00014835183660839605
南平市,156350700,0.0
哈尔滨市,156230100,6.682098365802127e-05
成都市,156510100,0.0014349890128750715
河池市,156451200,0.0
中卫市,156640500,0.0007960133720091361
本溪市,156210500,0.0
承德市,156130800,0.0
聊城市,156371500,0.0004468849903458114
衡阳市,156430400,0.0
湘西土家族苗族自治州,156433100,0.0001287257846105319
杭州市,156330100,0.003202920676139558
玉树藏族自治州,156632700,0.0
武威市,156620600,0.0
临夏回族自治州,156622900,0.0
黄山市,156341000,0.0003956626526732164
徐州市,156320300,0.00041848363169013996
济宁市,156370800,5.314499766411553e-05
揭阳市,156445200,0.0
那曲市,156540600,0.004604326394888071
郑州市,156410100,0.001632903597270719
通辽市,156150500,0.0
贵港市,156450800,0.0
安康市,156610900,0.0
昌吉回族自治州,156652300,0.00012255164311119547
晋中市,156140700,0.0002516630642143082
大庆市,156230600,0.00022635244483421992
普洱市,156530800,4.593549166381808e-05
白城市,156220800,0.0
石嘴山市,156640200,0.0003020253042999138
荆州市,156421000,0.0
沧州市,156130900,0.00039722341048969957
三门峡市,156411200,0.001032239283316034
海西蒙古族藏族自治州,156632800,0.0001651055845889505
云浮市,156445300,0.00014303086096780342
张掖市,156620700,0.0
滁州市,156341100,0.0
泰安市,156370900,0.0003422154818824531
无锡市,156320200,0.0020680301884082888
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,3.6943439294523015e-05
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.00025999309136216927
重庆市,156500000,0.0002481457036781825
钦州市,156450700,0.0
榆林市,156610800,3.5796797324702966e-05
伊春市,156230700,0.0
运城市,156140800,0.0
丽江市,156530700,0.0
黄冈市,156421100,0.0
吴忠市,156640300,0.0005003833550425561
南阳市,156411300,0.00019870211356221428
乌鲁木齐市,156650100,0.0011339871280164604
和田地区,156653200,0.0
海南藏族自治州,156632500,0.00039882226599903043
海东市,156630200,0.0
武汉市,156420100,0.0026091131476363954
儋州市,156460400,0.0
甘孜藏族自治州,156513300,0.0
内江市,156511000,0.0
烟台市,156370600,3.431324649381364e-05
南京市,156320100,0.004198584625189253
白银市,156620400,0.0
郴州市,156431000,0.0
呼伦贝尔市,156150700,5.120400870144505e-05
防城港市,156450600,0.0
北京市,156110000,0.013725209594703325
洛阳市,156410300,0.00015146391171188978
汉中市,156610700,0.0
吉安市,156360800,4.217742344071398e-05
丽水市,156331100,0.0
忻州市,156140900,0.0005394296991181237
中山市,156442000,0.0006293831582452528
鹤岗市,156230400,0.00013003218680604934
白山市,156220600,0.0
咸宁市,156421200,0.0
宿迁市,156321300,0.00020078980310865132
济源市,156419001,0.0012629239644789507
营口市,156210800,8.796531670164354e-05
商丘市,156411400,0.0003804247694183729
果洛藏族自治州,156632600,0.0
三沙市,156460300,0.0
黄石市,156420200,0.0
阿坝藏族羌族自治州,156513200,0.0
潍坊市,156370700,0.00016914217959989488
天水市,156620500,7.420663011744344e-05
永州市,156431100,3.642737603487942e-05
巴彦淖尔市,156150800,0.0
北海市,156450500,0.00016292993602834546
平顶山市,156410400,7.01367096136736e-05
宜春市,156360900,7.859315738169693e-05
台州市,156331000,0.0010760304944337341
东方市,156469007,0.0
延安市,156610600,0.0
万宁市,156469006,0.0
文昌市,156469005,0.0
双鸭山市,156230500,5.4414264227342206e-05
临沧市,156530900,0.0
松原市,156220700,0.0
随州市,156421300,7.513092539417202e-05
资阳市,156512000,0.0
银川市,156640100,0.0013538352937918759
泰州市,156321200,0.00042963448392457454
神农架林区,156429021,0.0
阜新市,156210900,0.0
琼海市,156469002,0.0
五指山市,156469001,0.0
信阳市,156411500,0.0
湖州市,156330500,0.00073284561894521
黄南藏族自治州,156632300,0.0
抚州市,156361000,5.295165907736572e-05
清远市,156441800,4.8339835358708814e-05
天津市,156120000,0.001893940033966451
嘉峪关市,156620200,0.002823453382175401
乌兰察布市,156150900,0.0
阿里地区,156542500,0.0
连云港市,156320700,6.992329005813352e-05
克孜勒苏柯尔克孜自治州,156653000,0.0
日喀则市,156540200,0.0002604334260549264
渭南市,156610500,0.0
铜仁市,156520600,0.0
玉溪市,156530400,0.0
江门市,156440700,0.0001671227389538782
益阳市,156430900,0.0
广元市,156510800,0.0
芜湖市,156340200,0.0001710116606529435
塔城地区,156654200,0.0001002132579802821
嘉兴市,156330400,0.001092185122807145
西宁市,156630100,0.0005485796384515915
上饶市,156361100,0.00012767504514828103
东莞市,156441900,0.003160943587621053
南通市,156320600,0.0003664748396087555
