name,gb,Average_Accessibility
梅州市,156441400,0.2044103053594462
鄂州市,156420700,0.4716426087119422
吕梁市,156141100,0.1953987416921559
舟山市,156330900,0.5836901045487316
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.1986981951662384
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,9.592545901809633
三明市,156350400,0.0
景德镇市,156360200,0.8569993050573386
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.4240747513139735
攀枝花市,156510400,0.0
贺州市,156451100,0.0
西安市,156610100,1.2204803896583594
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.19640319846322013
汕尾市,156441500,0.0
荆门市,156420800,0.0
衢州市,156330800,0.7040090719321097
迪庆藏族自治州,156533400,0.0
宜宾市,156511500,0.09609901583699564
葫芦岛市,156211400,0.0
济南市,156370100,1.1541872363409909
贵阳市,156520100,0.0
珠海市,156440400,3.876281721908047
长春市,156220100,0.11434813779320278
延边朝鲜族自治州,156222400,0.19901729542118654
萍乡市,156360300,0.23069311447869004
庆阳市,156621000,0.0
泉州市,156350500,0.46983566767790497
自贡市,156510300,0.7626219351048288
临沂市,156371300,1.009670386669828
百色市,156451000,0.0
鞍山市,156210300,0.0877951782992436
铜陵市,156340700,0.0
唐山市,156130200,0.24355890178449519
岳阳市,156430600,0.0
河源市,156441600,0.0
孝感市,156420900,0.0
金华市,156330700,2.146337574701188
兴安盟,156152200,1.265562236611335
盘锦市,156211100,0.0
雅安市,156511800,0.0
亳州市,156341600,0.10783211261908483
商洛市,156611000,0.0
盐城市,156320900,0.22639985404998056
汕头市,156440500,0.25134324555482923
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,3.7872006098757303
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,1.1785631100873775
常德市,156430700,0.12360675782534476
牡丹江市,156231000,0.0
淮南市,156340400,0.2557853806463537
德阳市,156510600,0.10322855142786369
威海市,156371000,0.2780523132398044
秦皇岛市,156130300,0.06362459431770512
绍兴市,156330600,0.35665819600819143
阳江市,156441700,0.3227677983678691
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.2786754011579491
遵义市,156520300,0.05268047091620985
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.7843558355545455
佛山市,156440600,0.7275501751114047
大同市,156140200,0.18012056185048403
昆明市,156530100,0.39089168285251513
张家界市,156430800,0.0
泸州市,156510500,0.0
沈阳市,156210100,0.4118187990484591
邯郸市,156130400,0.18738729940228618
马鞍山市,156340500,0.7664715646127446
日照市,156371100,0.10916198793080818
三亚市,156460200,6.552223106296219
十堰市,156420300,0.0
呼和浩特市,156150100,0.8536149038079478
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.0
枣庄市,156370400,0.2985568017334174
安阳市,156410500,0.5585090269211307
怀化市,156431200,0.0
阳泉市,156140300,0.22692816775703795
