name,gb,Average_Accessibility
梅州市,156441400,0.018966644259340876
鄂州市,156420700,0.01916037383047756
吕梁市,156141100,0.007121464339062808
舟山市,156330900,0.07560833167094155
朝阳市,156211300,0.0004140454865601063
广安市,156511600,0.003810439485856787
濮阳市,156410900,0.022840005876869088
宣城市,156341800,0.009053847193717957
六盘水市,156520200,0.0048996962329666965
深圳市,156440300,1.2319692024398237
三明市,156350400,0.011300044493801445
景德镇市,156360200,0.008947856732031351
楚雄彝族自治州,156532300,0.0035476752703425003
大连市,156210200,0.016651863152781225
攀枝花市,156510400,0.0045602910623983636
贺州市,156451100,0.010943539835285414
西安市,156610100,0.13446333612327152
境界线,,0.0
淮北市,156340600,0.009653627281089365
邵阳市,156430500,0.006218567705388942
石家庄市,156130100,0.021580911421506088
汕尾市,156441500,0.020941436258678222
荆门市,156420800,0.004798494091102793
衢州市,156330800,0.01878576447977822
迪庆藏族自治州,156533400,0.007560155440851585
宜宾市,156511500,0.006126479232684584
葫芦岛市,156211400,0.0020751459515548827
济南市,156370100,0.02717079863714492
贵阳市,156520100,0.024047451299959013
珠海市,156440400,0.23357598265318413
长春市,156220100,0.004254689734337151
延边朝鲜族自治州,156222400,0.004952586923004006
萍乡市,156360300,0.009411949287967592
庆阳市,156621000,0.003923158503580862
泉州市,156350500,0.057129245047778145
自贡市,156510300,0.0037961759890062104
临沂市,156371300,0.014872179274150401
百色市,156451000,0.003970955149499009
鞍山市,156210300,0.0020586322562388096
铜陵市,156340700,0.009532591556212161
唐山市,156130200,0.014299363452912946
岳阳市,156430600,0.006400440501692411
河源市,156441600,0.022120065994541728
孝感市,156420900,0.005352844116177637
金华市,156330700,0.035571559517683385
兴安盟,156152200,0.0002693397787226227
盘锦市,156211100,0.0051757091821308665
雅安市,156511800,0.019452288106906634
亳州市,156341600,0.0051072241902321725
商洛市,156611000,0.004109803163324523
盐城市,156320900,0.01505839209267187
汕头市,156440500,0.05474993184948644
安顺市,156520400,0.006074756303566164
黔南布依族苗族自治州,156522700,0.004026460929258967
厦门市,156350200,0.2761475034034531
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.00037516374711689995
红河哈尼族彝族自治州,156532500,0.004583506008842484
甘南藏族自治州,156623000,0.0063230580297009694
太原市,156140100,0.10443169125153727
常德市,156430700,0.00459152573928753
牡丹江市,156231000,0.0011463204415386034
淮南市,156340400,0.0051965102747533005
德阳市,156510600,0.009426588276198095
威海市,156371000,0.009066329134132753
秦皇岛市,156130300,0.013855640863563957
绍兴市,156330600,0.024494306105852872
阳江市,156441700,0.017601355511658562
铁岭市,156211200,0.0010261783145722888
达州市,156511700,0.0025370873522387286
池州市,156341700,0.004471100519526683
淮安市,156320800,0.012692170873856755
遵义市,156520300,0.00612366841989893
黔东南苗族侗族自治州,156522600,0.004236647644895631
