name,gb,Gini_Coefficient
梅州市,156441400,0.7686461347444061
鄂州市,156420700,0.9194561263948409
吕梁市,156141100,0.892846351266342
舟山市,156330900,0.8248627726877131
朝阳市,156211300,0.9850215985419412
广安市,156511600,0.9415069530610918
濮阳市,156410900,0.8623851105207914
宣城市,156341800,0.8687157670131305
六盘水市,156520200,0.9079815824638031
深圳市,156440300,0.302046163861888
三明市,156350400,0.8230386708253103
景德镇市,156360200,0.8279055563745001
楚雄彝族自治州,156532300,0.9407382915499806
大连市,156210200,0.7973863878345409
攀枝花市,156510400,0.9179044757527016
贺州市,156451100,0.809841416730838
西安市,156610100,0.6027097070897451
境界线,,0.0
淮北市,156340600,0.9071459236832496
邵阳市,156430500,0.8922008001427268
石家庄市,156130100,0.8461449911176337
汕尾市,156441500,0.8271576365902543
荆门市,156420800,0.9238927471287386
衢州市,156330800,0.8656210975680273
迪庆藏族自治州,156533400,0.8498636749701491
宜宾市,156511500,0.8609701749882467
葫芦岛市,156211400,0.9582777072063599
济南市,156370100,0.8297139911254716
贵阳市,156520100,0.7831913878228767
珠海市,156440400,0.49397949382477946
长春市,156220100,0.9237210917276791
延边朝鲜族自治州,156222400,0.8887468727589238
萍乡市,156360300,0.9132322741286488
庆阳市,156621000,0.924940023689075
泉州市,156350500,0.7841183420682352
自贡市,156510300,0.9087082733870098
临沂市,156371300,0.9004116635824247
百色市,156451000,0.8715950812820714
鞍山市,156210300,0.9621024375192883
铜陵市,156340700,0.887594130423661
唐山市,156130200,0.8711303936494748
岳阳市,156430600,0.8889904674632977
河源市,156441600,0.765110927499754
孝感市,156420900,0.9431245668985735
金华市,156330700,0.8065464809917415
兴安盟,156152200,0.9924472060126335
盘锦市,156211100,0.9309774252466437
雅安市,156511800,0.8082862082462116
亳州市,156341600,0.9265771825477995
商洛市,156611000,0.9378371064978124
盐城市,156320900,0.8744104311009622
汕头市,156440500,0.8283921812153361
安顺市,156520400,0.9257908074564682
黔南布依族苗族自治州,156522700,0.8788504880870024
厦门市,156350200,0.5429677067957419
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9865732081899505
红河哈尼族彝族自治州,156532500,0.8889308155771277
甘南藏族自治州,156623000,0.9577551280561187
太原市,156140100,0.6830640677235751
常德市,156430700,0.9100960185560787
牡丹江市,156231000,0.9611448722616404
淮南市,156340400,0.9440807977380986
德阳市,156510600,0.9161600909991856
威海市,156371000,0.9103574686565175
秦皇岛市,156130300,0.9197532701263501
绍兴市,156330600,0.8586433884744488
阳江市,156441700,0.7795072564665158
铁岭市,156211200,0.9809555162845565
达州市,156511700,0.8992954538575525
池州市,156341700,0.9499670611919414
淮安市,156320800,0.8747928733324258
遵义市,156520300,0.855842710480953
黔东南苗族侗族自治州,156522600,0.8791478669093361
莆田市,156350300,0.8775039871775915
南昌市,156360100,0.7006846372020745
佛山市,156440600,0.5806520679444296
大同市,156140200,0.9413001921543571
昆明市,156530100,0.6877024711641393
张家界市,156430800,0.882031944339494
泸州市,156510500,0.9180431537868486
沈阳市,156210100,0.879342043049344
邯郸市,156130400,0.9379997413459796
马鞍山市,156340500,0.9389124581274284
日照市,156371100,0.8216444801977705
三亚市,156460200,0.47483572723586653
十堰市,156420300,0.8331439656784232
呼和浩特市,156150100,0.888218904229098
德宏傣族景颇族自治州,156533100,0.8419589143581404
梧州市,156450400,0.7286167760610753
枣庄市,156370400,0.9238740082911676
安阳市,156410500,0.9347537091099741
怀化市,156431200,0.8816818947267431
阳泉市,156140300,0.8444225886471366
保亭黎族苗族自治县,156469029,0.5656827582823474
中农发山丹马场,156629700,0.9468031758847444
鹰潭市,156360600,0.9547950081056839
