name,gb,Average_Accessibility
梅州市,156441400,0.010575895967823245
鄂州市,156420700,0.011545888917191162
吕梁市,156141100,0.0056211087694086875
舟山市,156330900,0.06736934358273411
朝阳市,156211300,0.00034956200153155785
广安市,156511600,0.003672770915492888
濮阳市,156410900,0.02021253075353617
宣城市,156341800,0.006228535362327459
六盘水市,156520200,0.0038498214783516853
深圳市,156440300,1.1128433330407304
三明市,156350400,0.009297416314447748
景德镇市,156360200,0.0080696279095733
楚雄彝族自治州,156532300,0.0028857198046246786
大连市,156210200,0.014347532997837687
攀枝花市,156510400,0.004189502272652437
贺州市,156451100,0.005265427805894723
西安市,156610100,0.12475140022103708
境界线,,0.0
淮北市,156340600,0.007391196256790318
邵阳市,156430500,0.005624791461503023
石家庄市,156130100,0.0184504518720608
汕尾市,156441500,0.015025442574471961
荆门市,156420800,0.003001751167763541
衢州市,156330800,0.016827717281523207
迪庆藏族自治州,156533400,0.005508534377924866
宜宾市,156511500,0.004518161648546893
葫芦岛市,156211400,0.0019466311513427178
济南市,156370100,0.0235549507942796
贵阳市,156520100,0.01990251612229145
珠海市,156440400,0.15939100095182374
长春市,156220100,0.0036583164688889854
延边朝鲜族自治州,156222400,0.004469765371025124
萍乡市,156360300,0.007807990910262935
庆阳市,156621000,0.003148316269727511
泉州市,156350500,0.04790838714309229
自贡市,156510300,0.003643640029092486
临沂市,156371300,0.012329308221676468
百色市,156451000,0.003425131070306957
鞍山市,156210300,0.0018316077591128148
铜陵市,156340700,0.008148242335516784
唐山市,156130200,0.013041149651123933
岳阳市,156430600,0.0057524120169948284
河源市,156441600,0.013866348250536297
孝感市,156420900,0.004239468877794414
金华市,156330700,0.02904893012418969
兴安盟,156152200,0.00019938990393129772
盘锦市,156211100,0.004580909823193962
雅安市,156511800,0.014085356020763136
亳州市,156341600,0.004369147655319672
商洛市,156611000,0.0036029496180593978
盐城市,156320900,0.01308769303551524
汕头市,156440500,0.04005407866972631
安顺市,156520400,0.00555928176081308
黔南布依族苗族自治州,156522700,0.00374982467415867
厦门市,156350200,0.23188188996505057
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0002551575583633036
红河哈尼族彝族自治州,156532500,0.0037189515963118275
甘南藏族自治州,156623000,0.0031143311278460776
太原市,156140100,0.08236022646850673
常德市,156430700,0.0038773177401630284
牡丹江市,156231000,0.0010228837432770985
淮南市,156340400,0.0039011888590989503
德阳市,156510600,0.00821289036390565
威海市,156371000,0.00792688687777516
秦皇岛市,156130300,0.012396486982284757
绍兴市,156330600,0.019288574809588347
阳江市,156441700,0.012000295472400613
铁岭市,156211200,0.0009309298538461347
达州市,156511700,0.00250910084078
池州市,156341700,0.0033298641761426826
淮安市,156320800,0.010636558216155462
遵义市,156520300,0.005468024217120694
黔东南苗族侗族自治州,156522600,0.0036469772303481247
莆田市,156350300,0.02061243431805844
南昌市,156360100,0.035694565748064074
佛山市,156440600,0.16097426348753976
大同市,156140200,0.007267606511051714
昆明市,156530100,0.030207665116473797
张家界市,156430800,0.008942376170165644
泸州市,156510500,0.004723383511033343
沈阳市,156210100,0.006834943951684213
邯郸市,156130400,0.008597538075462553
马鞍山市,156340500,0.006539542581268523
日照市,156371100,0.017372167061615436
三亚市,156460200,0.10503796449641592
十堰市,156420300,0.007131683982083604
呼和浩特市,156150100,0.00907070722201927
德宏傣族景颇族自治州,156533100,0.0031556289109726347
梧州市,156450400,0.011192110747492524
枣庄市,156370400,0.012890480854570473
安阳市,156410500,0.00838049107014117
怀化市,156431200,0.0044791659742164786
阳泉市,156140300,0.01278694081231874
保亭黎族苗族自治县,156469029,0.05106981107976768
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.006126344045379125
陵水黎族自治县,156469028,0.05750902405163317
博尔塔拉蒙古自治州,156652700,0.0010746646057239679
乐东黎族自治县,156469027,0.0069230397542317705
辽源市,156220400,0.0010083227157592774
齐齐哈尔市,156230200,0.0002637230599085539
龙岩市,156350800,0.008206047906539043
天门市,156429006,0.0014788815811288877
潜江市,156429005,0.002562854631354808
邢台市,156130500,0.010837940933779398
仙桃市,156429004,0.005956939083628446
绥化市,156231200,0.0002834122146074362
丹东市,156210600,0.0010105125282121742
滨州市,156371600,0.006456746877582487
镇江市,156321100,0.02681162325215507
昌江黎族自治县,156469026,0.010526333485279713
周口市,156411600,0.0035144090008980182
白沙黎族自治县,156469025,0.022267360386885995
临高县,156469024,0.002558480078617503
吐鲁番市,156650400,0.002710493799168306
澄迈县,156469023,0.015500866291615808
长沙市,156430100,0.061513096659955205
屯昌县,156469022,0.014838429284909041
定安县,156469021,0.01127930031424622
海口市,156460100,0.11099014839116675
乐山市,156511100,0.005468457787349191
凉山彝族自治州,156513400,0.002043246040693193
桂林市,156450300,0.009256479196892181
东营市,156370500,0.025152444272803685
鹤壁市,156410600,0.00844534016948866
娄底市,156431300,0.007687443438799381
包头市,156150200,0.0032115531529864393
锡林郭勒盟,156152500,0.0004294084856110379
琼中黎族苗族自治县,156469030,0.003541374206542969
长治市,156140400,0.007107179197216967
赣州市,156360700,0.015695919737147825
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.003146445482932944
巴音郭楞蒙古自治州,156652800,0.0014030325692375527
上海市,156310000,0.4172530695020676
鸡西市,156230300,0.00034967542232889893
宁德市,156350900,0.00984236598787513
保定市,156130600,0.01265993461130654
菏泽市,156371700,0.0041338501736066105
崇左市,156451400,0.002489631175994873
黑河市,156231100,0.0008311741857129836
扬州市,156321000,0.018913612742068635
驻马店市,156411700,0.00317434621155738
哈密市,156650500,0.002844526933476249
株洲市,156430200,0.011574757633096674
锦州市,156210700,0.001091973704963048
肇庆市,156441200,0.01556735134537927
恩施土家族苗族自治州,156422800,0.0033234526851143673
宜昌市,156420500,0.0107728942527849
怒江傈僳族自治州,156533300,0.0011833638167209762
柳州市,156450200,0.02142770090048794
平凉市,156620800,0.0023266588420786907
眉山市,156511400,0.008765172341128488
青岛市,156370200,0.04120721109856852
新乡市,156410700,0.011883952096713389
乌海市,156150300,0.004031315006729346
黔西南布依族苗族自治州,156522300,0.004861503667449145
晋城市,156140500,0.008362504472953523
广州市,156440100,0.2822870497056311
吉林市,156220200,0.0009885915583066824
九江市,156360400,0.006635281502346741
漳州市,156350600,0.022330634844592318
来宾市,156451300,0.004565463890012091
张家口市,156130700,0.008843494225334751
德州市,156371400,0.007061289503307057
胡杨河市,156659010,0.0
固原市,156640400,0.003805665270120569
抚顺市,156210400,0.0008048172171169072
安庆市,156340800,0.006984428187121453
白杨市,156659012,0.0
新星市,156659011,0.0017975009977817535
克拉玛依市,156650200,0.011796616242767361
湘潭市,156430300,0.012321169487567904
昆玉市,156659009,0.0
惠州市,156441300,0.05673057497360329
可克达拉市,156659008,0.0008484402578059749
襄阳市,156420600,0.008885787184784581
南宁市,156450100,0.011900151329524798
南充市,156511300,0.003830771833831795
酒泉市,156620900,0.002993172445675893
淄博市,156370300,0.02020539066383083
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0010542760856672756
焦作市,156410800,0.017876930058281434
石河子市,156659001,0.005193847746360959
赤峰市,156150400,0.00023179246909415822
双河市,156659007,0.0
铁门关市,156659006,0.0008168109601601623
北屯市,156659005,0.0015860642156293315
五家渠市,156659004,0.006020843295328307
韶关市,156440200,0.010318670890905164
朔州市,156140600,0.003909675128987034
