name,gb,Average_Accessibility
梅州市,156441400,0.00010364196643444265
鄂州市,156420700,0.00039490770720288843
吕梁市,156141100,0.00015388111934132228
舟山市,156330900,0.0005588092771517177
朝阳市,156211300,0.0
广安市,156511600,0.0
濮阳市,156410900,0.00019734218504340243
宣城市,156341800,0.0
六盘水市,156520200,0.0
深圳市,156440300,0.04735241150588132
三明市,156350400,0.001278875908252202
景德镇市,156360200,0.00032238368590954827
楚雄彝族自治州,156532300,0.0
大连市,156210200,0.0009084797084108274
攀枝花市,156510400,0.0005382075303102969
贺州市,156451100,0.0
西安市,156610100,0.0068089994171531215
境界线,,0.0
淮北市,156340600,0.0
邵阳市,156430500,0.0
石家庄市,156130100,0.0006245293968240765
汕尾市,156441500,0.0
荆门市,156420800,5.5230778164610614e-05
衢州市,156330800,0.00046028811576590207
迪庆藏族自治州,156533400,0.0003559083359599173
宜宾市,156511500,5.123246946626196e-05
葫芦岛市,156211400,0.0
济南市,156370100,0.0020458091959304195
贵阳市,156520100,0.0006781421974926237
珠海市,156440400,0.008261995484130551
长春市,156220100,8.952820565783412e-05
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.00017700506711127903
庆阳市,156621000,6.13623364229431e-05
泉州市,156350500,0.0006332280452151028
自贡市,156510300,0.0008042075700630528
临沂市,156371300,0.0009939453497408886
百色市,156451000,0.0
鞍山市,156210300,6.297763026583254e-05
铜陵市,156340700,0.00014329648057774864
唐山市,156130200,0.00045211555256186026
岳阳市,156430600,7.494115732771548e-05
河源市,156441600,0.0
孝感市,156420900,0.00012591258811322988
金华市,156330700,0.0018392568606754142
兴安盟,156152200,0.00012342715965963318
盘锦市,156211100,0.00018612899925479252
雅安市,156511800,0.0
亳州市,156341600,0.0
商洛市,156611000,0.0
盐城市,156320900,0.0005740644705241622
汕头市,156440500,0.0007326901967553721
安顺市,156520400,0.0
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.0158651576654808
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.0
甘南藏族自治州,156623000,0.0
太原市,156140100,0.0035375791780013727
常德市,156430700,6.745260909433564e-05
牡丹江市,156231000,8.956632553808426e-05
淮南市,156340400,0.000242695837744441
德阳市,156510600,0.00020429951890899758
威海市,156371000,0.0003214310443683854
秦皇岛市,156130300,4.320238230578322e-05
绍兴市,156330600,0.0003977289317566671
阳江市,156441700,8.068533796751831e-05
铁岭市,156211200,0.0
达州市,156511700,0.0
池州市,156341700,0.0
淮安市,156320800,0.0002590291631247848
遵义市,156520300,4.198619887080038e-05
黔东南苗族侗族自治州,156522600,0.0
莆田市,156350300,0.0
南昌市,156360100,0.001291105866762576
佛山市,156440600,0.0037934120450758627
大同市,156140200,0.00010253319397539402
昆明市,156530100,0.0006095478047617357
张家界市,156430800,0.0
泸州市,156510500,0.0002494218071198208
沈阳市,156210100,0.0005769600142517845
邯郸市,156130400,0.000623116956480862
马鞍山市,156340500,0.0005369492739150546
日照市,156371100,8.328710259361701e-05
三亚市,156460200,0.014376105094442562
十堰市,156420300,0.0
呼和浩特市,156150100,0.0007944286711736227
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,6.691013970825531e-05
枣庄市,156370400,0.00018425722530379833
安阳市,156410500,0.0004024552040644011
怀化市,156431200,5.246578617020681e-05
阳泉市,156140300,0.00016958034603993871
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.00041055225288198847
陵水黎族自治县,156469028,0.00391137934720851
博尔塔拉蒙古自治州,156652700,0.00030279797170803543
乐东黎族自治县,156469027,0.0
辽源市,156220400,0.00012486456812684375
齐齐哈尔市,156230200,2.2200946958717652e-05
龙岩市,156350800,0.00012377014822640995
天门市,156429006,0.0
潜江市,156429005,0.0
邢台市,156130500,0.0006102803382595943
仙桃市,156429004,0.000385205000732269
绥化市,156231200,0.0
丹东市,156210600,0.0
滨州市,156371600,0.0002788610843587885
镇江市,156321100,0.0018475845619377478
昌江黎族自治县,156469026,0.0
周口市,156411600,8.293153817644556e-05
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.00020206977247858536
澄迈县,156469023,0.00040094953187754456
长沙市,156430100,0.0030548233687653073
屯昌县,156469022,0.0
定安县,156469021,0.0
海口市,156460100,0.0019074266040047935
乐山市,156511100,0.00028442362571332237
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.00013101952316368562
东营市,156370500,8.541890803505393e-05
鹤壁市,156410600,0.0017814109208759226
娄底市,156431300,6.582975336200999e-05
包头市,156150200,4.1841035915840995e-05
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.00011166255383795063
赣州市,156360700,2.840702732404073e-05
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.0001154439382015592
上海市,156310000,0.03340192313339212
鸡西市,156230300,9.868810657952055e-05
宁德市,156350900,0.00020743346288568134
保定市,156130600,0.0003572235230158843
菏泽市,156371700,0.00021636170781141767
崇左市,156451400,0.0
黑河市,156231100,0.0
扬州市,156321000,0.001153807043679238
驻马店市,156411700,0.00017441819462406407
哈密市,156650500,0.00011337479424424955
株洲市,156430200,0.00028420912482570544
锦州市,156210700,0.0
肇庆市,156441200,0.000355143522890209
恩施土家族苗族自治州,156422800,0.0
宜昌市,156420500,0.0
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,9.410027634356081e-05
平凉市,156620800,0.0001511012509446938
眉山市,156511400,6.558337352342076e-05
青岛市,156370200,0.003820598403475778
新乡市,156410700,0.0008023285082163881
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.0
晋城市,156140500,0.00015434610698869837
广州市,156440100,0.011262155864053144
吉林市,156220200,0.0
九江市,156360400,0.00018303587418052128
漳州市,156350600,0.00017517492172010066
来宾市,156451300,0.0
张家口市,156130700,0.00027110601934794736
德州市,156371400,0.0006026366396130657
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,4.896643558438395e-05
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.0001275832059680075
昆玉市,156659009,0.0
惠州市,156441300,0.0012382061815384478
可克达拉市,156659008,0.0
襄阳市,156420600,0.00013829566553345138
南宁市,156450100,0.00019988403743568804
南充市,156511300,0.0
酒泉市,156620900,0.0
淄博市,156370300,0.0005597188344378155
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.00010956526949958691
石河子市,156659001,0.0
赤峰市,156150400,2.211343941624127e-05
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.0009652837926958814
韶关市,156440200,0.0002361595850339651
朔州市,156140600,5.562731625266652e-05
四平市,156220300,0.0
新余市,156360500,0.00030332432118001726
南平市,156350700,0.0001169316998313629
哈尔滨市,156230100,0.00012251488238313994
成都市,156510100,0.004731974125526913
河池市,156451200,0.0
