name,gb,Gini_Coefficient
梅州市,156441400,0.9920974574354383
鄂州市,156420700,0.9910086312994416
吕梁市,156141100,0.97471561049976
舟山市,156330900,0.9491489959726617
朝阳市,156211300,0.992967938549099
广安市,156511600,0.9913631422818998
濮阳市,156410900,0.9869033555541329
宣城市,156341800,0.995687758592001
六盘水市,156520200,0.0
深圳市,156440300,0.6778636626919952
三明市,156350400,0.9398806856002438
景德镇市,156360200,0.9941560796423947
楚雄彝族自治州,156532300,0.9925119550105951
大连市,156210200,0.8513263442639979
攀枝花市,156510400,0.9963284824768882
贺州市,156451100,0.0
西安市,156610100,0.8285059637228385
境界线,,0.0
淮北市,156340600,0.9993124176311474
邵阳市,156430500,0.9963113214101789
石家庄市,156130100,0.9379905317378818
汕尾市,156441500,0.0
荆门市,156420800,0.9996423082324544
衢州市,156330800,0.9660052201062403
迪庆藏族自治州,156533400,0.9780863764637038
宜宾市,156511500,0.9961478876095862
葫芦岛市,156211400,0.0
济南市,156370100,0.9548564431037262
贵阳市,156520100,0.8996853528903158
珠海市,156440400,0.8700920221143061
长春市,156220100,0.9944602575858386
延边朝鲜族自治州,156222400,0.0
萍乡市,156360300,0.9842865281375794
庆阳市,156621000,0.9842854933053002
泉州市,156350500,0.9628864531370455
自贡市,156510300,0.9601784105254149
临沂市,156371300,0.9433992000903217
百色市,156451000,0.9853787709010209
鞍山市,156210300,0.9993734774858928
铜陵市,156340700,0.9976288641062747
唐山市,156130200,0.9247036047930912
岳阳市,156430600,0.9968772569695872
河源市,156441600,0.9929185530167958
孝感市,156420900,0.9942903883182378
金华市,156330700,0.9600586284144845
兴安盟,156152200,0.9845279190754024
盘锦市,156211100,0.9959125627819565
雅安市,156511800,0.9849295370975775
亳州市,156341600,0.9913970787163624
商洛市,156611000,0.9916258763546093
盐城市,156320900,0.9433758133795388
汕头市,156440500,0.9756057711142336
安顺市,156520400,0.9901595123615589
黔南布依族苗族自治州,156522700,0.0
厦门市,156350200,0.782719726113676
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0
红河哈尼族彝族自治州,156532500,0.9838889207205799
甘南藏族自治州,156623000,0.0
太原市,156140100,0.8204907479698749
常德市,156430700,0.9913173725211446
牡丹江市,156231000,0.985516249443037
淮南市,156340400,0.9940966015536886
德阳市,156510600,0.9615209384364443
威海市,156371000,0.9695929500712078
秦皇岛市,156130300,0.961163210969542
绍兴市,156330600,0.960843119732991
阳江市,156441700,0.9841096529668498
铁岭市,156211200,0.9990670900858213
达州市,156511700,0.0
池州市,156341700,0.9981955724045307
淮安市,156320800,0.9714448272790089
遵义市,156520300,0.9884212039212007
黔东南苗族侗族自治州,156522600,0.9829937691065694
莆田市,156350300,0.9723392146966429
南昌市,156360100,0.9312166137342881
佛山市,156440600,0.9400750989956039
大同市,156140200,0.9954352711838642
昆明市,156530100,0.8982132042888166
张家界市,156430800,0.0
泸州市,156510500,0.9865095137311156
沈阳市,156210100,0.9609558741984714
邯郸市,156130400,0.9730829251533679
马鞍山市,156340500,0.9939290560766402
日照市,156371100,0.9038634585780574
三亚市,156460200,0.9052586315515343
十堰市,156420300,0.9910800141283996
呼和浩特市,156150100,0.9563412964286093
德宏傣族景颇族自治州,156533100,0.0
梧州市,156450400,0.9837803186668068
枣庄市,156370400,0.9802784505692158
安阳市,156410500,0.9939495361960509
怀化市,156431200,0.992879845411755
阳泉市,156140300,0.9737084294948191
保亭黎族苗族自治县,156469029,0.0
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.9974026865740756
陵水黎族自治县,156469028,0.9801652081847279
博尔塔拉蒙古自治州,156652700,0.9604500480197844
乐东黎族自治县,156469027,0.9961282758205066
辽源市,156220400,0.9963715424069519
齐齐哈尔市,156230200,0.9971357663350241
龙岩市,156350800,0.9720708476437426
天门市,156429006,0.9930355020433317
潜江市,156429005,0.0
邢台市,156130500,0.9895971602683886
仙桃市,156429004,0.9624946091729012
绥化市,156231200,0.0
丹东市,156210600,0.9950538288198721
滨州市,156371600,0.9934323306518238
镇江市,156321100,0.9492307193779718
昌江黎族自治县,156469026,0.9970910246772386
周口市,156411600,0.9954349058601272
白沙黎族自治县,156469025,0.0
临高县,156469024,0.0
吐鲁番市,156650400,0.9871037263231865
澄迈县,156469023,0.9689885662482245
长沙市,156430100,0.8560139046497052
屯昌县,156469022,0.0
定安县,156469021,0.9964788103825921
海口市,156460100,0.6586608427843614
乐山市,156511100,0.9745116266066162
凉山彝族自治州,156513400,0.0
桂林市,156450300,0.9765975347603598
东营市,156370500,0.9785770048412635
鹤壁市,156410600,0.9863289157938888
娄底市,156431300,0.994875627433903
包头市,156150200,0.9965483403980046
锡林郭勒盟,156152500,0.0
琼中黎族苗族自治县,156469030,0.0
长治市,156140400,0.9971960168649568
赣州市,156360700,0.9907264384465021
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.0
巴音郭楞蒙古自治州,156652800,0.9929224846310373
上海市,156310000,0.616568301199258
鸡西市,156230300,0.9843082502740053
宁德市,156350900,0.9860820681590653
保定市,156130600,0.974255678494365
菏泽市,156371700,0.9942817129091893
崇左市,156451400,0.9922019787684728
黑河市,156231100,0.0
扬州市,156321000,0.9319259638436844
驻马店市,156411700,0.9885332138255766
哈密市,156650500,0.9762534794590674
株洲市,156430200,0.9971459690021923
锦州市,156210700,0.9903540030359219
肇庆市,156441200,0.9770093066770337
恩施土家族苗族自治州,156422800,0.9942387029216669
宜昌市,156420500,0.9916358162906053
怒江傈僳族自治州,156533300,0.0
柳州市,156450200,0.945413064020974
平凉市,156620800,0.9718749954922303
眉山市,156511400,0.9939461496660278
青岛市,156370200,0.835995420904539
新乡市,156410700,0.9754084326575638
乌海市,156150300,0.0
黔西南布依族苗族自治州,156522300,0.9936972555896907
晋城市,156140500,0.985343224025569
广州市,156440100,0.7939970585959084
吉林市,156220200,0.0
九江市,156360400,0.9837272289688687
漳州市,156350600,0.9691874102196064
来宾市,156451300,0.9953866205372897
张家口市,156130700,0.9357012333257375
德州市,156371400,0.9579163994986521
胡杨河市,156659010,0.0
固原市,156640400,0.0
抚顺市,156210400,0.0
安庆市,156340800,0.938366759833743
白杨市,156659012,0.0
新星市,156659011,0.0
克拉玛依市,156650200,0.0
湘潭市,156430300,0.9695009488639302
昆玉市,156659009,0.0
惠州市,156441300,0.9191052466829708
可克达拉市,156659008,0.0
襄阳市,156420600,0.9788252333117472
南宁市,156450100,0.9667675773960188
南充市,156511300,0.9832449533989627
酒泉市,156620900,0.985937836262215
淄博市,156370300,0.9485000969261936
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0
焦作市,156410800,0.9853170155720858
石河子市,156659001,0.0
赤峰市,156150400,0.9897641697116464
双河市,156659007,0.0
铁门关市,156659006,0.0
北屯市,156659005,0.0
五家渠市,156659004,0.9563519559468217
韶关市,156440200,0.9780695709555527
朔州市,156140600,0.9970552838143432
四平市,156220300,0.0
新余市,156360500,0.998334203261915
南平市,156350700,0.9762194251412387
哈尔滨市,156230100,0.9787096255702221
成都市,156510100,0.827682382223381
河池市,156451200,0.0
中卫市,156640500,0.979877320324487
本溪市,156210500,0.0
承德市,156130800,0.9805785685383571
聊城市,156371500,0.9876397500654474
衡阳市,156430400,0.9960752854676506
湘西土家族苗族自治州,156433100,0.9909664705530082
杭州市,156330100,0.793177016365606
玉树藏族自治州,156632700,0.0
武威市,156620600,0.974812091719986
临夏回族自治州,156622900,0.9533126480115219
黄山市,156341000,0.9095700748769769
徐州市,156320300,0.9382523482490797
济宁市,156370800,0.9839233283555263
揭阳市,156445200,0.9996851129559835
那曲市,156540600,0.9820492952297826
郑州市,156410100,0.9364648554656012
通辽市,156150500,0.992600808647176
贵港市,156450800,0.9906122372162911
安康市,156610900,0.0
昌吉回族自治州,156652300,0.991751396897969
晋中市,156140700,0.961924573899577
大庆市,156230600,0.9945946656020984
普洱市,156530800,0.9353356653236193
白城市,156220800,0.991478475474489
石嘴山市,156640200,0.9876344088173196
荆州市,156421000,0.9862615779820041
沧州市,156130900,0.9755858450694295
三门峡市,156411200,0.9633661048281936
海西蒙古族藏族自治州,156632800,0.9785497893378114
云浮市,156445300,0.9870207447912707
张掖市,156620700,0.9894153987547004
滁州市,156341100,0.9902484413477444
泰安市,156370900,0.9812011327685592
无锡市,156320200,0.9323174622270586
大兴安岭地区,156232700,0.0
鄂尔多斯市,156150600,0.9871544602695486
阿拉善盟,156152900,0.0
山南市,156540500,0.0
开封市,156410200,0.9897877334598743
重庆市,156500000,0.9282135171279308
钦州市,156450700,0.9992581213914391
榆林市,156610800,0.9968662643628637
伊春市,156230700,0.0
运城市,156140800,0.9759176587280157
丽江市,156530700,0.965520503622332
黄冈市,156421100,0.9869799932816014
吴忠市,156640300,0.9802860490649129
南阳市,156411300,0.9792959307317769
乌鲁木齐市,156650100,0.9811125837087704
和田地区,156653200,0.0
海南藏族自治州,156632500,0.9287633768877098
海东市,156630200,0.0
武汉市,156420100,0.7589108854070732
儋州市,156460400,0.9992515596787035
甘孜藏族自治州,156513300,0.9803571317073795
内江市,156511000,0.9975665714790888
烟台市,156370600,0.929067594242271
南京市,156320100,0.7640775261957818
白银市,156620400,0.9532172643797754
郴州市,156431000,0.99440113151976
呼伦贝尔市,156150700,0.9916741760213317
防城港市,156450600,0.9950894810404671
北京市,156110000,0.6934372248946544
洛阳市,156410300,0.9618964119249215
汉中市,156610700,0.9859429449880442
吉安市,156360800,0.9937321519568769
丽水市,156331100,0.8931500004447821
忻州市,156140900,0.9883765111109597
中山市,156442000,0.9395291379858326
鹤岗市,156230400,0.9724494420772299
白山市,156220600,0.9870739030529777
咸宁市,156421200,0.99581974016501
宿迁市,156321300,0.9732309856636948
济源市,156419001,0.9907864565902842
营口市,156210800,0.9960519603259913
商丘市,156411400,0.9889451486119516
