name,gb,Gini_Coefficient
梅州市,156441400,0.8731946344245911
鄂州市,156420700,0.9069102956363505
吕梁市,156141100,0.9211195498165543
舟山市,156330900,0.9025429918946191
朝阳市,156211300,0.9818901036906216
广安市,156511600,0.9722673694179227
濮阳市,156410900,0.9122603444573884
宣城市,156341800,0.9122658121609548
六盘水市,156520200,0.9700815037982978
深圳市,156440300,0.32850935484682253
三明市,156350400,0.9260102245118138
景德镇市,156360200,0.8780935953173139
楚雄彝族自治州,156532300,0.9717376272162481
大连市,156210200,0.8257474549925055
攀枝花市,156510400,0.960071803534963
贺州市,156451100,0.9418993585027426
西安市,156610100,0.594866252619333
境界线,,0.0
淮北市,156340600,0.9240239847539167
邵阳市,156430500,0.9281295713126013
石家庄市,156130100,0.8413479170685296
汕尾市,156441500,0.8745295428475011
荆门市,156420800,0.9443884250405404
衢州市,156330800,0.8919595053882807
迪庆藏族自治州,156533400,0.9750330174632412
宜宾市,156511500,0.9304435622580554
葫芦岛市,156211400,0.9746586708220716
济南市,156370100,0.8226812439867492
贵阳市,156520100,0.7946154799177704
珠海市,156440400,0.5870111373716635
长春市,156220100,0.9154005733641304
延边朝鲜族自治州,156222400,0.9313144009868234
萍乡市,156360300,0.930433046585664
庆阳市,156621000,0.9569287883215745
泉州市,156350500,0.7809857714370848
自贡市,156510300,0.9545517638640643
临沂市,156371300,0.9200445383470315
百色市,156451000,0.9659574046677386
鞍山市,156210300,0.9773343259540068
铜陵市,156340700,0.9073156844885509
唐山市,156130200,0.8894236740539239
岳阳市,156430600,0.9485739521240693
河源市,156441600,0.8814429141398087
孝感市,156420900,0.9669992518830132
金华市,156330700,0.8212614352775783
兴安盟,156152200,0.9961861137132331
盘锦市,156211100,0.9477442897820053
雅安市,156511800,0.9168195008544477
亳州市,156341600,0.9772069230017483
商洛市,156611000,0.9740254423963386
盐城市,156320900,0.9046001767718173
汕头市,156440500,0.8585106902672524
安顺市,156520400,0.9404547227242834
黔南布依族苗族自治州,156522700,0.9534510124072471
厦门市,156350200,0.4734318736627875
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.9650122849992002
红河哈尼族彝族自治州,156532500,0.9627689196523008
甘南藏族自治州,156623000,0.980579376036819
太原市,156140100,0.6715869699704751
常德市,156430700,0.9388678873670743
牡丹江市,156231000,0.96640817194324
淮南市,156340400,0.9495896043625516
德阳市,156510600,0.9366159840651884
威海市,156371000,0.8995930030017347
秦皇岛市,156130300,0.9418733094506688
绍兴市,156330600,0.8755331065106613
阳江市,156441700,0.9021680540713852
铁岭市,156211200,0.9841077962072141
达州市,156511700,0.956375335299358
池州市,156341700,0.9809516569202582
淮安市,156320800,0.9194602365850332
遵义市,156520300,0.8989245448628261
黔东南苗族侗族自治州,156522600,0.957796546362813
莆田市,156350300,0.9140267872390999
南昌市,156360100,0.7117774884169131
佛山市,156440600,0.5871823481836644
大同市,156140200,0.9658921742085416
昆明市,156530100,0.6653806621681893
张家界市,156430800,0.9115600559076747
泸州市,156510500,0.9569781149160029
沈阳市,156210100,0.8667073603822922
邯郸市,156130400,0.9597745033980005
马鞍山市,156340500,0.9500423143094825
日照市,156371100,0.8794916025013251
三亚市,156460200,0.545439230590353
十堰市,156420300,0.9034377949846959
呼和浩特市,156150100,0.9014728571214493
德宏傣族景颇族自治州,156533100,0.9611041429173202
梧州市,156450400,0.8714114508419539
枣庄市,156370400,0.9440244670216557
安阳市,156410500,0.9318386789025169
怀化市,156431200,0.9585582753726245
阳泉市,156140300,0.877001574065723
保亭黎族苗族自治县,156469029,0.8639551474953351
中农发山丹马场,156629700,0.9993301194752451
鹰潭市,156360600,0.9629160553260211
陵水黎族自治县,156469028,0.7428810921473963
博尔塔拉蒙古自治州,156652700,0.9961040677940721
乐东黎族自治县,156469027,0.897378215448249
辽源市,156220400,0.9753722840131238
齐齐哈尔市,156230200,0.9911979686292982
龙岩市,156350800,0.8979360920273742
天门市,156429006,0.9772903357294366
潜江市,156429005,0.988984290855202
邢台市,156130500,0.9399849850981759
仙桃市,156429004,0.9642476722266813
绥化市,156231200,0.9918660323720665
丹东市,156210600,0.9881773876909133
滨州市,156371600,0.9704212167288628
镇江市,156321100,0.8576981401481565
昌江黎族自治县,156469026,0.9151184530600492
周口市,156411600,0.9874246733288617
白沙黎族自治县,156469025,0.7856643578651554
临高县,156469024,0.9450256495365084
吐鲁番市,156650400,0.9594621858387824
澄迈县,156469023,0.9368505334825877
长沙市,156430100,0.6278636376000692
屯昌县,156469022,0.9157510914758138
定安县,156469021,0.9274894336063674
海口市,156460100,0.5200666695659559
乐山市,156511100,0.9241922050189599
凉山彝族自治州,156513400,0.9830739698701039
桂林市,156450300,0.8821825142870351
东营市,156370500,0.8666203034895158
鹤壁市,156410600,0.948252778898927
娄底市,156431300,0.9442066612330561
包头市,156150200,0.9307940869798839
锡林郭勒盟,156152500,0.9937724414307939
琼中黎族苗族自治县,156469030,0.956086288390075
长治市,156140400,0.9387284703373537
赣州市,156360700,0.8670144959961125
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.9339903510361031
巴音郭楞蒙古自治州,156652800,0.935814516182292
上海市,156310000,0.4841693314769858
鸡西市,156230300,0.9956337986535923
宁德市,156350900,0.9374746835131713
保定市,156130600,0.926905462916516
菏泽市,156371700,0.9820515043749513
崇左市,156451400,0.9793607434381102
黑河市,156231100,0.971933616031227
扬州市,156321000,0.8671059166485547
驻马店市,156411700,0.9768597211920148
哈密市,156650500,0.9236311617752866
株洲市,156430200,0.898413239666224
锦州市,156210700,0.980813643977667
肇庆市,156441200,0.853395601842776
恩施土家族苗族自治州,156422800,0.9703906900004158
宜昌市,156420500,0.8767763404363953
怒江傈僳族自治州,156533300,0.9910915595925772
柳州市,156450200,0.8103793436994664
平凉市,156620800,0.9409097628920756
眉山市,156511400,0.9428847754092126
青岛市,156370200,0.7087402382411545
新乡市,156410700,0.9446577633073945
乌海市,156150300,0.9835734568801745
黔西南布依族苗族自治州,156522300,0.9548305752324476
晋城市,156140500,0.9014193435845157
广州市,156440100,0.4353508273370742
吉林市,156220200,0.9669324933298911
九江市,156360400,0.9328217702771695
漳州市,156350600,0.8640674717053658
来宾市,156451300,0.9672387917447103
张家口市,156130700,0.919836054647658
德州市,156371400,0.9575978167398204
胡杨河市,156659010,0.0
固原市,156640400,0.9704021813520222
抚顺市,156210400,0.9803456238870034
安庆市,156340800,0.9149108664500455
白杨市,156659012,0.0
新星市,156659011,0.9631967353359194
克拉玛依市,156650200,0.8943556459261047
湘潭市,156430300,0.8994205943334976
昆玉市,156659009,0.0
惠州市,156441300,0.7212185165902695
可克达拉市,156659008,0.9958968137987017
襄阳市,156420600,0.9221688875619107
南宁市,156450100,0.822411484131773
南充市,156511300,0.9441254871159648
酒泉市,156620900,0.9430144209113751
淄博市,156370300,0.877258567444244
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.987605947940829
焦作市,156410800,0.9296176117377597
石河子市,156659001,0.9498600324793699
赤峰市,156150400,0.9949615315232349
双河市,156659007,0.0
铁门关市,156659006,0.9988339965413733
北屯市,156659005,0.9511449085151135
五家渠市,156659004,0.7484860219072311
韶关市,156440200,0.8882496417745814
朔州市,156140600,0.9768712279433489
四平市,156220300,0.9861305428136439
新余市,156360500,0.9212418759587876
南平市,156350700,0.9152519960912577
哈尔滨市,156230100,0.9448375637296836
成都市,156510100,0.6693363884128621
河池市,156451200,0.9561746297618409
中卫市,156640500,0.9338799884944186
本溪市,156210500,0.9608961973079659
承德市,156130800,0.9756085512322421
聊城市,156371500,0.9566681763901904
衡阳市,156430400,0.9366448133247885
湘西土家族苗族自治州,156433100,0.9514049662768943
杭州市,156330100,0.62822858780899
玉树藏族自治州,156632700,0.9999491473978501
武威市,156620600,0.9781931591051959
临夏回族自治州,156622900,0.978014873682012
黄山市,156341000,0.8771984732670212
徐州市,156320300,0.9194022397335943
济宁市,156370800,0.9314906072272684
揭阳市,156445200,0.8935348005726778
那曲市,156540600,0.9965573232977911
郑州市,156410100,0.7093131631336473
通辽市,156150500,0.9924451438292025
贵港市,156450800,0.9610007769110033
安康市,156610900,0.9793674342285748
昌吉回族自治州,156652300,0.9702327177081048
晋中市,156140700,0.9284828252477287
大庆市,156230600,0.9854427133254866
普洱市,156530800,0.9677005273430829
白城市,156220800,0.9873437825080245
石嘴山市,156640200,0.9157105211306094
荆州市,156421000,0.9656118365098354
沧州市,156130900,0.9599538290517695
三门峡市,156411200,0.9036627736547799
海西蒙古族藏族自治州,156632800,0.9861665114805694
云浮市,156445300,0.8796943415067543
张掖市,156620700,0.902001399649057
滁州市,156341100,0.9346520217924079
泰安市,156370900,0.9108477931658125
无锡市,156320200,0.7551650284731667
大兴安岭地区,156232700,0.9811257389541692
鄂尔多斯市,156150600,0.9244413423223045
阿拉善盟,156152900,0.7956973577281373
山南市,156540500,0.9864250117122272
开封市,156410200,0.9451048560072355
重庆市,156500000,0.8461628664272818
钦州市,156450700,0.9655871784685879
榆林市,156610800,0.9733337135786425
伊春市,156230700,0.9952041290686245
运城市,156140800,0.9544966191916763
丽江市,156530700,0.9404076330012635
黄冈市,156421100,0.9616869237060018
吴忠市,156640300,0.9273860681930165
南阳市,156411300,0.9658652874609823
乌鲁木齐市,156650100,0.8653589282049332
和田地区,156653200,0.9911805880793768
海南藏族自治州,156632500,0.9797789662676836
海东市,156630200,0.9762524916029789
武汉市,156420100,0.4503120791681532
儋州市,156460400,0.8751578330557386
甘孜藏族自治州,156513300,0.9808319145292431
内江市,156511000,0.9479654183075239
烟台市,156370600,0.9121205804010803
南京市,156320100,0.5649517486291094
白银市,156620400,0.9724762969743074
郴州市,156431000,0.9314049055355498
呼伦贝尔市,156150700,0.9877733042712447
防城港市,156450600,0.9432109425290686
北京市,156110000,0.4830421364920138
洛阳市,156410300,0.8866349810533084
汉中市,156610700,0.9083019087611804
吉安市,156360800,0.9619361293389458
丽水市,156331100,0.9100076862472339
忻州市,156140900,0.9558781341497291
中山市,156442000,0.6492794302839293
鹤岗市,156230400,0.9758388345107564
白山市,156220600,0.9870609884200495
咸宁市,156421200,0.9530663279653843
宿迁市,156321300,0.9362741169485481
济源市,156419001,0.9392111417903765
营口市,156210800,0.9769516769493554
商丘市,156411400,0.9837239599358049
果洛藏族自治州,156632600,0.9898949303685182
三沙市,156460300,0.711691881287793
黄石市,156420200,0.9204967169671147
阿坝藏族羌族自治州,156513200,0.9681478738252407
潍坊市,156370700,0.9073936339086431
天水市,156620500,0.970770340554961
永州市,156431100,0.9490805818301429
巴彦淖尔市,156150800,0.9785608843966891
北海市,156450500,0.9052521447506467
平顶山市,156410400,0.9595521266058639
宜春市,156360900,0.971102402435817
台州市,156331000,0.8621409560031542
东方市,156469007,0.9372460949861923
延安市,156610600,0.968631936771102
万宁市,156469006,0.9099895096437566
文昌市,156469005,0.8955315068421471
双鸭山市,156230500,0.990426312649302
临沧市,156530900,0.9749195285584569
松原市,156220700,0.9923640028788099
随州市,156421300,0.9390708938986493
资阳市,156512000,0.9407694317851104
银川市,156640100,0.7731264892416777
泰州市,156321200,0.8844460174080803
神农架林区,156429021,0.9243382867297716
阜新市,156210900,0.9916503708143205
琼海市,156469002,0.7933663115788917
五指山市,156469001,0.8310433734041658
信阳市,156411500,0.961009485738944
湖州市,156330500,0.8747373342325203
黄南藏族自治州,156632300,0.9907629874311884
抚州市,156361000,0.959715074063016
清远市,156441800,0.8863360718639027
天津市,156120000,0.573502077669009
嘉峪关市,156620200,0.941614773351483
乌兰察布市,156150900,0.9912176166392709
阿里地区,156542500,0.9582160209079824
连云港市,156320700,0.9384913025988736
克孜勒苏柯尔克孜自治州,156653000,0.9660246085574827
日喀则市,156540200,0.9853908682652095
渭南市,156610500,0.959656099177198
铜仁市,156520600,0.9669515935862842
玉溪市,156530400,0.9399588964912707
江门市,156440700,0.8049828900016708
益阳市,156430900,0.9536937182104556
广元市,156510800,0.9185552803052727
芜湖市,156340200,0.8580315585679216
塔城地区,156654200,0.9947053563465521
嘉兴市,156330400,0.8143556725362392
西宁市,156630100,0.9513765662340042
上饶市,156361100,0.9632577547852795
东莞市,156441900,0.6275332648072728
南通市,156320600,0.8974338085142914
辽阳市,156211000,0.9384214419871845
巴中市,156511900,0.9591135325702791
六安市,156341500,0.9620049005086978
金昌市,156620300,0.9690198619020204
廊坊市,156131000,0.9030223129850636
拉萨市,156540100,0.9263492359036996
喀什地区,156653100,0.9820469757957898
阿勒泰地区,156654300,0.9634929105209303
毕节市,156520500,0.971213550990665
福州市,156350100,0.6765408995300236
咸阳市,156610400,0.9378872804760294
文山壮族苗族自治州,156532600,0.9870097163210829
湛江市,156440800,0.9269923489257414
曲靖市,156530300,0.966112038589903
蚌埠市,156340300,0.978808305354836
绵阳市,156510700,0.8880226530463504
温州市,156330300,0.7356471609024711
苏州市,156320500,0.7322389005752945
阜阳市,156341200,0.9610246306146598
林芝市,156540400,0.9577409034957062
衡水市,156131100,0.9648302368002217
许昌市,156411000,0.9458726061331365
佳木斯市,156230800,0.9770513139133831
宝鸡市,156610300,0.8962890616917005
昭通市,156530600,0.9757566762998393
大理白族自治州,156532900,0.9552073143398794
定西市,156621100,0.9780933519913245
茂名市,156440900,0.8759810661227475
伊犁哈萨克自治州,156654000,0.9070737879331962
宁波市,156330200,0.7395364931948702
兰州市,156620100,0.7209798096847656
临汾市,156141000,0.9224367449471208
