name,gb,Average_Accessibility
梅州市,156441400,10.703518122245287
鄂州市,156420700,6.35600395789247
吕梁市,156141100,4.03463315426572
舟山市,156330900,19.45564805600088
朝阳市,156211300,0.5577506011471075
广安市,156511600,1.81373674312792
濮阳市,156410900,7.087800847266561
宣城市,156341800,7.294342379631966
六盘水市,156520200,2.3496547155159817
深圳市,156440300,25.73176221306889
三明市,156350400,8.252569637651664
景德镇市,156360200,4.049098015069947
楚雄彝族自治州,156532300,2.895429337641222
大连市,156210200,7.687764413473509
攀枝花市,156510400,2.33694773234992
贺州市,156451100,6.603722446655218
西安市,156610100,16.384332708996954
境界线,,0.0
淮北市,156340600,3.638446456890461
邵阳市,156430500,3.2997041785399275
石家庄市,156130100,6.189830988192443
汕尾市,156441500,5.422660281939023
荆门市,156420800,4.847183811220993
衢州市,156330800,11.076865792502385
迪庆藏族自治州,156533400,5.567187355392409
宜宾市,156511500,3.5428678220283714
葫芦岛市,156211400,1.8776329562680385
济南市,156370100,7.751121383767093
贵阳市,156520100,5.985083496354028
珠海市,156440400,24.69694828030697
长春市,156220100,2.8287249308719935
延边朝鲜族自治州,156222400,3.993843308824946
萍乡市,156360300,3.7313623291079425
庆阳市,156621000,3.5271576963773623
泉州市,156350500,10.249879382071605
自贡市,156510300,1.8420619557938447
临沂市,156371300,5.892423020628186
百色市,156451000,3.977528858457926
鞍山市,156210300,1.2341486445320415
铜陵市,156340700,5.112081029598991
唐山市,156130200,6.284559108081791
岳阳市,156430600,3.6563017357743104
河源市,156441600,13.695128780935649
孝感市,156420900,2.6335580523795925
金华市,156330700,7.945995520493072
兴安盟,156152200,0.418854880649334
盘锦市,156211100,2.7724503227645485
雅安市,156511800,6.564337897884409
亳州市,156341600,2.376750258066172
商洛市,156611000,2.7434272636876007
盐城市,156320900,8.924291296446109
汕头市,156440500,4.320933174102632
安顺市,156520400,4.05970403948538
黔南布依族苗族自治州,156522700,3.973374486925931
厦门市,156350200,15.778594447807961
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.3552021315984591
红河哈尼族彝族自治州,156532500,3.135517767658521
甘南藏族自治州,156623000,2.8426983160289345
太原市,156140100,15.06419656509683
常德市,156430700,3.355467640532265
牡丹江市,156231000,0.8522172388092122
淮南市,156340400,2.4115975714425764
德阳市,156510600,3.7811061259625456
威海市,156371000,4.623042885061822
秦皇岛市,156130300,7.384210274154302
绍兴市,156330600,6.895618724428148
阳江市,156441700,7.649765899793229
铁岭市,156211200,1.0947700223186663
达州市,156511700,1.3578800027392903
池州市,156341700,4.285264837432352
淮安市,156320800,6.770627483706353
遵义市,156520300,4.0297373959501765
黔东南苗族侗族自治州,156522600,3.422579904010322
莆田市,156350300,4.77778943791351
南昌市,156360100,9.56607422707561
佛山市,156440600,18.54354954041807
大同市,156140200,4.566951721612069
昆明市,156530100,10.937334102223637
张家界市,156430800,7.733724637789107
泸州市,156510500,2.362391182640745
沈阳市,156210100,2.5406364009801274
邯郸市,156130400,3.1470970197267025
马鞍山市,156340500,3.444188226013354
日照市,156371100,9.510032522840525
三亚市,156460200,31.601866263530216
十堰市,156420300,5.376522071599739
呼和浩特市,156150100,4.908670535612058
德宏傣族景颇族自治州,156533100,3.0646458536701844
梧州市,156450400,6.821624333387271
枣庄市,156370400,4.764179707878809
安阳市,156410500,3.073731750958346
怀化市,156431200,3.0170241373322177
阳泉市,156140300,6.59544932728711
保亭黎族苗族自治县,156469029,50.97590336223761
中农发山丹马场,156629700,17.210014072173887
鹰潭市,156360600,3.9272095453991214
陵水黎族自治县,156469028,27.840234086848945
博尔塔拉蒙古自治州,156652700,2.143305420622305
乐东黎族自治县,156469027,6.581417604115386
辽源市,156220400,1.5559478976306191
齐齐哈尔市,156230200,0.4237784441158525
龙岩市,156350800,6.089150793219553
天门市,156429006,0.9025609833671808
潜江市,156429005,2.173659114564118
邢台市,156130500,5.2138582422252115
仙桃市,156429004,3.094484905714986
绥化市,156231200,0.41655422058823993
丹东市,156210600,1.1634037166577924
滨州市,156371600,3.4661734103264537
镇江市,156321100,10.047097910712779
昌江黎族自治县,156469026,8.869143884857541
周口市,156411600,1.544452145729742
白沙黎族自治县,156469025,34.48237991322561
临高县,156469024,2.9586490353061587
吐鲁番市,156650400,3.479896821121156
澄迈县,156469023,12.061612417981738
长沙市,156430100,17.404812218191065
屯昌县,156469022,12.095460635074764
定安县,156469021,10.246456898104071
海口市,156460100,21.69319824186092
乐山市,156511100,3.8292749442243847
凉山彝族自治州,156513400,1.1300604981625575
桂林市,156450300,6.525662856285591
东营市,156370500,19.445777139354853
鹤壁市,156410600,3.040908120258213
娄底市,156431300,4.37553277489455
包头市,156150200,2.0160088043703652
锡林郭勒盟,156152500,0.5493799584668526
琼中黎族苗族自治县,156469030,8.437684809750246
长治市,156140400,4.988571564306663
赣州市,156360700,9.545176770360642
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,3.2758030804122575
巴音郭楞蒙古自治州,156652800,1.883714769171734
上海市,156310000,32.88917828005047
鸡西市,156230300,0.42631642358004684
宁德市,156350900,5.498381871490841
保定市,156130600,5.711393771240057
菏泽市,156371700,1.8761316832277242
崇左市,156451400,2.677740845985065
黑河市,156231100,1.2311651874180507
扬州市,156321000,7.990926298291276
驻马店市,156411700,1.810708801371046
哈密市,156650500,4.346176339892947
株洲市,156430200,6.7189681218831
锦州市,156210700,1.0559774346099644
肇庆市,156441200,11.124212065848502
恩施土家族苗族自治州,156422800,3.518717846422229
宜昌市,156420500,10.366992485380996
怒江傈僳族自治州,156533300,0.8917440901283337
柳州市,156450200,11.515939965687505
平凉市,156620800,2.3098236502570524
眉山市,156511400,5.619716215481013
青岛市,156370200,13.200489983256533
新乡市,156410700,4.317869159372297
乌海市,156150300,2.2928512546516098
黔西南布依族苗族自治州,156522300,4.087316545641723
晋城市,156140500,6.384845078103478
广州市,156440100,24.286272133513943
吉林市,156220200,1.012732660446773
九江市,156360400,4.406344703876839
漳州市,156350600,8.951513874552926
来宾市,156451300,4.089220117108496
张家口市,156130700,8.976703114871476
德州市,156371400,3.9699958941435636
