name,gb,Average_Accessibility
梅州市,156441400,0.01745101609489409
鄂州市,156420700,0.018640004927910868
吕梁市,156141100,0.006141627594486778
舟山市,156330900,0.07309699655789818
朝阳市,156211300,0.0003805909731674176
广安市,156511600,0.003760747429620109
濮阳市,156410900,0.022339231979247687
宣城市,156341800,0.008595787094236248
六盘水市,156520200,0.0045174050419768425
深圳市,156440300,1.1594062018287556
三明市,156350400,0.009858041750062673
景德镇市,156360200,0.00807243962760141
楚雄彝族自治州,156532300,0.0029984831730044985
大连市,156210200,0.016261803582153747
攀枝花市,156510400,0.004062900855199498
贺州市,156451100,0.010042570111045326
西安市,156610100,0.13100182622843742
境界线,,0.0
淮北市,156340600,0.009387840067416315
邵阳市,156430500,0.006137378809637052
石家庄市,156130100,0.02069362704465075
汕尾市,156441500,0.01941979044393411
荆门市,156420800,0.004623270325291354
衢州市,156330800,0.017883928149090924
迪庆藏族自治州,156533400,0.0058257841035524215
宜宾市,156511500,0.005986884195349417
葫芦岛市,156211400,0.0019593739577250992
济南市,156370100,0.026163080687163977
贵阳市,156520100,0.02245688805914592
珠海市,156440400,0.2096801834489832
长春市,156220100,0.003997591910573276
延边朝鲜族自治州,156222400,0.004316783214815627
萍乡市,156360300,0.00925715256863188
庆阳市,156621000,0.003501471875764646
泉州市,156350500,0.05205283924834007
自贡市,156510300,0.003773734311999829
临沂市,156371300,0.014447773626731575
百色市,156451000,0.0035202269447100155
鞍山市,156210300,0.0019361966691474367
铜陵市,156340700,0.00934057179885154
唐山市,156130200,0.01363335680771151
岳阳市,156430600,0.006223683824041843
河源市,156441600,0.01975316113764697
孝感市,156420900,0.0052270993448766765
金华市,156330700,0.03308451404658356
兴安盟,156152200,0.00019127134325807555
盘锦市,156211100,0.004732579810946595
雅安市,156511800,0.01867704837051709
亳州市,156341600,0.0050647748144049395
商洛市,156611000,0.0037143259735561377
盐城市,156320900,0.014857623529476867
汕头市,156440500,0.052148497452149674
安顺市,156520400,0.0057380992250356
黔南布依族苗族自治州,156522700,0.0036308499642794655
厦门市,156350200,0.2568244664809283
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.0002319603558125526
红河哈尼族彝族自治州,156532500,0.0039943836523192175
甘南藏族自治州,156623000,0.005393706449941427
太原市,156140100,0.09351489274249257
常德市,156430700,0.004502255585107666
牡丹江市,156231000,0.000999492723524163
淮南市,156340400,0.005116118780745856
德阳市,156510600,0.009381935891869862
威海市,156371000,0.008851853092159846
秦皇岛市,156130300,0.01307453365401659
绍兴市,156330600,0.023177826329726356
阳江市,156441700,0.016315403340769287
铁岭市,156211200,0.0009667310897997159
达州市,156511700,0.0024800233694571186
池州市,156341700,0.00421213473702485
淮安市,156320800,0.012498205488276503
遵义市,156520300,0.005737075337996079
黔东南苗族侗族自治州,156522600,0.0038553494652318926
莆田市,156350300,0.02273134571186221
南昌市,156360100,0.04029712813738052
佛山市,156440600,0.21453334741566257
大同市,156140200,0.007743738905939477
昆明市,156530100,0.03303651818207917
张家界市,156430800,0.009507768271839261
泸州市,156510500,0.004969674043534887
沈阳市,156210100,0.007258838923022004
邯郸市,156130400,0.009798189319466738
马鞍山市,156340500,0.007324629274449958
日照市,156371100,0.020260144456737076
三亚市,156460200,0.1105286300408403
十堰市,156420300,0.007659288310011485
呼和浩特市,156150100,0.008912093122622741
德宏傣族景颇族自治州,156533100,0.003476049826671348
梧州市,156450400,0.011861207991965998
枣庄市,156370400,0.01485406434311547
安阳市,156410500,0.008936195369473944
怀化市,156431200,0.00480540979349935
阳泉市,156140300,0.014375221829454438
保亭黎族苗族自治县,156469029,0.05144125347488497
中农发山丹马场,156629700,0.003304931969769233
鹰潭市,156360600,0.006765867190842484
陵水黎族自治县,156469028,0.06761505723145128
博尔塔拉蒙古自治州,156652700,0.001070167963978522
乐东黎族自治县,156469027,0.008292286984833629
辽源市,156220400,0.0011361785466055604
齐齐哈尔市,156230200,0.0002916489569434259
龙岩市,156350800,0.00837982467630229
天门市,156429006,0.001577030265156687
潜江市,156429005,0.003601133500275993
邢台市,156130500,0.012057821875772232
仙桃市,156429004,0.006599699088292595
绥化市,156231200,0.00026518329234225744
丹东市,156210600,0.0010219748174691702
滨州市,156371600,0.006589288000065129
镇江市,156321100,0.03141462778122049
昌江黎族自治县,156469026,0.010814505798162243
周口市,156411600,0.004167103043708116
白沙黎族自治县,156469025,0.029466463251123
临高县,156469024,0.004594251333949077
吐鲁番市,156650400,0.0029413852124682677
澄迈县,156469023,0.016094807373753163
长沙市,156430100,0.06772703478950601
屯昌县,156469022,0.01450086560165673
定安县,156469021,0.01196069080691432
海口市,156460100,0.1213635528819413
乐山市,156511100,0.00641694377447392
凉山彝族自治州,156513400,0.002340483027817141
桂林市,156450300,0.009534588402826158
东营市,156370500,0.031518638352462755
鹤壁市,156410600,0.008705318959464584
娄底市,156431300,0.009308542216064112
包头市,156150200,0.003097803310814321
锡林郭勒盟,156152500,0.0003443297245879646
琼中黎族苗族自治县,156469030,0.0058946299862552
长治市,156140400,0.008100387889763817
赣州市,156360700,0.016001447351631587
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.002961557037584127
巴音郭楞蒙古自治州,156652800,0.0013262171023488197
上海市,156310000,0.45997693191247685
鸡西市,156230300,0.00026789492598869324
宁德市,156350900,0.011063313241571846
保定市,156130600,0.01400092389196557
菏泽市,156371700,0.004933070907320023
崇左市,156451400,0.00245811654740021
黑河市,156231100,0.000765043077647645
扬州市,156321000,0.021169694066817846
驻马店市,156411700,0.00320842147423829
哈密市,156650500,0.0031390855071741506
株洲市,156430200,0.012535887126681172
锦州市,156210700,0.0012202336851761318
肇庆市,156441200,0.023075670730776904
恩施土家族苗族自治州,156422800,0.0034542961422671867
宜昌市,156420500,0.011905574851018884
怒江傈僳族自治州,156533300,0.0011167534337389706
柳州市,156450200,0.02203378296167718
平凉市,156620800,0.002407642564380182
眉山市,156511400,0.010283746332591777
青岛市,156370200,0.04518896095568822
新乡市,156410700,0.012876832172378675
乌海市,156150300,0.0045183953485990825
黔西南布依族苗族自治州,156522300,0.005010982735003557
晋城市,156140500,0.010259145276754604
广州市,156440100,0.33159443325691496
吉林市,156220200,0.0009372731474700033
九江市,156360400,0.0072282046621940845
漳州市,156350600,0.023987098596893887
来宾市,156451300,0.0047665005167273795
张家口市,156130700,0.008434427074735516
德州市,156371400,0.007837514469131885
胡杨河市,156659010,0.0
固原市,156640400,0.004009426591784764
抚顺市,156210400,0.0008118114623415517
安庆市,156340800,0.007457124568694433
白杨市,156659012,0.0
新星市,156659011,0.004979595641074847
克拉玛依市,156650200,0.010610274090269817
湘潭市,156430300,0.013718312207894687
昆玉市,156659009,0.0
惠州市,156441300,0.06570754967627311
可克达拉市,156659008,0.0007305078640732749
襄阳市,156420600,0.0098152910964959
南宁市,156450100,0.012911012346951377
南充市,156511300,0.004194359289184944
酒泉市,156620900,0.0033284486314339944
淄博市,156370300,0.023435120609358675
图木舒克市,156659003,0.0
阿拉尔市,156659002,0.0009326169310751146
焦作市,156410800,0.01893394721152806
石河子市,156659001,0.007763948572802434
赤峰市,156150400,0.00020251871308866443
双河市,156659007,0.0
