name,gb,Gini_Coefficient
梅州市,156441400,0.6694146719704366
鄂州市,156420700,0.733371737801022
吕梁市,156141100,0.8250894602679193
舟山市,156330900,0.6942482603241521
朝阳市,156211300,0.9560670962419059
广安市,156511600,0.868094406237546
濮阳市,156410900,0.7777357785686035
宣城市,156341800,0.6621147065502713
六盘水市,156520200,0.7255404587316712
深圳市,156440300,0.36462426506883383
三明市,156350400,0.7198441309487129
景德镇市,156360200,0.6913243018527544
楚雄彝族自治州,156532300,0.6915875589566689
大连市,156210200,0.6826202461936303
攀枝花市,156510400,0.8077164809143678
贺州市,156451100,0.6569327178539424
西安市,156610100,0.5171732478704801
境界线,,0.0
淮北市,156340600,0.7160435830407811
邵阳市,156430500,0.864655829236772
石家庄市,156130100,0.7274899069359636
汕尾市,156441500,0.6550968056304233
荆门市,156420800,0.7547444426279517
衢州市,156330800,0.7552568417855585
迪庆藏族自治州,156533400,0.6963822060821401
宜宾市,156511500,0.7730583808132467
葫芦岛市,156211400,0.9246094155368394
济南市,156370100,0.7113533733143402
贵阳市,156520100,0.517555454071077
珠海市,156440400,0.33063675821454297
长春市,156220100,0.8456450395280722
延边朝鲜族自治州,156222400,0.8747950033725076
萍乡市,156360300,0.7867244494618173
庆阳市,156621000,0.8181836133819806
泉州市,156350500,0.6716339592690912
自贡市,156510300,0.827187526834126
临沂市,156371300,0.7406529303217351
百色市,156451000,0.6326364139436507
鞍山市,156210300,0.8682148193901091
铜陵市,156340700,0.6473259029946282
唐山市,156130200,0.8094691800624308
岳阳市,156430600,0.7994623056953019
河源市,156441600,0.5412090647674377
孝感市,156420900,0.774991856876736
金华市,156330700,0.6236237476623991
兴安盟,156152200,0.9590329934571253
盘锦市,156211100,0.8471020965805839
雅安市,156511800,0.743018788538268
亳州市,156341600,0.7962853189437726
商洛市,156611000,0.8525627426967733
盐城市,156320900,0.7556478400428128
汕头市,156440500,0.7420360861408075
安顺市,156520400,0.7556827346905148
黔南布依族苗族自治州,156522700,0.7483805462948908
厦门市,156350200,0.49265198908403995
太子山天然林保护区,156629900,0.0
阿克苏地区,156652900,0.7904415499447263
红河哈尼族彝族自治州,156532500,0.7048547522564792
甘南藏族自治州,156623000,0.897419387697027
太原市,156140100,0.5635502247139553
常德市,156430700,0.8748407184136414
牡丹江市,156231000,0.9084629538003346
淮南市,156340400,0.8078471051638745
德阳市,156510600,0.8364802495868884
威海市,156371000,0.7593609071635552
秦皇岛市,156130300,0.8049596518614148
绍兴市,156330600,0.6777713086391832
阳江市,156441700,0.6527904206139674
铁岭市,156211200,0.9231758450494868
达州市,156511700,0.8303496266152675
池州市,156341700,0.7552112029505863
淮安市,156320800,0.686068390399678
遵义市,156520300,0.6493343538167404
黔东南苗族侗族自治州,156522600,0.6492043908687017
莆田市,156350300,0.7369569257407278
南昌市,156360100,0.575596647345876
佛山市,156440600,0.4372587831804402
大同市,156140200,0.818114889575156
昆明市,156530100,0.4829117093420774
张家界市,156430800,0.8410543758158419
泸州市,156510500,0.8584584322052591
沈阳市,156210100,0.6920537047429451
邯郸市,156130400,0.8669194880518557
马鞍山市,156340500,0.7556172148686379
日照市,156371100,0.6982122560252089
三亚市,156460200,0.4104055802644314
十堰市,156420300,0.5666723417956565
呼和浩特市,156150100,0.7187408972832594
德宏傣族景颇族自治州,156533100,0.7063076577426513
梧州市,156450400,0.6026702632137612
枣庄市,156370400,0.7687415737431829
安阳市,156410500,0.8432120430533665
怀化市,156431200,0.8287826146522769
阳泉市,156140300,0.7669172617137326
保亭黎族苗族自治县,156469029,0.4980203053104554
中农发山丹马场,156629700,0.0
鹰潭市,156360600,0.7378709512104893
陵水黎族自治县,156469028,0.4292046806483274
博尔塔拉蒙古自治州,156652700,0.8685664837779273
乐东黎族自治县,156469027,0.7359950786727188
辽源市,156220400,0.913194014455075
齐齐哈尔市,156230200,0.9772351304855339
龙岩市,156350800,0.63135198456112
天门市,156429006,0.8628301657610784
潜江市,156429005,0.7558726650090195
邢台市,156130500,0.8500742634133817
仙桃市,156429004,0.7536551079686702
绥化市,156231200,0.9756276619949152
丹东市,156210600,0.8715798310929148
滨州市,156371600,0.8458704971118156
镇江市,156321100,0.6994141537010662
昌江黎族自治县,156469026,0.6598188563355165
周口市,156411600,0.8606761351641623
白沙黎族自治县,156469025,0.5703986725867898
临高县,156469024,0.7084188656652419
吐鲁番市,156650400,0.7976650005487513
澄迈县,156469023,0.6916679821895124
长沙市,156430100,0.5139651347671514
屯昌县,156469022,0.5819172512545918
定安县,156469021,0.7534195122232228
海口市,156460100,0.2578410297686371
乐山市,156511100,0.7593417055231818
凉山彝族自治州,156513400,0.802089964701543
桂林市,156450300,0.6780471860913262
东营市,156370500,0.691052379656523
鹤壁市,156410600,0.8510143814134328
娄底市,156431300,0.8546354814278012
包头市,156150200,0.7351281703609345
锡林郭勒盟,156152500,0.8761723297232954
琼中黎族苗族自治县,156469030,0.5134611192987636
长治市,156140400,0.7784427785418291
赣州市,156360700,0.6829922914539279
莲花山风景林自然保护区,156629800,0.0
通化市,156220500,0.8803597935368928
巴音郭楞蒙古自治州,156652800,0.7719023733241884
